,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Aaron Baddeley,51,78.57,88,112
1,2,4,Graeme McDowell,61,76.19,96,126
2,3,2,Bud Cauley,61,76.07,124,163
3,4,3,Pat Perez,52,75.29,64,85
4,5,6,Stephan Jaeger,59,75.0,90,120
5,6,5,Matt Wallace,31,74.55,41,55
6,7,18,Harris English,72,74.39,122,164
7,8,8,Roberto Castro,54,74.14,86,116
8,9,999,Tyrone Van Aswegen,30,73.91,34,46
9,10,9,Kevin Tway,62,73.68,84,114
10,11,10,Brandt Snedeker,68,73.65,109,148
11,12,11,Dustin Johnson,47,73.53,50,68
12,13,999,Shane Lowry,30,73.33,44,60
13,14,12,Tommy Fleetwood,43,72.97,54,74
14,15,7,Scott Piercy,70,72.8,91,125
15,16,T13,Andrew Putnam,57,72.62,61,84
16,17,15,Charl Schwartzel,34,72.5,29,40
17,18,16,Francesco Molinari,41,72.46,50,69
18,19,25,Brooks Koepka,49,72.31,47,65
19,20,24,Seamus Power,58,72.09,93,129
20,21,27,Brian Gay,79,72.0,108,150
21,22,20,Robert Streb,60,71.94,100,139
22,23,21,Charles Howell III,64,71.28,67,94
23,24,62,Jonathan Byrd,43,71.08,59,83
24,T25,T22,Hideki Matsuyama,59,71.03,76,107
25,T25,T22,Rory Sabbatini,71,71.03,103,145
26,27,26,Billy Horschel,73,70.83,85,120
27,28,T13,Jim Furyk,53,70.79,63,89
28,29,29,Marc Leishman,52,70.65,65,92
29,T30,T30,Si Woo Kim,65,70.45,93,132
30,T30,T30,Haotong Li,32,70.45,31,44
31,T30,28,Peter Malnati,64,70.45,124,176
32,33,32,Rickie Fowler,54,70.4,88,125
33,34,34,Webb Simpson,53,70.25,85,121
34,35,39,Henrik Stenson,46,70.24,59,84
35,36,17,Anders Albertson,48,70.0,63,90
36,37,35,Michael Thompson,56,69.7,92,132
37,38,36,Ernie Els,43,69.62,55,79
38,39,37,Beau Hossler,66,69.6,87,125
39,40,38,Cameron Smith,55,69.47,66,95
40,41,44,Cameron Tringale,52,69.41,59,85
41,T42,T40,Bryson DeChambeau,45,69.23,81,117
42,T42,T45,Ryan Palmer,56,69.23,63,91
43,T42,33,Bubba Watson,47,69.23,54,78
44,45,T55,Jimmy Walker,61,69.12,94,136
45,46,42,Vaughn Taylor,69,69.05,116,168
46,47,58,Danny Lee,66,69.03,107,155
47,T48,T45,Adam Scott,41,68.75,44,64
48,T48,T50,Justin Thomas,49,68.75,44,64
49,T50,T40,Bill Haas,58,68.66,92,134
50,T50,T47,Anirban Lahiri,54,68.66,92,134
51,52,49,Jordan Spieth,57,68.55,85,124
52,53,T66,David Hearn,41,68.49,50,73
53,54,T50,C.T. Pan,64,68.42,91,133
54,55,T52,Patrick Reed,53,68.37,67,98
55,56,74,Nate Lashley,44,68.35,54,79
56,57,43,Sangmoon Bae,42,68.29,56,82
57,58,61,Wyndham Clark,61,67.91,91,134
58,59,T66,Matt Kuchar,65,67.89,74,109
59,60,54,Brian Stuard,76,67.81,99,146
60,61,T55,Lucas Glover,62,67.74,84,124
61,62,T47,Denny McCarthy,63,67.61,96,142
62,63,T52,Dylan Frittelli,55,67.59,73,108
63,T64,64,Brian Harman,67,67.57,100,148
64,T64,57,J.J. Henry,42,67.57,50,74
65,66,59,Stewart Cink,33,67.31,35,52
66,67,60,Chris Kirk,47,67.29,72,107
67,68,65,Adam Schenk,80,67.08,108,161
68,69,63,Xander Schauffele,55,67.07,55,82
69,70,T66,Dominic Bozzelli,53,67.02,63,94
70,T71,T66,Rafa Cabrera Bello,57,66.67,74,111
71,T71,84,Fabián Gómez,44,66.67,54,81
72,T71,T66,Martin Kaymer,38,66.67,74,111
73,T71,T66,Russell Knox,65,66.67,76,114
74,T71,T66,Sam Ryder,52,66.67,76,114
75,T71,98,Brady Schnell,38,66.67,48,72
76,T71,81,Harold Varner III,62,66.67,88,132
77,78,80,Sam Saunders,53,66.43,93,140
78,79,86,Ryan Armour,66,66.18,90,136
79,80,75,Jason Kokrak,68,66.15,86,130
80,81,T77,Ryan Moore,54,66.13,82,124
81,82,79,Patton Kizzire,58,65.98,64,97
82,83,76,Trey Mullinax,67,65.91,87,132
83,84,82,Troy Merritt,42,65.85,54,82
84,85,85,Julián Etulain,55,65.79,75,114
85,86,73,Sungjae Im,88,65.68,111,169
86,87,83,Carlos Ortiz,60,65.6,82,125
87,88,87,Kevin Streelman,63,65.54,97,148
88,89,88,Patrick Cantlay,49,65.48,55,84
89,90,90,Paul Casey,51,65.38,51,78
90,91,T77,Wes Roach,45,65.33,49,75
91,92,91,J.T. Poston,76,65.28,126,193
92,93,92,Kyoung-Hoon Lee,72,65.22,75,115
93,94,128,Joaquin Niemann,68,65.0,91,140
94,95,T94,Kevin Na,54,64.94,50,77
95,96,99,Scott Langley,60,64.9,98,151
96,97,T108,Joey Garber,44,64.86,48,74
97,98,96,Matthew Fitzpatrick,42,64.79,46,71
98,99,T116,Cody Gribble,52,64.75,79,122
99,100,107,Ollie Schniederjans,63,64.71,88,136
100,101,111,Ben Silverman,54,64.55,71,110
101,102,97,Johnson Wagner,45,64.52,60,93
102,103,123,J.B. Holmes,54,64.47,49,76
103,104,101,Keith Mitchell,64,64.42,67,104
104,105,102,John Huh,35,64.38,47,73
105,T106,103,Kiradech Aphibarnrat,49,64.29,54,84
106,T106,T138,Chris Thompson,34,64.29,36,56
107,108,104,Sam Burns,66,64.24,97,151
108,109,106,Gary Woodland,63,64.15,68,106
109,110,T108,Andrew Landry,56,64.06,82,128
110,111,110,Michael Kim,51,64.04,73,114
111,112,112,Hunter Mahan,45,63.95,55,86
112,113,114,Adam Long,52,63.87,76,119
113,114,115,Max Homa,61,63.83,90,141
114,115,126,Nick Watney,67,63.79,74,116
115,116,105,Roger Sloan,62,63.77,88,138
116,117,118,Ryan Blaum,67,63.75,102,160
117,118,119,Matt Jones,67,63.72,72,113
118,119,120,Sung Kang,67,63.7,93,146
119,T120,999,Martin Piller,30,63.64,28,44
120,T120,121,Justin Rose,42,63.64,42,66
121,T120,T135,J.J. Spaun,68,63.64,77,121
122,123,93,Kyle Jones,49,63.55,68,107
123,124,100,Peter Uihlein,65,63.5,87,137
124,T125,89,Cameron Davis,54,63.48,73,115
125,T125,T129,Zach Johnson,50,63.48,73,115
126,127,T94,Whee Kim,57,63.41,52,82
127,128,113,Jonas Blixt,66,63.4,97,153
128,T129,T147,Daniel Berger,48,63.33,76,120
129,T129,127,Richy Werenski,63,63.33,95,150
130,131,125,Scott Stallings,63,63.31,88,139
131,132,144,José de Jesús Rodríguez,51,63.25,74,117
132,133,133,Russell Henley,56,63.24,86,136
133,134,T129,Shawn Stefani,57,63.22,55,87
134,135,122,Brandon Harkins,67,63.12,89,141
135,136,T135,Martin Laird,60,63.11,77,122
136,137,T129,Jim Herman,37,63.1,53,84
137,138,T116,Brice Garnett,63,63.06,70,111
138,139,132,Byeong Hun An,54,62.93,73,116
139,T140,158,Mackenzie Hughes,58,62.86,88,140
140,T140,T147,Rory McIlroy,50,62.86,44,70
141,T140,134,D.A. Points,33,62.86,44,70
142,T143,137,Tom Hoge,70,62.5,80,128
143,T143,T138,Freddie Jacobson,37,62.5,45,72
144,145,140,Joel Dahmen,78,62.42,93,149
145,146,174,Alex Noren,49,62.35,53,85
146,147,124,Jim Knous,55,62.26,66,106
147,148,143,Kevin Kisner,65,62.2,79,127
148,149,164,Sergio Garcia,39,62.12,41,66
149,150,T145,Charley Hoffman,58,62.07,54,87
150,151,168,Adam Hadwin,66,62.04,85,137
151,152,141,Kramer Hickok,59,61.98,75,121
152,153,T156,Sepp Straka,48,61.9,52,84
153,154,150,Talor Gooch,37,61.84,47,76
154,155,151,Martin Trainer,51,61.72,79,128
155,156,142,Nick Taylor,70,61.67,111,180
156,157,152,Tyrrell Hatton,46,61.64,45,73
157,158,153,Kyle Stanley,53,61.54,56,91
158,159,155,Emiliano Grillo,65,61.26,68,111
159,T160,T156,Ian Poulter,49,61.11,44,72
160,T160,185,D.J. Trahan,33,61.11,33,54
161,162,160,Louis Oosthuizen,43,60.98,50,82
162,163,T147,Corey Conners,62,60.92,53,87
163,164,161,Luke List,52,60.87,70,115
164,165,171,Danny Willett,47,60.82,59,97
165,166,159,Austin Cook,50,60.58,63,104
166,167,165,Chesson Hadley,58,60.47,78,129
167,168,154,Curtis Luck,51,60.4,61,101
168,169,163,Chase Wright,53,60.18,68,113
169,170,167,John Senden,39,60.0,42,70
170,171,169,Branden Grace,62,59.81,64,107
171,172,170,Tiger Woods,31,59.62,31,52
172,173,166,Scott Brown,66,59.57,84,141
173,174,172,Bronson Burgoon,37,59.49,47,79
174,175,173,Phil Mickelson,41,59.34,54,91
175,176,T145,Ben Crane,41,59.15,42,71
176,177,175,Jhonattan Vegas,60,59.09,65,110
177,178,162,Kelly Kraft,67,58.99,82,139
178,T179,T176,Abraham Ancer,69,58.82,90,153
179,T179,T176,Chez Reavie,67,58.82,70,119
180,181,179,Brendan Steele,50,58.59,58,99
181,182,186,Josh Teater,47,58.44,45,77
182,183,182,Hudson Swafford,59,58.06,72,124
183,184,178,Tyler Duncan,66,57.98,69,119
184,185,184,Sebastián Muñoz,58,57.89,66,114
185,186,183,Jon Rahm,51,57.83,48,83
186,187,180,Chris Stroud,54,57.02,69,121
187,188,181,Roberto Díaz,51,57.0,57,100
188,189,187,Jason Day,45,56.94,41,72
189,190,188,Jason Dufner,56,56.86,58,102
190,191,189,Satoshi Kodaira,51,56.48,61,108
191,192,T190,Aaron Wise,52,56.34,40,71
192,T193,198,Keegan Bradley,65,56.25,54,96
193,T193,T190,"Ted Potter, Jr.",56,56.25,72,128
194,195,192,Cameron Champ,58,56.03,65,116
195,196,193,Patrick Rodgers,44,56.0,56,100
196,197,196,Seth Reeves,52,55.86,62,111
197,198,194,Tony Finau,61,55.66,59,106
198,199,195,James Hahn,34,55.26,21,38
199,200,204,Rod Pampling,40,54.41,37,68
200,201,200,Grayson Murray,36,53.85,42,78
201,202,199,Adam Svensson,51,53.77,57,106
202,203,197,Alex Prugh,54,53.54,53,99
203,204,203,Justin Harding,31,52.78,19,36
204,T205,202,Lucas Bjerregaard,37,52.63,30,57
205,T205,201,Alex Cejka,41,52.63,40,76
206,207,205,Hank Lebioda,55,50.56,45,89
207,208,207,Matt Every,38,50.0,34,68
208,209,206,John Chin,38,46.15,24,52
