,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Wes Roach,45,76.58,85,111
1,2,T2,Patrick Cantlay,49,75.0,42,56
2,3,5,Aaron Baddeley,51,73.64,81,110
3,4,6,Xander Schauffele,55,73.44,47,64
4,5,7,Andrew Landry,56,73.04,84,115
5,6,T2,Sergio Garcia,39,72.73,32,44
6,7,9,J.T. Poston,76,72.61,114,157
7,8,8,Ben Crane,41,72.15,57,79
8,9,11,Matt Jones,67,72.09,93,129
9,10,4,D.J. Trahan,33,71.62,53,74
10,T11,10,Anders Albertson,48,71.43,75,105
11,T11,12,Kevin Kisner,65,71.43,60,84
12,13,19,Hank Lebioda,55,71.25,57,80
13,14,14,Bryson DeChambeau,45,71.08,59,83
14,15,13,Matt Kuchar,65,71.0,71,100
15,16,T15,Ryan Moore,54,70.59,84,119
16,17,21,Joey Garber,44,70.53,67,95
17,18,T15,Ryan Armour,66,70.25,85,121
18,19,20,Charles Howell III,64,70.21,66,94
19,20,18,Denny McCarthy,63,70.14,101,144
20,21,999,Martin Piller,30,70.13,54,77
21,22,27,Zach Johnson,50,69.81,74,106
22,23,31,Webb Simpson,53,69.51,57,82
23,24,45,Dylan Frittelli,55,69.16,74,107
24,25,17,Jim Furyk,53,69.14,56,81
25,26,24,Cameron Davis,54,69.07,67,97
26,27,23,Scott Piercy,70,68.85,84,122
27,T28,22,Brian Harman,67,68.75,99,144
28,T28,25,Hideki Matsuyama,59,68.75,55,80
29,30,38,Brandt Snedeker,68,68.7,79,115
30,31,28,C.T. Pan,64,68.66,92,134
31,32,35,Sam Saunders,53,68.64,81,118
32,33,26,Kyle Jones,49,68.38,80,117
33,34,32,Matt Wallace,31,68.33,41,60
34,35,33,Marc Leishman,52,68.29,56,82
35,36,34,Abraham Ancer,69,68.25,86,126
36,37,29,Sungjae Im,88,68.05,115,169
37,38,37,Lucas Glover,62,68.03,83,122
38,39,42,Harris English,72,68.02,117,172
39,40,36,David Hearn,41,68.0,51,75
40,T41,T39,Justin Rose,42,67.86,38,56
41,T41,T39,Rory Sabbatini,71,67.86,95,140
42,43,41,Max Homa,61,67.8,80,118
43,44,43,Patton Kizzire,58,67.44,58,86
44,45,44,Billy Horschel,73,67.35,66,98
45,46,50,Brian Gay,79,67.25,115,171
46,47,30,Julián Etulain,55,67.23,80,119
47,48,46,Brian Stuard,76,67.11,102,152
48,49,T51,Nate Lashley,44,67.05,59,88
49,50,47,D.A. Points,33,67.03,61,91
50,51,58,Graeme McDowell,61,66.96,75,112
51,52,49,Nick Taylor,70,66.92,89,133
52,T53,T51,Si Woo Kim,65,66.67,70,105
53,T53,56,Chris Thompson,34,66.67,48,72
54,T53,57,Peter Uihlein,65,66.67,88,132
55,56,48,Peter Malnati,64,66.39,81,122
56,57,54,Michael Thompson,56,66.38,77,116
57,58,55,Fabián Gómez,44,66.29,59,89
58,59,59,Vaughn Taylor,69,65.94,91,138
59,60,60,Tony Finau,61,65.93,60,91
60,61,61,Kevin Na,54,65.88,56,85
61,62,T89,Keegan Bradley,65,65.85,54,82
62,63,T62,Bud Cauley,61,65.73,94,143
63,64,T62,Ryan Blaum,67,65.71,92,140
64,65,T82,José de Jesús Rodríguez,51,65.69,90,137
