,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,Justin Harding,31,100.0,8,8
1,2,2,Kevin Tway,62,98.15,53,54
2,3,3,Troy Merritt,42,97.37,37,38
3,4,4,C.T. Pan,64,96.49,55,57
4,5,5,Si Woo Kim,65,95.56,43,45
5,6,7,Brian Stuard,76,94.51,86,91
6,7,11,James Hahn,34,94.12,16,17
7,8,T12,Matt Wallace,31,93.75,30,32
8,9,T18,Wes Roach,45,93.1,27,29
9,10,17,Justin Thomas,49,93.02,40,43
10,T11,T12,Webb Simpson,53,92.86,52,56
11,T11,999,Tyrone Van Aswegen,30,92.86,26,28
12,13,15,Xander Schauffele,55,92.68,38,41
13,14,6,Joey Garber,44,92.59,25,27
14,T15,16,Charles Howell III,64,92.31,36,39
15,T15,T8,Martin Laird,60,92.31,36,39
16,17,21,Sungjae Im,88,92.05,81,88
17,18,T18,Denny McCarthy,63,92.0,46,50
18,19,T23,Chase Wright,53,91.84,45,49
19,20,22,Brandt Snedeker,68,91.8,56,61
20,21,T30,Roberto Díaz,51,91.43,32,35
21,T22,T8,Chris Thompson,34,91.3,21,23
22,T22,T23,Tiger Woods,31,91.3,21,23
23,24,T37,Harris English,72,91.23,52,57
24,25,26,Ernie Els,43,91.18,31,34
25,26,44,Harold Varner III,62,91.03,71,78
26,27,T27,J.T. Poston,76,90.91,90,99
27,28,T35,Bud Cauley,61,90.74,49,54
28,29,29,Max Homa,61,90.67,68,75
29,30,T35,Seamus Power,58,90.57,48,53
30,T31,T32,Marc Leishman,52,90.48,38,42
31,T31,T32,Patrick Rodgers,44,90.48,38,42
32,33,T27,Mackenzie Hughes,58,90.38,47,52
33,T34,T42,Ryan Armour,66,90.0,63,70
34,T34,T37,Aaron Baddeley,51,90.0,36,40
35,T34,T37,Charl Schwartzel,34,90.0,18,20
36,T34,T48,Josh Teater,47,90.0,36,40
37,T34,T18,Martin Trainer,51,90.0,36,40
38,39,41,Zach Johnson,50,89.87,71,79
39,40,T48,Kramer Hickok,59,89.74,35,39
40,41,55,Peter Malnati,64,89.71,61,68
41,42,T23,Robert Streb,60,89.58,43,48
42,43,10,Fabián Gómez,44,89.47,34,38
43,44,50,Sam Saunders,53,89.39,59,66
44,45,45,Jhonattan Vegas,60,89.29,50,56
45,T46,34,Talor Gooch,37,89.19,33,37
46,T46,46,Justin Rose,42,89.19,33,37
47,48,14,Corey Conners,62,89.13,41,46
48,T49,T52,Wyndham Clark,61,88.89,40,45
49,T49,T42,Brian Gay,79,88.89,64,72
50,T49,51,Bill Haas,58,88.89,48,54
51,T49,T72,Matt Kuchar,65,88.89,48,54
52,53,T52,Julián Etulain,55,88.64,39,44
53,54,T87,Dominic Bozzelli,53,88.57,31,35
54,T55,57,Jonas Blixt,66,88.41,61,69
55,T55,T30,Scott Langley,60,88.41,61,69
56,T57,T98,Stephan Jaeger,59,88.24,45,51
57,T57,56,Haotong Li,32,88.24,30,34
58,59,66,Nick Watney,67,88.14,52,59
59,60,T58,Patrick Reed,53,88.1,37,42
60,T61,T60,Ryan Blaum,67,88.06,59,67
61,T61,T60,Lucas Glover,62,88.06,59,67
62,63,94,Danny Willett,47,88.0,44,50
63,T64,T68,Graeme McDowell,61,87.76,43,49
64,T64,T109,Bubba Watson,47,87.76,43,49
65,T66,T58,Roberto Castro,54,87.5,42,48
66,T66,T90,J.B. Holmes,54,87.5,35,40
67,T66,47,Whee Kim,57,87.5,35,40
68,T66,T62,Jon Rahm,51,87.5,42,48
69,70,65,Vaughn Taylor,69,87.34,69,79
70,T71,T90,Anders Albertson,48,87.18,34,39
71,T71,T68,Keith Mitchell,64,87.18,34,39
72,T71,113,Henrik Stenson,46,87.18,34,39
73,74,71,Patton Kizzire,58,87.04,47,54
74,T75,T72,Russell Knox,65,86.96,60,69
75,T75,T72,Cameron Smith,55,86.96,40,46
76,T75,T72,Brendan Steele,50,86.96,40,46
77,78,T77,Tony Finau,61,86.89,53,61
78,79,79,Ian Poulter,49,86.84,33,38
79,T80,T62,Rory McIlroy,50,86.79,46,53
80,T80,T80,Sam Ryder,52,86.79,46,53
