,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Adam Scott,41,77.19,44,57
1,2,2,Jonathan Byrd,43,75.73,78,103
2,3,3,Ernie Els,43,73.08,57,78
3,4,5,Lucas Glover,62,71.82,79,110
4,5,6,Russell Henley,56,71.03,76,107
5,6,7,Pat Perez,52,70.59,60,85
6,7,8,Charl Schwartzel,34,70.51,55,78
7,8,4,Roberto Castro,54,70.0,77,110
8,T9,T11,Paul Casey,51,69.64,39,56
9,T9,T11,Tommy Fleetwood,43,69.64,39,56
10,T9,T11,Haotong Li,32,69.64,39,56
11,12,9,Denny McCarthy,63,69.4,93,134
12,13,10,Jim Furyk,53,69.31,70,101
13,14,T15,Chez Reavie,67,68.42,78,114
14,15,T22,Dustin Johnson,47,68.35,54,79
15,16,T22,Webb Simpson,53,68.27,71,104
16,17,18,Kevin Tway,62,68.09,64,94
17,18,T15,Nick Watney,67,68.03,83,122
18,19,19,Patrick Cantlay,49,67.53,52,77
19,20,14,Talor Gooch,37,67.12,49,73
20,21,25,Jordan Spieth,57,66.39,79,119
21,22,T15,Daniel Berger,48,66.34,67,101
22,23,26,Brian Stuard,76,66.2,94,142
23,24,T27,Jhonattan Vegas,60,66.13,82,124
24,25,29,Josh Teater,47,66.0,66,100
25,26,999,Tyrone Van Aswegen,30,65.85,54,82
26,27,33,Rory McIlroy,50,65.79,50,76
27,28,31,Hideki Matsuyama,59,65.75,48,73
28,29,T22,Roberto Díaz,51,65.6,82,125
29,30,30,Alex Cejka,41,65.56,59,90
30,31,32,Scott Piercy,70,65.52,76,116
31,32,T46,Ryan Armour,66,65.08,82,126
32,33,35,Rickie Fowler,54,65.0,65,100
33,T34,999,Shane Lowry,30,64.91,37,57
34,T34,T60,Jimmy Walker,61,64.91,74,114
35,36,37,Tiger Woods,31,64.86,24,37
36,37,38,Marc Leishman,52,64.62,42,65
37,T38,59,Sangmoon Bae,42,64.52,60,93
38,T38,40,Xander Schauffele,55,64.52,40,62
39,40,36,Kramer Hickok,59,64.46,78,121
40,41,43,Andrew Putnam,57,64.42,67,104
41,42,21,J.J. Spaun,68,64.36,65,101
42,43,34,Nate Lashley,44,64.04,57,89
43,44,T46,Sungjae Im,88,64.02,105,164
44,45,39,Curtis Luck,51,63.93,78,122
45,T46,48,Aaron Baddeley,51,63.77,88,138
46,T46,T27,J.J. Henry,42,63.77,44,69
47,48,49,Charley Hoffman,58,63.74,58,91
48,49,50,Si Woo Kim,65,63.72,72,113
49,50,52,Vaughn Taylor,69,63.45,92,145
50,51,53,Justin Rose,42,63.38,45,71
51,52,T60,Whee Kim,57,63.21,67,106
52,53,70,Mackenzie Hughes,58,63.2,79,125
53,54,57,Rafa Cabrera Bello,57,63.1,53,84
54,55,44,Bubba Watson,47,63.01,46,73
55,56,58,John Senden,39,62.82,49,78
56,57,56,Carlos Ortiz,60,62.81,76,121
57,58,41,Julián Etulain,55,62.73,69,110
58,59,42,Bud Cauley,61,62.7,79,126
59,60,55,Austin Cook,50,62.67,47,75
60,61,64,Sam Ryder,52,62.38,63,101
61,T62,20,D.J. Trahan,33,62.26,33,53
62,T62,89,Harold Varner III,62,62.26,99,159
63,64,65,Russell Knox,65,62.24,61,98
64,65,45,Brady Schnell,38,62.22,56,90
65,66,75,Peter Malnati,64,62.07,108,174
66,67,69,Robert Streb,60,61.98,75,121
67,68,T66,Kiradech Aphibarnrat,49,61.97,44,71
68,69,54,Jonas Blixt,66,61.96,101,163
69,70,T91,Graeme McDowell,61,61.95,70,113
70,T71,51,Bill Haas,58,61.86,73,118
71,T71,63,Chris Stroud,54,61.86,73,118
72,73,76,Brian Gay,79,61.49,91,148
73,74,71,Chesson Hadley,58,61.42,78,127
74,75,72,Matt Jones,67,61.38,89,145
75,76,73,Cameron Smith,55,61.36,54,88
76,77,74,Brendan Steele,50,61.29,57,93
77,78,77,Adam Long,52,61.16,74,121
78,T79,78,J.T. Poston,76,61.11,88,144
79,T79,T66,Richy Werenski,63,61.11,88,144
80,81,79,Joel Dahmen,78,61.04,94,154
81,82,80,Rory Sabbatini,71,60.93,92,151
82,83,68,Cameron Tringale,52,60.91,67,110
83,84,81,Michael Thompson,56,60.87,70,115
84,85,83,Sung Kang,67,60.77,79,130
85,86,T84,Tony Finau,61,60.71,68,112
86,87,87,Kevin Kisner,65,60.63,77,127
87,88,90,Keith Mitchell,64,60.42,58,96
88,89,94,John Huh,35,60.27,44,73
89,90,102,Matt Kuchar,65,60.22,56,93
90,91,132,Danny Lee,66,60.14,89,148
91,T92,97,Wyndham Clark,61,60.0,96,160
92,T92,82,Kelly Kraft,67,60.0,81,135
93,T92,999,Martin Piller,30,60.0,48,80
94,T92,96,D.A. Points,33,60.0,48,80
95,T92,T60,Justin Thomas,49,60.0,33,55
96,97,106,Seamus Power,58,59.84,73,122
97,98,98,John Chin,38,59.74,46,77
98,99,95,Shawn Stefani,57,59.63,65,109
