,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,999,Tyrone Van Aswegen,30,76.92,20,26
1,2,2,Sam Ryder,52,68.42,39,57
2,3,3,Russell Knox,65,67.21,41,61
3,T4,T4,Tommy Fleetwood,43,66.67,20,30
4,T4,T4,Martin Kaymer,38,66.67,30,45
5,T4,T4,Si Woo Kim,65,66.67,48,72
6,7,7,Ernie Els,43,65.12,28,43
7,8,8,Francesco Molinari,41,64.71,22,34
8,9,10,Stewart Cink,33,64.58,31,48
9,10,11,Jason Kokrak,68,64.0,32,50
10,11,12,Jimmy Walker,61,63.89,46,72
11,12,13,Cameron Tringale,52,63.83,30,47
12,13,19,Matt Kuchar,65,63.27,31,49
13,14,18,Stephan Jaeger,59,62.32,43,69
14,15,14,Billy Horschel,73,62.3,38,61
15,16,15,Aaron Baddeley,51,62.12,41,66
16,17,999,Shane Lowry,30,62.07,18,29
17,T18,T16,Justin Rose,42,61.9,26,42
18,T18,T16,Brian Stuard,76,61.9,52,84
19,20,T25,Ben Silverman,54,61.33,46,75
20,21,27,Webb Simpson,53,61.29,38,62
21,T22,T32,Brooks Koepka,49,61.11,11,18
22,T22,9,Danny Lee,66,61.11,44,72
23,T22,21,Shawn Stefani,57,61.11,33,54
24,T22,20,Michael Thompson,56,61.11,55,90
25,26,22,Patrick Reed,53,60.71,34,56
26,27,31,Bud Cauley,61,60.53,46,76
27,28,23,Rickie Fowler,54,60.29,41,68
28,29,24,Brandt Snedeker,68,60.26,47,78
29,T30,T32,Zach Johnson,50,60.0,33,55
30,T30,T25,Matt Wallace,31,60.0,15,25
31,32,41,Harold Varner III,62,59.7,40,67
32,33,28,Louis Oosthuizen,43,59.52,25,42
33,T34,29,Anirban Lahiri,54,59.46,44,74
34,T34,50,Chris Thompson,34,59.46,22,37
35,36,40,Brian Harman,67,58.9,43,73
36,T37,T32,Andrew Putnam,57,58.82,30,51
37,T37,T32,Charl Schwartzel,34,58.82,20,34
38,39,36,Marc Leishman,52,58.7,27,46
39,40,37,Chris Kirk,47,58.62,34,58
40,T41,T38,Kevin Na,54,58.54,24,41
41,T41,T38,Rory Sabbatini,71,58.54,48,82
42,43,43,Graeme McDowell,61,58.23,46,79
43,44,46,Ollie Schniederjans,63,57.53,42,73
44,45,30,Sangmoon Bae,42,57.5,23,40
45,T46,42,Rafa Cabrera Bello,57,57.33,43,75
46,T46,47,Seamus Power,58,57.33,43,75
47,48,44,Hideki Matsuyama,59,56.67,34,60
48,49,T48,Ben Crane,41,56.36,31,55
49,50,55,Joaquin Niemann,68,56.18,50,89
50,51,45,Chris Stroud,54,56.14,32,57
51,52,T48,Haotong Li,32,56.0,14,25
52,53,T52,Brandon Harkins,67,55.95,47,84
53,T54,T52,Patrick Cantlay,49,55.56,20,36
54,T54,T52,Sung Kang,67,55.56,45,81
55,56,T71,D.J. Trahan,33,55.17,16,29
56,57,51,Brian Gay,79,55.06,49,89
57,58,58,Jason Day,45,55.0,22,40
58,59,83,Adam Hadwin,66,54.88,45,82
59,60,56,Roger Sloan,62,54.84,51,93
60,61,62,Beau Hossler,66,54.76,46,84
61,62,63,Chesson Hadley,58,54.69,35,64
62,63,61,Bill Haas,58,54.67,41,75
63,64,57,Ryan Armour,66,54.43,43,79
64,65,64,Keith Mitchell,64,54.39,31,57
65,66,90,Talor Gooch,37,54.35,25,46
66,67,65,Martin Trainer,51,54.24,32,59
