,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,3,Rory McIlroy,13,"$515,435","$6,700,659"
1,2,1,Brooks Koepka,13,"$455,639","$5,923,315"
2,3,2,Dustin Johnson,12,"$436,616","$5,239,396"
3,4,4,Tiger Woods,8,"$380,164","$3,041,317"
4,5,5,Matt Kuchar,16,"$374,608","$5,993,739"
5,6,6,Patrick Cantlay,14,"$323,813","$4,533,389"
6,7,7,Xander Schauffele,15,"$319,486","$4,792,299"
7,8,8,Francesco Molinari,10,"$307,050","$3,070,507"
8,9,9,Justin Rose,11,"$294,596","$3,240,556"
9,10,10,Adam Scott,12,"$251,179","$3,014,154"
10,11,11,Rickie Fowler,14,"$241,159","$3,376,229"
11,12,12,Paul Casey,15,"$238,369","$3,575,535"
12,13,14,Jon Rahm,14,"$219,681","$3,075,537"
13,14,15,Marc Leishman,14,"$217,775","$3,048,854"
14,15,13,Justin Thomas,13,"$217,273","$2,824,557"
15,16,16,Gary Woodland,17,"$194,497","$3,306,460"
16,17,17,Jazz Janewattananond,1,"$191,665","$191,665"
17,18,18,Tommy Fleetwood,11,"$177,982","$1,957,802"
18,19,19,Phil Mickelson,13,"$177,940","$2,313,230"
19,20,31,Webb Simpson,14,"$176,806","$2,475,285"
20,21,20,Tony Finau,17,"$176,074","$2,993,259"
21,22,22,Bryson DeChambeau,13,"$169,691","$2,205,989"
22,23,21,Ryan Palmer,16,"$165,620","$2,649,925"
23,24,24,Kevin Kisner,17,"$160,747","$2,732,703"
24,25,25,Jason Day,14,"$158,351","$2,216,918"
25,26,26,Jim Furyk,16,"$151,864","$2,429,835"
26,27,23,Sergio Garcia,11,"$151,523","$1,666,758"
27,28,27,Kevin Na,15,"$144,692","$2,170,381"
28,29,28,Hideki Matsuyama,15,"$143,211","$2,148,165"
29,30,29,Michael Lorenzo-Vera,1,"$143,100","$143,100"
30,31,63,Shane Lowry,10,"$142,380","$1,423,807"
31,32,30,Charles Howell III,19,"$138,963","$2,640,301"
32,33,33,Sung Kang,20,"$135,688","$2,713,771"
33,34,32,Scott Piercy,19,"$129,990","$2,469,813"
34,35,,Collin Morikawa,1,"$125,400","$125,400"
35,36,35,Ian Poulter,13,"$125,088","$1,626,155"
