,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,3,Rory McIlroy,13,"$6,700,659",2.0
1,2,2,Matt Kuchar,16,"$5,993,739",2.0
2,3,1,Brooks Koepka,13,"$5,923,316",2.0
3,4,4,Dustin Johnson,12,"$5,239,396",1.0
4,5,5,Xander Schauffele,15,"$4,792,299",2.0
5,6,6,Patrick Cantlay,14,"$4,533,390",1.0
6,7,7,Paul Casey,15,"$3,575,536",1.0
7,8,8,Rickie Fowler,14,"$3,376,230",1.0
8,9,9,Gary Woodland,17,"$3,306,461",
9,10,10,Justin Rose,11,"$3,240,556",1.0
10,11,11,Jon Rahm,14,"$3,075,538",1.0
11,12,12,Francesco Molinari,10,"$3,070,507",1.0
12,13,13,Marc Leishman,14,"$3,048,854",1.0
13,14,14,Tiger Woods,8,"$3,041,317",1.0
14,15,15,Adam Scott,12,"$3,014,154",
15,16,16,Tony Finau,17,"$2,993,259",
16,17,17,Justin Thomas,13,"$2,824,557",
17,18,18,Kevin Kisner,17,"$2,732,704",1.0
18,19,19,Sung Kang,20,"$2,713,772",1.0
19,20,21,Ryan Palmer,16,"$2,649,926",1.0
20,21,20,Charles Howell III,19,"$2,640,302",1.0
21,22,40,Webb Simpson,14,"$2,475,286",
22,23,22,Scott Piercy,19,"$2,469,813",
23,24,23,Jim Furyk,16,"$2,429,835",
24,25,24,Corey Conners,20,"$2,361,542",1.0
25,26,25,Phil Mickelson,13,"$2,313,230",1.0
26,27,26,Keith Mitchell,19,"$2,275,372",1.0
27,28,27,Jason Day,14,"$2,216,919",
28,29,28,Bryson DeChambeau,13,"$2,205,989",1.0
29,30,29,Kevin Na,15,"$2,170,382",1.0
30,31,36,Sungjae Im,26,"$2,164,282",
31,32,30,Hideki Matsuyama,15,"$2,148,165",
32,33,31,C.T. Pan,19,"$2,135,373",1.0
33,34,42,Brandt Snedeker,18,"$2,080,301",
34,35,32,Andrew Putnam,17,"$2,015,956",
35,36,33,Tommy Fleetwood,11,"$1,957,802",
36,37,34,J.B. Holmes,18,"$1,951,854",1.0
37,38,35,Max Homa,19,"$1,912,459",1.0
38,39,37,Lucas Glover,17,"$1,871,976",
39,40,38,Si Woo Kim,20,"$1,862,223",
40,41,39,Joel Dahmen,22,"$1,816,246",
41,42,41,Jason Kokrak,17,"$1,758,530",
42,43,43,Rafa Cabrera Bello,15,"$1,739,757",
43,44,44,Kevin Tway,19,"$1,714,225",1.0
44,45,45,Sergio Garcia,11,"$1,666,758",
45,46,63,Adam Hadwin,18,"$1,647,255",
46,47,46,Ian Poulter,13,"$1,626,156",
47,48,47,Chez Reavie,19,"$1,620,612",
48,49,48,Emiliano Grillo,17,"$1,615,034",
49,50,49,Cameron Champ,19,"$1,553,928",1.0
50,51,50,Kiradech Aphibarnrat,15,"$1,542,706",
51,52,51,Jordan Spieth,16,"$1,513,913",
52,53,52,Jhonattan Vegas,18,"$1,495,750",
53,54,53,Ryan Moore,16,"$1,482,888",
54,55,54,Billy Horschel,19,"$1,478,043",
55,56,68,Graeme McDowell,16,"$1,451,974",1.0
56,57,55,Adam Long,19,"$1,446,047",1.0
57,58,64,Danny Lee,20,"$1,439,132",
58,59,56,Louis Oosthuizen,12,"$1,438,926",
59,60,57,Rory Sabbatini,19,"$1,434,391",
60,61,102,Shane Lowry,10,"$1,423,808",
61,62,58,Charley Hoffman,18,"$1,423,611",
62,63,59,Abraham Ancer,20,"$1,398,165",
63,64,60,Matt Every,12,"$1,385,179",
64,65,61,Kevin Streelman,20,"$1,381,788",
65,66,62,Luke List,16,"$1,374,480",
66,67,65,Bubba Watson,13,"$1,308,137",
67,68,66,Branden Grace,18,"$1,275,329",
68,69,67,Michael Thompson,17,"$1,261,156",
69,70,69,Cameron Smith,16,"$1,180,911",
70,71,70,Keegan Bradley,18,"$1,148,632",
71,72,71,Byeong Hun An,15,"$1,097,375",
72,73,72,Chesson Hadley,20,"$1,075,199",
73,74,73,Pat Perez,16,"$1,056,790",
74,75,74,Patrick Rodgers,14,"$1,028,191",
75,76,77,Brian Gay,22,"$1,014,912",
76,77,75,Russell Knox,18,"$1,014,367",
77,78,76,Brian Stuard,22,"$999,590",
78,79,78,Tyrrell Hatton,13,"$996,633",
79,80,79,Patrick Reed,15,"$992,216",
80,81,81,J.J. Spaun,20,"$989,470",
81,82,80,J.T. Poston,22,"$980,075",
82,83,82,Scott Stallings,20,"$945,969",
83,84,83,Vaughn Taylor,21,"$940,374",
84,85,109,Henrik Stenson,12,"$931,055",
85,86,84,Bud Cauley,19,"$919,600",
86,87,90,Talor Gooch,12,"$919,598",
87,88,85,Sam Ryder,16,"$917,253",
88,89,87,Adam Schenk,24,"$914,453",
89,90,86,Aaron Baddeley,15,"$904,982",
90,91,92,Harold Varner III,20,"$904,915",
91,92,88,Kyoung-Hoon Lee,22,"$896,238",
92,93,89,Sam Burns,22,"$889,374",
93,94,91,Aaron Wise,16,"$879,925",
94,95,94,Scott Brown,21,"$860,483",
95,96,93,Patton Kizzire,18,"$854,847",
96,97,108,Mackenzie Hughes,19,"$851,410",
97,98,95,Ryan Armour,21,"$808,396",
98,99,96,Jason Dufner,19,"$808,270",
99,100,97,Matt Jones,19,"$803,262",
100,101,98,Martin Kaymer,11,"$798,689",
101,102,99,Jonas Blixt,20,"$782,686",
102,103,101,Peter Uihlein,22,"$780,481",
103,104,100,Kyle Stanley,18,"$757,870",
104,105,103,Troy Merritt,12,"$753,310",
105,106,104,Chris Stroud,19,"$752,052",
106,107,105,Carlos Ortiz,21,"$745,292",
107,108,106,Richy Werenski,20,"$737,824",
108,109,113,Peter Malnati,19,"$736,959",
109,110,107,Nick Watney,20,"$731,829",
110,111,110,Brian Harman,22,"$723,561",
111,112,111,Seamus Power,21,"$698,309",
112,113,116,Nick Taylor,20,"$693,107",
113,114,112,Martin Trainer,19,"$692,155",1.0
114,115,131,Sebastián Muñoz,18,"$681,284",
115,116,114,Austin Cook,17,"$659,520",
116,117,115,Denny McCarthy,20,"$659,452",
117,118,143,Cameron Tringale,15,"$631,567",
118,119,117,Ryan Blaum,21,"$630,363",
119,120,118,Brice Garnett,21,"$612,260",
120,121,119,Wyndham Clark,20,"$608,649",
121,122,154,Danny Willett,15,"$606,203",
122,123,120,Scott Langley,20,"$599,204",
123,124,140,Hank Lebioda,16,"$590,195",
124,125,122,Alex Noren,14,"$584,977",
125,126,121,Bronson Burgoon,14,"$578,147",
126,127,124,Roger Sloan,20,"$573,369",
127,128,123,Shawn Stefani,19,"$557,386",
128,129,128,Daniel Berger,14,"$554,065",
129,130,129,Roberto Castro,16,"$546,667",
130,131,125,Hudson Swafford,20,"$545,191",
131,132,126,Beau Hossler,20,"$541,034",
132,133,132,Zach Johnson,15,"$539,657",
133,134,127,Trey Mullinax,20,"$536,694",
134,135,135,Joaquin Niemann,20,"$533,590",
135,136,150,Stephan Jaeger,19,"$528,613",
136,137,130,Dominic Bozzelli,17,"$527,818",
137,138,145,Harris English,21,"$521,287",
138,139,133,Kelly Kraft,23,"$515,201",
139,140,134,Martin Laird,18,"$511,471",
140,141,137,Jimmy Walker,17,"$509,876",
141,142,142,Robert Streb,21,"$496,805",
142,143,139,Jim Knous,17,"$490,976",
143,144,138,Tyler Duncan,22,"$490,482",
144,145,136,Bill Haas,18,"$487,060",
145,146,160,Jonathan Byrd,13,"$483,662",
146,147,141,"Ted Potter, Jr.",18,"$464,692",
147,148,144,Nate Lashley,13,"$455,431",
148,149,146,Chase Wright,19,"$439,115",
149,150,147,Kramer Hickok,19,"$426,854",
150,151,148,Curtis Luck,17,"$418,617",
151,152,149,Brandon Harkins,21,"$407,305",
152,153,151,Brendan Steele,17,"$402,518",
153,154,152,Satoshi Kodaira,16,"$399,623",
154,155,153,Ollie Schniederjans,22,"$396,062",
155,156,155,Johnson Wagner,14,"$381,997",
156,157,159,D.J. Trahan,11,"$377,369",
157,158,156,Russell Henley,18,"$369,342",
158,159,157,David Hearn,14,"$366,076",
159,160,158,Anders Albertson,18,"$364,608",
160,161,163,Dylan Frittelli,16,"$355,465",
161,162,161,Julián Etulain,17,"$353,268",
162,163,162,Anirban Lahiri,17,"$352,558",
163,164,164,Cameron Davis,18,"$311,538",
164,165,165,Andrew Landry,18,"$307,201",
165,166,189,José de Jesús Rodríguez,17,"$304,258",
166,167,166,Tom Hoge,24,"$300,047",
167,168,169,Sepp Straka,16,"$289,583",
168,169,182,Ben Silverman,17,"$284,497",
169,170,167,Roberto Díaz,16,"$279,778",
170,171,168,Hunter Mahan,15,"$277,945",
171,172,170,Davis Love III,9,"$271,216",
172,173,171,Whee Kim,21,"$270,419",
173,174,206,Wes Roach,14,"$269,576",
174,175,172,Chris Kirk,17,"$261,401",
175,176,173,Seth Reeves,18,"$258,023",
176,177,174,Kevin Chappell,3,"$257,024",
177,178,175,Stewart Cink,12,"$249,338",
178,179,176,Ernie Els,14,"$248,312",
179,180,177,Vijay Singh,6,"$244,800",
180,181,178,Charl Schwartzel,13,"$232,725",
181,182,179,Luke Donald,8,"$230,857",
182,183,180,Alex Prugh,18,"$223,847",
183,184,194,Joey Garber,15,"$216,867",
184,185,185,Josh Teater,17,"$216,033",
185,186,181,Nicholas Lindheim,10,"$205,942",
186,187,183,Sam Saunders,18,"$203,067",
187,188,184,Sean O'Hair,9,"$201,352",
188,189,186,Adam Svensson,18,"$198,154",
189,190,187,Brady Schnell,14,"$196,226",
190,191,191,Ben Crane,13,"$193,074",
191,192,188,K.J. Choi,7,"$185,952",
192,193,190,Fabián Gómez,14,"$178,285",
193,194,192,Padraig Harrington,7,"$169,390",
194,195,193,J.J. Henry,15,"$164,212",
195,196,195,James Hahn,10,"$159,343",
196,197,201,Cody Gribble,18,"$153,782",
197,198,196,Billy Hurley III,8,"$148,556",
198,199,197,Brendon Todd,7,"$147,447",
199,200,198,Jamie Lovemark,7,"$145,999",
200,201,199,Kyle Jones,19,"$135,680",
201,202,200,Steve Stricker,7,"$135,670",
202,203,215,Sangmoon Bae,16,"$126,505",
203,204,202,Grayson Murray,14,"$125,511",
204,205,203,Alex Cejka,16,"$112,739",
205,206,208,George McNeill,6,"$110,068",
206,207,204,Michael Kim,21,"$104,936",
207,208,205,John Huh,13,"$97,255",
208,209,207,Tom Lovelady,10,"$93,780",
209,210,209,Jason Gore,4,"$92,960",
210,211,210,Morgan Hoffmann,8,"$92,212",
211,212,211,Boo Weekley,5,"$88,441",
212,213,212,John Senden,13,"$87,419",
213,214,228,Chris Thompson,12,"$81,635",
214,215,223,Rod Pampling,16,"$79,717",
215,216,213,Martin Piller,10,"$75,853",
216,217,214,Tyrone Van Aswegen,11,"$72,589",
217,218,216,Andres Romero,6,"$66,362",
218,219,217,John Chin,14,"$65,136",
219,220,218,Robert Garrigus,7,"$64,774",
220,221,219,Derek Fathauer,10,"$64,610",
221,222,220,David Lingmerth,9,"$62,474",
222,223,221,Freddie Jacobson,14,"$60,575",
223,224,222,Zack Sucher,3,"$55,725",
224,225,232,Colt Knost,8,"$50,579",
225,226,224,Chad Collins,9,"$43,980",
226,227,225,Tim Herron,6,"$43,281",
227,228,226,D.A. Points,13,"$43,246",
228,229,227,David Toms,1,"$39,663",
229,230,229,Trevor Immelman,4,"$35,353",
230,231,230,Stuart Appleby,3,"$33,336",
231,232,231,Daniel Chopra,3,"$32,519",
232,233,233,Chad Campbell,9,"$31,330",
233,234,234,Y.E. Yang,2,"$31,040",
234,235,235,Parker McLachlin,5,"$29,674",
235,236,236,Jim Herman,16,"$25,938",
236,237,237,Bernhard Langer,1,"$25,415",
237,238,238,Fred Couples,3,"$23,680",
238,239,239,Rich Beem,1,"$18,550",
239,240,240,John Rollins,3,"$17,024",
240,241,241,Mike Weir,4,"$15,987",
241,242,242,Derek Ernst,2,"$15,172",
242,243,243,Brandon Hagy,12,"$14,555",
243,244,244,Chris Couch,2,"$13,166",
244,245,245,Ricky Barnes,8,"$12,736",
245,246,246,Brendon de Jonge,4,"$11,904",
246,247,247,Brian Davis,5,"$10,500",
247,248,248,Charlie Beljan,2,"$8,670",
248,249,249,Robert Allenby,2,"$7,540",
249,250,250,John Merrick,3,"$6,926",
250,251,251,Ken Duke,1,"$6,450",
251,252,252,Arjun Atwal,2,"$6,060",
252,253,253,Jason Bohn,3,"$5,970",
253,T254,T254,Jonathan Kaye,2,"$5,910",
254,T254,T254,Charlie Wi,1,"$5,910",
255,256,256,Omar Uresti,2,"$5,760",
