,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,3,Rory McIlroy,13,6.86,"$6,700,658","$97,700,000"
1,2,1,Dustin Johnson,12,6.11,"$5,239,396","$85,700,000"
2,3,2,Brooks Koepka,13,6.06,"$5,923,315","$97,700,000"
3,4,4,Tiger Woods,8,5.37,"$3,041,317","$56,600,000"
4,5,5,Matt Kuchar,16,5.29,"$5,993,737","$113,300,000"
5,6,6,Patrick Cantlay,14,4.53,"$4,533,388","$100,100,000"
6,7,7,Xander Schauffele,15,4.32,"$4,792,298","$110,900,000"
7,8,8,Francesco Molinari,10,4.22,"$3,070,507","$72,800,000"
8,9,9,Justin Rose,11,4.09,"$3,240,556","$79,150,000"
9,10,10,Adam Scott,12,3.6,"$3,014,154","$83,700,000"
10,11,11,Rickie Fowler,14,3.42,"$3,376,228","$98,850,000"
11,12,12,Paul Casey,15,3.27,"$3,575,535","$109,300,000"
12,13,13,Jon Rahm,14,3.13,"$3,075,537","$98,300,000"
13,14,14,Marc Leishman,14,2.99,"$3,048,854","$102,000,000"
14,15,15,Justin Thomas,13,2.81,"$2,824,556","$100,400,000"
15,16,16,Gary Woodland,17,2.73,"$3,306,459","$121,300,000"
16,17,27,Webb Simpson,14,2.58,"$2,475,284","$95,900,000"
17,18,17,Phil Mickelson,13,2.47,"$2,313,230","$93,500,000"
18,19,T19,Tommy Fleetwood,11,2.41,"$1,957,801","$81,300,000"
19,20,21,Tony Finau,17,2.39,"$2,993,259","$125,500,000"
20,21,22,Bryson DeChambeau,13,2.38,"$2,205,989","$92,700,000"
21,22,18,Ryan Palmer,16,2.3,"$2,649,923","$115,000,000"
22,23,23,Kevin Kisner,17,2.28,"$2,732,703","$120,000,000"
23,24,T19,Sergio Garcia,11,2.17,"$1,666,757","$76,700,000"
24,25,25,Jason Day,14,2.14,"$2,216,918","$103,550,000"
25,26,24,Jim Furyk,16,2.07,"$2,429,834","$117,550,000"
26,27,63,Shane Lowry,10,1.99,"$1,423,807","$71,500,000"
27,28,29,Eddie Pepperell,7,1.97,"$967,186","$49,000,000"
28,29,30,Kevin Na,15,1.93,"$2,170,381","$112,200,000"
29,30,T31,Charles Howell III,19,1.92,"$2,640,300","$137,300,000"
30,T31,28,Corey Conners,20,1.9,"$2,361,541","$124,600,000"
31,T31,T33,Paul Dunne,1,1.9,"$57,000","$3,000,000"
32,33,35,Hideki Matsuyama,15,1.88,"$2,148,164","$114,500,000"
33,34,36,Sung Kang,20,1.85,"$2,713,770","$146,900,000"
34,35,37,Matt Wallace,9,1.84,"$1,207,973","$65,800,000"
35,36,T31,Scott Piercy,19,1.82,"$2,469,810","$136,000,000"
36,37,26,Erik van Rooyen,4,1.81,"$505,152","$27,850,000"
37,38,T33,Matt Every,12,1.72,"$1,385,178","$80,600,000"
38,39,39,Matthew Fitzpatrick,11,1.71,"$1,421,852","$83,000,000"
39,40,40,Ian Poulter,13,1.69,"$1,626,155","$96,000,000"
40,41,41,Keith Mitchell,19,1.67,"$2,275,371","$136,150,000"
41,42,,Collin Morikawa,1,1.65,"$125,400","$7,600,000"
42,43,51,Brandt Snedeker,18,1.63,"$2,080,299","$127,950,000"
43,44,42,Louis Oosthuizen,12,1.61,"$1,438,925","$89,100,000"
44,T45,T44,Lucas Glover,17,1.58,"$1,871,973","$118,600,000"
45,T45,T44,Max Homa,19,1.58,"$1,912,458","$121,400,000"
46,47,46,Andrew Putnam,17,1.57,"$2,015,955","$128,250,000"
47,48,38,Lucas Bjerregaard,10,1.56,"$1,134,881","$72,800,000"
48,49,48,C.T. Pan,19,1.53,"$2,135,372","$139,600,000"
49,50,49,Rafa Cabrera Bello,15,1.52,"$1,739,755","$114,200,000"
50,T51,50,Armando Favela,1,1.5,"$108,000","$7,200,000"
