,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,3,Rory McIlroy,13,31.22,"$6,700,659","$21,466,000"
1,2,1,Brooks Koepka,13,27.94,"$5,923,315","$21,203,200"
2,3,2,Dustin Johnson,12,27.14,"$5,239,396","$19,306,000"
3,4,4,Matt Kuchar,16,24.59,"$5,993,739","$24,374,000"
4,5,5,Tiger Woods,8,21.66,"$3,041,317","$14,038,000"
5,6,6,Patrick Cantlay,14,21.08,"$4,533,389","$21,505,200"
6,7,7,Xander Schauffele,15,20.1,"$4,792,299","$23,842,000"
7,8,8,Francesco Molinari,10,18.08,"$3,070,507","$16,984,000"
8,9,9,Justin Rose,11,17.91,"$3,240,556","$18,097,000"
9,10,10,Adam Scott,12,16.07,"$3,014,154","$18,753,200"
10,11,11,Rickie Fowler,14,15.53,"$3,376,229","$21,743,000"
11,12,12,Paul Casey,15,15.18,"$3,575,535","$23,554,000"
12,13,14,Jon Rahm,14,14.43,"$3,075,537","$21,311,200"
13,14,13,Justin Thomas,13,14.07,"$2,824,557","$20,072,000"
14,15,15,Marc Leishman,14,13.65,"$3,048,854","$22,340,000"
15,16,16,Gary Woodland,17,12.81,"$3,306,460","$25,814,000"
16,17,17,Ryan Palmer,16,11.82,"$2,649,925","$22,417,200"
17,18,33,Webb Simpson,14,11.65,"$2,475,285","$21,242,000"
18,19,18,Tony Finau,17,11.48,"$2,993,259","$26,077,200"
19,20,19,Phil Mickelson,13,11.19,"$2,313,230","$20,680,000"
20,21,21,Kevin Kisner,17,10.85,"$2,732,703","$25,187,200"
21,22,22,Tommy Fleetwood,11,10.8,"$1,957,802","$18,121,200"
22,T23,24,Bryson DeChambeau,13,10.67,"$2,205,989","$20,666,000"
23,T23,20,Jim Furyk,16,10.67,"$2,429,835","$22,776,200"
24,25,25,Paul Dunne,1,10.56,"$57,000","$540,000"
25,26,27,Jason Day,14,9.92,"$2,216,918","$22,356,200"
26,27,23,Matt Every,12,9.72,"$1,385,178","$14,245,200"
27,28,29,Jazz Janewattananond,1,9.68,"$191,665","$1,980,000"
28,29,30,Sung Kang,20,9.64,"$2,713,771","$28,159,200"
29,30,26,Sergio Garcia,11,9.58,"$1,666,758","$17,393,200"
30,31,28,Scott Piercy,19,9.38,"$2,469,813","$26,327,200"
31,32,32,Charles Howell III,19,9.2,"$2,640,301","$28,694,000"
32,33,,Collin Morikawa,1,9.17,"$125,400","$1,368,000"
33,34,34,Kevin Na,15,9.06,"$2,170,381","$23,946,000"
34,35,31,Corey Conners,20,9.01,"$2,361,541","$26,215,200"
35,36,35,Hideki Matsuyama,15,8.82,"$2,148,165","$24,360,000"
36,37,82,Shane Lowry,10,8.65,"$1,423,807","$16,457,200"
37,38,36,Armando Favela,1,8.33,"$108,000","$1,296,000"
38,39,37,Andrew Putnam,17,8.15,"$2,015,956","$24,732,200"
39,40,38,Lucas Glover,17,8.12,"$1,871,975","$23,065,200"
40,41,39,Max Homa,19,8.11,"$1,912,458","$23,569,200"
41,42,40,Keith Mitchell,19,8.0,"$2,275,372","$28,457,000"
42,43,41,C.T. Pan,19,7.98,"$2,135,373","$26,745,200"
43,44,43,Ian Poulter,13,7.78,"$1,626,155","$20,897,200"
44,45,44,Matt Wallace,9,7.75,"$1,207,973","$15,594,000"
45,46,55,Brandt Snedeker,18,7.7,"$2,080,300","$27,011,000"
46,47,45,Eddie Pepperell,7,7.63,"$967,186","$12,670,000"
47,48,46,Matthew Fitzpatrick,11,7.61,"$1,421,853","$18,690,000"
48,49,42,Erik van Rooyen,4,7.44,"$505,152","$6,793,000"
49,50,T48,Louis Oosthuizen,12,7.33,"$1,438,925","$19,625,200"
50,51,50,Jason Kokrak,17,7.27,"$1,758,529","$24,181,200"
51,52,51,Michael Lorenzo-Vera,1,7.23,"$143,100","$1,980,000"
52,53,47,J.B. Holmes,18,7.18,"$1,951,853","$27,186,200"
53,54,57,Graeme McDowell,16,7.17,"$1,451,973","$20,239,200"
54,55,52,Rafa Cabrera Bello,15,7.16,"$1,739,756","$24,306,000"
55,56,53,Doc Redman,1,7.0,"$99,540","$1,422,000"
56,57,T48,Lucas Bjerregaard,10,6.73,"$1,134,881","$16,854,000"
57,58,54,Bubba Watson,13,6.5,"$1,308,137","$20,115,200"
58,59,58,Kiradech Aphibarnrat,15,6.46,"$1,542,705","$23,874,000"
59,T60,73,Adam Hadwin,18,6.37,"$1,647,255","$25,845,200"
60,T60,59,Ryan Moore,16,6.37,"$1,482,887","$23,292,000"
61,T62,60,Si Woo Kim,20,6.36,"$1,862,223","$29,274,200"
62,T62,56,Kevin Tway,19,6.36,"$1,714,224","$26,957,200"
63,64,72,Sungjae Im,26,6.28,"$2,164,281","$34,477,200"
64,65,61,Jhonattan Vegas,18,6.27,"$1,495,750","$23,857,200"
65,66,62,Emiliano Grillo,17,6.2,"$1,615,034","$26,034,000"
66,67,63,Jordan Spieth,16,6.19,"$1,513,913","$24,442,000"
67,68,64,Joel Dahmen,22,6.11,"$1,816,246","$29,725,200"
68,69,66,Kevin Chappell,3,6.02,"$257,023","$4,266,000"
69,T70,T67,Cameron Champ,19,6.0,"$1,553,928","$25,895,200"
70,T70,T67,Martin Flores,1,6.0,"$32,400","$540,000"
71,72,69,Luke List,16,5.97,"$1,374,480","$23,039,000"
72,T73,T70,Chez Reavie,19,5.94,"$1,620,611","$27,265,200"
73,T73,T70,Rory Sabbatini,19,5.94,"$1,434,391","$24,145,200"
74,75,65,Talor Gooch,12,5.79,"$919,597","$15,876,000"
75,76,74,Patrick Rodgers,14,5.59,"$1,028,191","$18,378,000"
76,77,75,Adam Long,19,5.42,"$1,446,047","$26,694,000"
77,78,76,Charley Hoffman,18,5.32,"$1,423,610","$26,763,200"
78,79,77,Michael Thompson,17,5.29,"$1,261,155","$23,832,000"
79,80,78,Kevin Streelman,20,5.25,"$1,381,787","$26,305,200"
80,81,79,Danny Lee,20,5.2,"$1,439,131","$27,691,200"
81,82,80,Andrea Pavan,1,5.09,"$86,500","$1,700,000"
82,83,81,Billy Horschel,19,5.08,"$1,478,042","$29,069,200"
83,84,83,Zack Fischer,2,4.87,"$135,000","$2,772,000"
84,85,84,Aaron Baddeley,15,4.85,"$904,982","$18,648,000"
85,T86,T85,Abraham Ancer,20,4.82,"$1,398,165","$29,003,200"
86,T86,T85,Thomas Pieters,4,4.82,"$306,655","$6,362,000"
87,88,87,Cameron Smith,16,4.79,"$1,180,910","$24,655,200"
88,89,107,Henrik Stenson,12,4.77,"$931,054","$19,535,200"
89,90,88,Justin Harding,9,4.75,"$656,641","$13,820,200"
90,T91,T89,Byeong Hun An,15,4.67,"$1,097,375","$23,496,000"
91,T91,T89,Pat Perez,16,4.67,"$1,056,789","$22,623,200"
92,T93,T91,Branden Grace,18,4.62,"$1,275,329","$27,589,200"
93,T93,T91,Alexander Levy,1,4.62,"$78,500","$1,700,000"
94,T95,T93,Tyrrell Hatton,13,4.61,"$996,632","$21,606,000"
95,T95,T93,Martin Kaymer,11,4.61,"$798,689","$17,316,000"
96,97,95,Troy Merritt,12,4.47,"$753,310","$16,859,200"
97,98,T96,Sam Horsfield,3,4.32,"$139,405","$3,229,200"
98,99,98,Sam Ryder,16,4.26,"$917,253","$21,546,000"
99,100,99,Patrick Reed,15,4.25,"$992,216","$23,327,200"
