,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Rory McIlroy,13,10,2.0,1.0,
1,T2,T2,Patrick Cantlay,14,8,1.0,1.0,2.0
2,T2,T4,Matt Kuchar,16,8,2.0,2.0,
3,T2,T2,Jon Rahm,14,8,1.0,,
4,T5,T4,Dustin Johnson,12,7,1.0,2.0,
5,T5,T4,Gary Woodland,17,7,,2.0,
6,T7,T9,Sungjae Im,26,6,,,1.0
7,T7,T7,Marc Leishman,14,6,1.0,,1.0
8,T7,T7,Scott Piercy,19,6,,1.0,1.0
9,T10,T9,Paul Casey,15,5,1.0,1.0,1.0
10,T10,T9,Jason Day,14,5,,,
11,T10,T9,Rickie Fowler,14,5,1.0,1.0,
12,T10,T9,Sergio Garcia,11,5,,1.0,
13,T10,T9,Brooks Koepka,13,5,2.0,2.0,
14,T10,T9,Ryan Palmer,16,5,1.0,,1.0
15,T10,T9,Justin Rose,11,5,1.0,,2.0
16,T10,T9,Adam Scott,12,5,,2.0,
17,T10,T9,Justin Thomas,13,5,,1.0,2.0
18,T19,T19,Scott Brown,21,4,,,
19,T19,T19,Tommy Fleetwood,11,4,,1.0,1.0
20,T19,T19,Lucas Glover,17,4,,,
21,T19,T34,Adam Hadwin,18,4,,1.0,
22,T19,T19,Charles Howell III,19,4,1.0,,
23,T19,T19,Sung Kang,20,4,1.0,,
24,T19,T19,Si Woo Kim,20,4,,,1.0
25,T19,T19,Jason Kokrak,17,4,,1.0,
26,T19,T19,Luke List,16,4,,,
27,T19,T19,Hideki Matsuyama,15,4,,,1.0
28,T19,T19,Ian Poulter,13,4,,,1.0
29,T19,T19,Rory Sabbatini,19,4,,,1.0
30,T19,T19,Xander Schauffele,15,4,2.0,1.0,
31,T19,T34,Webb Simpson,14,4,,1.0,1.0
32,T19,T19,Kevin Streelman,20,4,,,
33,T19,T19,Michael Thompson,17,4,,,
34,T19,T19,Tiger Woods,8,4,1.0,,
