,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,3,Rory McIlroy,13,"$6,700,659"
1,2,2,Matt Kuchar,17,"$6,028,239"
2,3,1,Brooks Koepka,13,"$5,923,316"
3,4,4,Dustin Johnson,13,"$5,379,396"
4,5,5,Xander Schauffele,16,"$4,918,966"
5,6,6,Patrick Cantlay,15,"$4,680,890"
6,7,7,Jon Rahm,15,"$4,075,538"
7,8,8,Paul Casey,15,"$3,575,536"
8,9,9,Marc Leishman,15,"$3,527,604"
9,10,10,Rickie Fowler,15,"$3,523,730"
10,11,11,Justin Rose,12,"$3,490,556"
11,12,12,Gary Woodland,19,"$3,433,128"
12,13,13,Tony Finau,19,"$3,393,259"
13,14,14,Tiger Woods,10,"$3,146,317"
14,15,15,Francesco Molinari,10,"$3,070,507"
15,16,16,Adam Scott,12,"$3,014,154"
16,17,17,Justin Thomas,14,"$2,933,557"
17,18,18,Kevin Kisner,18,"$2,732,704"
18,19,19,Sung Kang,20,"$2,713,772"
19,20,21,Ryan Palmer,16,"$2,649,926"
20,21,20,Charles Howell III,20,"$2,640,302"
21,22,41,Webb Simpson,14,"$2,475,286"
22,23,22,Scott Piercy,19,"$2,469,813"
23,24,23,Jim Furyk,16,"$2,429,835"
24,25,24,Corey Conners,20,"$2,361,542"
25,26,25,Jason Day,15,"$2,322,919"
26,27,26,Bryson DeChambeau,15,"$2,314,989"
27,28,27,Phil Mickelson,14,"$2,313,230"
28,29,28,Keith Mitchell,19,"$2,275,372"
29,30,29,Hideki Matsuyama,16,"$2,248,165"
30,31,30,Kevin Na,16,"$2,170,382"
31,32,37,Sungjae Im,26,"$2,164,282"
32,33,31,C.T. Pan,19,"$2,135,373"
33,34,43,Brandt Snedeker,19,"$2,080,301"
34,35,32,Andrew Putnam,17,"$2,015,956"
35,36,33,Si Woo Kim,21,"$1,988,473"
36,37,34,Tommy Fleetwood,11,"$1,957,802"
37,38,35,J.B. Holmes,18,"$1,951,854"
38,39,36,Max Homa,19,"$1,912,459"
39,40,38,Abraham Ancer,21,"$1,876,915"
40,41,39,Lucas Glover,17,"$1,871,976"
41,42,52,Adam Hadwin,19,"$1,828,255"
42,43,40,Joel Dahmen,22,"$1,816,246"
43,44,42,Jason Kokrak,17,"$1,758,530"
44,45,44,Rafa Cabrera Bello,15,"$1,739,757"
45,46,45,Ian Poulter,14,"$1,718,656"
46,47,46,Kevin Tway,19,"$1,714,225"
47,48,47,Sergio Garcia,11,"$1,666,758"
48,49,48,Cameron Smith,17,"$1,659,661"
49,50,49,Chez Reavie,19,"$1,620,612"
50,51,50,Emiliano Grillo,18,"$1,615,034"
51,52,51,Kiradech Aphibarnrat,16,"$1,579,706"
52,53,53,Cameron Champ,20,"$1,553,928"
53,54,54,Jhonattan Vegas,19,"$1,522,250"
54,55,55,Jordan Spieth,16,"$1,513,913"
55,56,56,Ryan Moore,16,"$1,482,888"
56,57,57,Billy Horschel,20,"$1,478,043"
57,58,106,Shane Lowry,11,"$1,474,974"
58,59,72,Graeme McDowell,17,"$1,451,974"
59,60,58,Adam Long,19,"$1,446,047"
60,61,68,Danny Lee,20,"$1,439,132"
61,62,59,Louis Oosthuizen,12,"$1,438,926"
62,63,60,Rory Sabbatini,19,"$1,434,391"
63,64,61,Thomas Pieters,5,"$1,426,655"
64,65,62,Charley Hoffman,19,"$1,423,611"
65,66,63,Matthew Fitzpatrick,11,"$1,421,853"
66,67,64,Bubba Watson,15,"$1,417,137"
67,68,65,Matt Every,12,"$1,385,179"
68,69,66,Kevin Streelman,20,"$1,381,788"
69,70,67,Luke List,17,"$1,374,480"
70,71,69,Branden Grace,18,"$1,275,329"
71,72,70,Michael Thompson,17,"$1,261,156"
72,73,71,Keegan Bradley,19,"$1,255,632"
73,74,73,Byeong Hun An,16,"$1,223,625"
74,75,74,Matt Wallace,9,"$1,207,974"
75,76,75,Thomas Detry,2,"$1,135,850"
76,77,76,Lucas Bjerregaard,10,"$1,134,881"
77,78,77,Patrick Reed,16,"$1,107,216"
78,79,96,Henrik Stenson,13,"$1,106,055"
79,80,78,Tyrrell Hatton,14,"$1,089,133"
80,81,79,Chesson Hadley,20,"$1,075,199"
81,82,80,Pat Perez,17,"$1,056,790"
82,83,81,Russell Knox,19,"$1,051,367"
83,84,82,Patrick Rodgers,14,"$1,028,191"
84,85,84,Brian Gay,22,"$1,014,912"
85,86,83,Brian Stuard,22,"$999,590"
86,87,87,J.J. Spaun,20,"$989,470"
87,88,85,J.T. Poston,22,"$980,075"
88,89,86,Eddie Pepperell,7,"$967,186"
89,90,88,Scott Stallings,20,"$945,969"
90,91,89,Vaughn Taylor,21,"$940,374"
91,92,90,Bud Cauley,19,"$919,600"
92,93,97,Talor Gooch,12,"$919,598"
93,94,91,Sam Ryder,16,"$917,253"
94,95,93,Adam Schenk,24,"$914,453"
95,96,92,Aaron Baddeley,15,"$904,982"
96,97,99,Harold Varner III,21,"$904,915"
97,98,94,Kyoung-Hoon Lee,22,"$896,238"
98,99,95,Sam Burns,22,"$889,374"
99,100,98,Aaron Wise,16,"$879,925"
100,101,102,Nick Taylor,21,"$874,107"
101,102,103,Scott Brown,21,"$860,483"
102,103,100,Patton Kizzire,19,"$854,847"
103,104,117,Mackenzie Hughes,19,"$851,410"
104,105,101,Martin Kaymer,12,"$823,689"
105,106,104,Ryan Armour,21,"$808,396"
106,107,105,Jason Dufner,19,"$808,270"
107,108,107,Matt Jones,19,"$803,262"
108,109,108,Kyle Stanley,20,"$792,370"
109,110,109,Jonas Blixt,20,"$782,686"
110,111,111,Peter Uihlein,22,"$780,481"
111,112,110,Roberto Díaz,17,"$758,528"
112,113,112,Troy Merritt,12,"$753,310"
113,114,113,Chris Stroud,19,"$752,052"
114,115,114,Carlos Ortiz,21,"$745,292"
115,116,115,Richy Werenski,20,"$737,824"
116,117,123,Peter Malnati,19,"$736,959"
117,118,116,Nick Watney,20,"$731,829"
118,119,118,Brian Harman,23,"$723,561"
119,120,120,Alex Noren,15,"$711,644"
120,121,119,Seamus Power,21,"$698,309"
121,122,121,Thorbjørn Olesen,9,"$692,219"
122,123,122,Martin Trainer,19,"$692,155"
123,124,142,Sebastián Muñoz,18,"$681,284"
124,125,124,Austin Cook,17,"$659,520"
125,126,125,Denny McCarthy,20,"$659,452"
126,127,126,Justin Harding,9,"$656,642"
127,128,154,Cameron Tringale,15,"$631,567"
128,129,127,Ryan Blaum,21,"$630,363"
129,130,128,Haotong Li,10,"$616,483"
130,131,129,Brice Garnett,21,"$612,260"
131,132,130,Wyndham Clark,20,"$608,649"
132,133,166,Danny Willett,15,"$606,203"
133,134,131,Scott Langley,20,"$599,204"
134,135,150,Hank Lebioda,16,"$590,195"
