,Victory_Leaders_RANK THIS WEEK,Victory_Leaders_RANK LAST WEEK,Victory_Leaders_PLAYER NAME,Victory_Leaders_EVENTS,Victory_Leaders_VICTORIES
0,T1,T1,Brooks Koepka,13,2.0
1,T1,T1,Matt Kuchar,16,2.0
2,T1,T4,Rory McIlroy,13,2.0
3,T1,T1,Xander Schauffele,15,2.0
4,T5,T4,Patrick Cantlay,14,1.0
5,T5,T4,Paul Casey,15,1.0
6,T5,T4,Cameron Champ,19,1.0
7,T5,T4,Corey Conners,20,1.0
8,T5,T4,Bryson DeChambeau,13,1.0
9,T5,T4,Rickie Fowler,14,1.0
10,T5,T4,J.B. Holmes,18,1.0
11,T5,T4,Max Homa,19,1.0
12,T5,T4,Charles Howell III,19,1.0
13,T5,T4,Dustin Johnson,12,1.0
14,T5,T4,Sung Kang,20,1.0
15,T5,T4,Kevin Kisner,17,1.0
16,T5,T4,Marc Leishman,14,1.0
17,T5,T4,Adam Long,19,1.0
18,T5,T4,Graeme McDowell,16,1.0
19,T5,T4,Phil Mickelson,13,1.0
20,T5,T4,Keith Mitchell,19,1.0
21,T5,T4,Francesco Molinari,10,1.0
22,T5,T4,Kevin Na,15,1.0
23,T5,T4,Ryan Palmer,16,1.0
24,T5,T4,C.T. Pan,19,1.0
25,T5,T4,Jon Rahm,14,1.0
26,T5,T4,Justin Rose,11,1.0
27,T5,T4,Martin Trainer,19,1.0
28,T5,T4,Kevin Tway,19,1.0
29,T5,T4,Tiger Woods,8,1.0
30,T31,T31,Brad Adamonis,1,
31,T31,T31,Anders Albertson,18,
32,T31,T31,Robert Allenby,2,
33,T31,,James Allenby,1,
34,T31,T31,Max Alverio,1,
35,T31,T31,Byeong Hun An,15,
36,T31,T31,Abraham Ancer,20,
37,T31,T31,Mark Anderson,1,
38,T31,,Matthew Anderson,1,
39,T31,T31,Mark Anguiano,1,
40,T31,T31,Kiradech Aphibarnrat,15,
41,T31,T31,Stuart Appleby,3,
42,T31,T31,Ryan Armour,21,
43,T31,T31,Dawson Armstrong,1,
44,T31,T31,Adri Arnaus,1,
45,T31,T31,Ashun Wu,1,
46,T31,T31,Arjun Atwal,2,
47,T31,T31,John Augenstein,1,
48,T31,T31,Eric Axley,4,
49,T31,T31,Aaron Baddeley,15,
50,T31,T31,Sangmoon Bae,16,
51,T31,T31,Daniel Balin,1,
52,T31,T31,Todd Balkin,1,
53,T31,T31,"Mike Ballo, Jr.",1,
54,T31,T31,Shintaro Ban,2,
55,T31,T31,Blayne Barber,2,
56,T31,T31,Garrett Barber,1,
57,T31,T31,Paul Barjon,2,
58,T31,T31,Ricky Barnes,8,
59,T31,T31,Zach Bauchou,2,
60,T31,T31,Alex Beach,1,
61,T31,T31,Cameron Beckman,2,
62,T31,T31,Rich Beem,1,
63,T31,T31,Oliver Bekker,1,
64,T31,T31,Charlie Beljan,2,
65,T31,T31,"Rich Berberian, Jr.",1,
66,T31,T31,Daniel Berger,14,
67,T31,T31,Justin Bertsch,2,
68,T31,T31,Akshay Bhatia,1,
69,T31,T31,Gaganjeet Bhullar,2,
70,T31,T31,Lucas Bjerregaard,10,
71,T31,T31,Alexander Björk,3,
72,T31,T31,Zac Blair,1,
73,T31,,Michael Blair,1,
74,T31,T31,Adam Bland,1,
75,T31,T31,Kris Blanks,1,
76,T31,T31,Ryan Blaum,21,
77,T31,T31,Devon Bling,1,
78,T31,T31,Jonas Blixt,20,
79,T31,T31,Michael Block,2,
80,T31,T31,Jason Bohn,3,
81,T31,T31,Dominic Bozzelli,17,
82,T31,T31,Keegan Bradley,18,
83,T31,,Etienne Brault,1,
84,T31,T31,Rufus Brijalba,1,
85,T31,T31,Scott Brown,21,
86,T31,T31,Mark Brown,0,
87,T31,T31,Wesley Bryan,5,
88,T31,T31,Hayden Buckley,1,
89,T31,T31,Bronson Burgoon,14,
90,T31,T31,Sam Burns,22,
91,T31,,Marc-Étienne Bussières,1,
92,T31,T31,Jonathan Byrd,13,
93,T31,T31,Ángel Cabrera,2,
94,T31,T31,Rafa Cabrera Bello,15,
95,T31,T31,Chad Campbell,9,
96,T31,T31,Jorge Campillo,2,
97,T31,T31,Rafael Campos,2,
98,T31,T31,Will Cannon,1,
99,T31,T31,Jason Caron,1,
100,T31,T31,Roberto Castro,16,
101,T31,T31,John Catlin,5,
102,T31,T31,Bud Cauley,19,
103,T31,T31,Juan Cayro Delgado,1,
104,T31,T31,Alex Cejka,16,
105,T31,T31,Kevin Chappell,3,
106,T31,T31,John Chin,14,
107,T31,T31,K.J. Choi,7,
108,T31,T31,Ho Sung Choi,1,
109,T31,,Albin Choi,1,
110,T31,T31,Minchel Choi,2,
111,T31,T31,Daniel Chopra,3,
112,T31,T31,Stewart Cink,12,
113,T31,T31,Wyndham Clark,20,
114,T31,T31,Will Claxton,2,
115,T31,T31,Keith Clearwater,1,
116,T31,T31,George Coetzee,2,
117,T31,T31,Chad Collins,9,
118,T31,T31,Erik Compton,1,
119,T31,T31,Austin Connelly,2,
120,T31,T31,Austin Cook,17,
121,T31,T31,Ben Cook,1,
122,T31,T31,Chris Couch,2,
123,T31,T31,Fred Couples,3,
124,T31,T31,Ben Crane,13,
125,T31,,Chris Crisologo,1,
126,T31,T31,George Cunningham,2,
127,T31,T31,Jon Curran,4,
128,T31,T31,Roberto Díaz,16,
129,T31,T31,Joel Dahmen,22,
130,T31,T31,John Daly,1,
131,T31,T31,Brian Davis,5,
132,T31,T31,Cameron Davis,18,
133,T31,T31,Jason Day,14,
134,T31,T31,Brendon de Jonge,4,
135,T31,,JC Deacon,1,
136,T31,T31,Stuart Deane,2,
137,T31,,Thomas DeMarco,1,
138,T31,,Joseph Deraney,1,
139,T31,T31,Thomas Detry,1,
140,T31,T31,Luke Donald,8,
141,T31,T31,Bruce Doucett,1,
142,T31,T31,Kevin Dougherty,2,
143,T31,T31,Bradley Dredge,0,
144,T31,T31,Brett Drewitt,1,
145,T31,T31,James Driscoll,1,
146,T31,T31,Jason Dufner,19,
147,T31,T31,Eric Dugas,1,
148,T31,T31,Ken Duke,1,
149,T31,T31,Tyler Duncan,22,
150,T31,T31,Paul Dunne,1,
151,T31,T31,David Duval,4,
152,T31,T31,Jacob Eggers,1,
153,T31,T31,Ernie Els,14,
154,T31,T31,Harris English,21,
155,T31,T31,Derek Ernst,2,
156,T31,T31,Jeronimo Esteve,1,
157,T31,T31,Julián Etulain,17,
158,T31,T31,Lukas Euler,1,
159,T31,T31,Broc Everett,2,
160,T31,T31,Matt Every,12,
161,T31,T31,Derek Fathauer,10,
162,T31,T31,Armando Favela,1,
163,T31,T31,Edward Figueroa,1,
164,T31,T31,Andrew Filbert,2,
165,T31,T31,Tony Finau,17,
166,T31,T31,Zack Fischer,2,
167,T31,T31,Ross Fisher,1,
168,T31,T31,Matthew Fitzpatrick,11,
169,T31,T31,Tommy Fleetwood,11,
170,T31,T31,Martin Flores,1,
171,T31,T31,Benjamin Follett-Smith,0,
172,T31,T31,Ryan Fox,4,
173,T31,T31,"Ray Franz, Jr.",1,
174,T31,T31,Oscar Fraustro,1,
175,T31,T31,Dylan Frittelli,16,
176,T31,T31,Wilson Furr,1,
177,T31,T31,Jim Furyk,16,
178,T31,T31,Tommy Gainey,3,
179,T31,T31,Robert Gamez,2,
180,T31,T31,Rahil Gangjee,1,
181,T31,T31,Joey Garber,15,
182,T31,T31,Sergio Garcia,11,
183,T31,T31,Brice Garnett,21,
184,T31,T31,Robert Garrigus,7,
185,T31,T31,Brian Gay,22,
186,T31,T31,Doug Ghim,6,
187,T31,,Michael Gligic,1,
188,T31,T31,Lucas Glover,17,
189,T31,T31,Mathew Goggin,1,
190,T31,T31,Fabián Gómez,14,
191,T31,T31,Andres Gonzales,1,
192,T31,T31,Talor Gooch,12,
193,T31,T31,Retief Goosen,3,
194,T31,T31,Jason Gore,4,
195,T31,T31,Branden Grace,18,
196,T31,T31,Brent Grant,1,
197,T31,T31,Gavin Kyle Green,0,
198,T31,T31,Cody Gribble,18,
199,T31,T31,Ben Griffin,2,
200,T31,T31,Emiliano Grillo,17,
201,T31,T31,Will Grimmer,1,
202,T31,T31,Bill Haas,18,
203,T31,T31,Chesson Hadley,20,
204,T31,T31,Adam Hadwin,18,
205,T31,T31,Brandon Hagy,12,
206,T31,T31,James Hahn,10,
207,T31,T31,Tyler Hall,1,
208,T31,T31,Todd Hamilton,1,
209,T31,T31,Blair Hamilton,1,
210,T31,T31,Hunter Hamrick,1,
211,T31,T31,Seungsu Han,1,
212,T31,T31,Justin Harding,9,
213,T31,T31,Nick Hardy,3,
214,T31,T31,Brandon Harkins,21,
215,T31,T31,Brian Harman,22,
216,T31,T31,Padraig Harrington,7,
217,T31,T31,Tyrrell Hatton,13,
218,T31,T31,David Hearn,14,
219,T31,T31,Nick Heinen,1,
220,T31,T31,Russell Henley,18,
221,T31,T31,J.J. Henry,15,
222,T31,T31,Berry Henson,1,
223,T31,T31,Lucas Herbert,1,
224,T31,T31,Jim Herman,16,
225,T31,T31,Tim Herron,6,
226,T31,T31,Kramer Hickok,19,
227,T31,T31,Alexander Hicks,1,
228,T31,T31,Craig Hocknull,1,
229,T31,T31,Lee Hodges,1,
230,T31,T31,Charley Hoffman,18,
231,T31,T31,Morgan Hoffmann,8,
232,T31,T31,Tom Hoge,24,
233,T31,T31,Michael Hopper,1,
234,T31,T31,Billy Horschel,19,
235,T31,T31,Sam Horsfield,3,
236,T31,T31,Rikuya Hoshino,1,
237,T31,T31,Beau Hossler,20,
238,T31,T31,Viktor Hovland,4,
239,T31,T31,Mackenzie Hughes,19,
240,T31,T31,John Huh,13,
241,T31,T31,Daan Huizing,0,
242,T31,T31,Theo Humphrey,1,
243,T31,T31,Billy Hurley III,8,
244,T31,T31,Matt Hutchins,1,
245,T31,T31,Yuta Ikeda,2,
246,T31,T31,Mikko Ilonen,0,
247,T31,T31,Sungjae Im,26,
248,T31,T31,Shugo Imahira,4,
249,T31,T31,Trevor Immelman,4,
250,T31,T31,Yuki Inamori,2,
251,T31,T31,Freddie Jacobson,14,
252,T31,T31,Stephan Jaeger,19,
253,T31,T31,Jazz Janewattananond,1,
254,T31,T31,Marty Jertson,1,
255,T31,T31,Zach Johnson,15,
256,T31,T31,Steve Jones,1,
257,T31,T31,Brendan Jones,1,
258,T31,T31,Matt Jones,19,
259,T31,T31,Kyle Jones,19,
260,T31,T31,Peter Jones,1,
261,T31,,Richard Jung,1,
262,T31,T31,Peter Jung,1,
263,T31,T31,Takumi Kanaya,2,
264,T31,T31,Alex Kang,2,
265,T31,T31,Peter Karmis,0,
266,T31,T31,Smylie Kaufman,2,
267,T31,T31,Jonathan Kaye,2,
268,T31,T31,Martin Kaymer,11,
269,T31,T31,Jerry Kelly,2,
270,T31,T31,Maximilian Kieffer,0,
271,T31,T31,Sihwan Kim,2,
272,T31,T31,Whee Kim,21,
273,T31,T31,Si Woo Kim,20,
274,T31,T31,Michael Kim,21,
275,T31,T31,Chris Kirk,17,
276,T31,T31,Kurt Kitayama,1,
277,T31,T31,Patton Kizzire,18,
278,T31,T31,Søren Kjeldsen,0,
279,T31,,Jake Knapp,1,
280,T31,T31,Colt Knost,8,
281,T31,T31,Jim Knous,17,
282,T31,T31,Russell Knox,18,
283,T31,T31,Satoshi Kodaira,16,
284,T31,T31,Chase Koepka,1,
285,T31,T31,Jason Kokrak,17,
286,T31,T31,Mikko Korhonen,1,
287,T31,T31,Yuwa Kosaihira,1,
288,T31,T31,Kelly Kraft,23,
289,T31,T31,Rob Labritz,1,
290,T31,T31,Joakim Lagergren,0,
291,T31,T31,Anirban Lahiri,17,
292,T31,T31,Martin Laird,18,
293,T31,T31,Derek Lamely,1,
294,T31,T31,Neal Lancaster,1,
295,T31,T31,Andrew Landry,18,
296,T31,T31,Bernhard Langer,1,
297,T31,T31,Scott Langley,20,
298,T31,T31,Nate Lashley,13,
299,T31,T31,Hank Lebioda,16,
300,T31,T31,Danny Lee,20,
301,T31,,Richard Lee,1,
302,T31,T31,Kyoung-Hoon Lee,22,
303,T31,T31,Richard Lee,1,
304,T31,T31,Hyungjoon Lee,1,
305,T31,T31,Tae Hee Lee,2,
306,T31,T31,Ben Leong,1,
307,T31,T31,Kim Leun-Kwang,1,
308,T31,T31,Alexander Levy,1,
309,T31,T31,Tom Lewis,3,
310,T31,T31,Haotong Li,9,
311,T31,T31,WC Liang,1,
312,T31,T31,Frank Lickliter II,1,
313,T31,T31,Nicholas Lindheim,10,
314,T31,T31,David Lingmerth,9,
315,T31,T31,David Lipsky,4,
316,T31,T31,Luke List,16,
317,T31,T31,Yanwei Liu,1,
318,T31,T31,Michael Lorenzo-Vera,1,
319,T31,T31,Dru Love,5,
320,T31,T31,Davis Love III,9,
321,T31,T31,Tom Lovelady,10,
322,T31,T31,Jamie Lovemark,7,
323,T31,T31,Shane Lowry,10,
324,T31,T31,Curtis Luck,17,
325,T31,T31,Joost Luiten,4,
326,T31,T31,Sandy Lyle,1,
327,T31,T31,Will MacKenzie,5,
328,T31,T31,Brian Mackey,1,
329,T31,T31,Dong Seop Maeng,1,
330,T31,T31,Hunter Mahan,15,
