,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Phil Mickelson,41,"134' 6""","1614' 2""",12,,"69' 11"""
1,2,2,Bryson DeChambeau,45,"134' 5""","3764' 1""",28,,"99' 2"""
2,3,3,Cameron Davis,54,"127' 7""","5996' 8""",47,,"77' 4"""
3,4,6,Brooks Koepka,49,"121' 6""","5831' 9""",48,,"97' 11"""
4,5,4,James Hahn,34,"121' 3""","1212' 5""",10,,"112' 1"""
5,6,25,Keegan Bradley,65,"121' 2""","3514' 6""",29,,"92' 9"""
6,T7,5,Wyndham Clark,61,"119' 2""",5243',44,,"80' 6"""
7,T7,7,Dustin Johnson,47,"119' 2""","3932' 6""",33,,"81' 1"""
8,9,12,Rory McIlroy,50,"117' 8""","5294' 3""",45,,"79' 2"""
9,T10,T13,Danny Lee,66,"117' 7""","8348' 6""",71,,"72' 8"""
10,T10,10,Trey Mullinax,67,"117' 7""","1404' 6""",97,,"68' 5"""
11,12,9,Jason Day,45,"116' 4""",2791',24,,"95' 11"""
12,13,8,Roger Sloan,62,"116' 0""","9161' 2""",79,,"86' 3"""
13,14,11,Hideki Matsuyama,59,"115' 10""","5443' 2""",47,,"82' 6"""
14,15,T13,Byeong Hun An,54,"115' 0""","5173' 4""",45,,"92' 9"""
15,T16,T16,Sam Burns,66,"114' 5""","7324' 2""",64,,"67' 3"""
16,T16,T16,Rickie Fowler,54,"114' 5""","5148' 4""",45,,"40' 9"""
17,18,18,Matt Wallace,31,"114' 1""","1369' 2""",12,,"97' 1"""
18,19,T26,J.B. Holmes,54,"113' 11""","4441' 2""",39,,"71' 8"""
19,20,19,Brian Gay,79,"113' 8""",5228',46,,"93' 0"""
20,21,T58,Joey Garber,44,"113' 7""","4315' 5""",38,,"76' 5"""
21,22,T13,Alex Noren,49,"113' 2""","6902' 4""",61,,"81' 7"""
22,23,T26,J.J. Spaun,68,"113' 0""","5874' 7""",52,,"78' 4"""
23,24,20,Jonathan Byrd,43,"112' 10""","5755' 7""",51,,"84' 6"""
24,25,T44,Stephan Jaeger,59,"112' 9""","6090' 7""",54,,"35' 11"""
25,26,T28,Alex Prugh,54,"112' 7""",5965',53,,"70' 4"""
26,T27,34,Graeme McDowell,61,"112' 6""","6638' 6""",59,,"70' 6"""
27,T27,22,Jon Rahm,51,"112' 6""","3150' 8""",28,,"77' 1"""
28,29,23,Francesco Molinari,41,"112' 2""","3926' 8""",35,,"61' 10"""
29,30,24,Adam Long,52,"112' 1""",4930',44,,"81' 3"""
30,31,999,Martin Piller,30,"110' 10""","2217' 2""",20,,"88' 4"""
31,32,31,Tiger Woods,31,"110' 4""","1434' 1""",13,,"86' 4"""
32,33,32,Chase Wright,53,"110' 3""",5843',53,,"72' 10"""
33,34,41,Sam Saunders,53,"109' 11""","4726' 6""",43,,"82' 1"""
34,35,33,Xander Schauffele,55,"109' 8""",3179',29,,"79' 11"""
35,36,T28,Julián Etulain,55,"109' 5""","4485' 1""",41,,"76' 11"""
36,37,35,Jason Kokrak,68,"109' 2""","6659' 1""",61,,"55' 3"""
37,38,36,Sepp Straka,48,"108' 7""",5427',50,,"81' 2"""
38,T39,37,Luke List,52,"108' 3""","6709' 3""",62,,"85' 4"""
39,T39,53,Hudson Swafford,59,"108' 3""","8227' 4""",76,,"49' 10"""
40,T41,T38,Beau Hossler,66,"108' 2""","7898' 5""",73,,"69' 4"""
41,T41,T38,Keith Mitchell,64,"108' 2""","6597' 7""",61,,"63' 2"""
42,43,40,Patton Kizzire,58,"108' 1""","4647' 8""",43,,"69' 7"""
43,44,21,Harold Varner III,62,"108' 0""","5183' 4""",48,,"66' 3"""
44,45,42,Justin Rose,42,"107' 4""","3862' 6""",36,,"71' 1"""
45,T46,T49,Sergio Garcia,39,"107' 3""","4717' 6""",44,,"69' 8"""
46,T46,82,Cameron Tringale,52,"107' 3""","6865' 8""",64,,"72' 1"""
47,T46,74,Danny Willett,47,"107' 3""","3432' 6""",32,,"84' 1"""
48,49,43,Billy Horschel,73,"107' 2""","6108' 6""",57,,"51' 11"""
49,50,T44,Charley Hoffman,58,"107' 1""","5354' 2""",50,,"51' 2"""
50,51,T49,Josh Teater,47,"106' 9""",5657',53,,"86' 9"""
51,52,T47,Bill Haas,58,"106' 7""","7676' 7""",72,,"63' 7"""
52,T53,T54,Dominic Bozzelli,53,"106' 4""","5316' 4""",50,,"82' 11"""
53,T53,T47,Tyrrell Hatton,46,"106' 4""","3614' 9""",34,,"83' 1"""
54,55,62,Dylan Frittelli,55,"106' 0""",6993',66,,"71' 0"""
55,56,51,Tony Finau,61,"105' 11""","6569' 4""",62,,"73' 2"""
56,57,T54,Vaughn Taylor,69,"105' 7""","5489' 4""",52,,"77' 11"""
57,58,57,Brendan Steele,50,"105' 3""",7472',71,,"71' 7"""
58,59,56,Carlos Ortiz,60,"105' 1""","6726' 5""",64,,"65' 10"""
59,60,46,Lucas Bjerregaard,37,"105' 0""","4513' 7""",43,,"77' 0"""
60,61,T58,Mackenzie Hughes,58,"104' 8""",9210',88,,"69' 3"""
61,T62,T60,Tommy Fleetwood,43,"104' 6""","2611' 8""",25,,"87' 9"""
62,T62,52,Aaron Wise,52,"104' 6""","4599' 1""",44,,"76' 10"""
63,T62,T60,Gary Woodland,63,"104' 6""","5746' 7""",55,,"85' 9"""
