,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Gary Woodland,63,14,3,11
1,T2,T4,Charles Howell III,64,18,13,5
2,T2,T2,Tiger Woods,31,18,17,1
3,4,T4,Paul Casey,51,20,1,19
4,T5,7,Corey Conners,62,21,15,6
5,T5,T2,Brooks Koepka,49,21,11,10
6,7,T4,Matt Kuchar,65,22,19,3
7,8,T8,Emiliano Grillo,65,26,6,20
8,9,T8,Keegan Bradley,65,28,6,22
9,10,T10,Alex Prugh,54,34,19,15
10,T11,18,Rory McIlroy,50,39,30,9
11,T11,T10,Scott Piercy,70,39,31,8
12,13,12,Brendan Steele,50,41,2,39
13,14,T13,Hideki Matsuyama,59,42,16,26
14,15,17,Justin Thomas,49,43,39,4
15,16,15,Aaron Wise,52,48,23,25
16,17,16,Troy Merritt,42,49,19,30
17,T18,20,Jason Kokrak,68,51,10,41
18,T18,T23,Xander Schauffele,55,51,28,23
19,20,T21,Lucas Glover,62,54,26,28
20,21,T23,Jon Rahm,51,55,9,46
21,22,19,Ian Poulter,49,58,34,24
22,23,T21,James Hahn,34,60,58,2
23,24,25,Keith Mitchell,64,63,28,35
24,25,26,Jason Day,45,65,25,40
25,26,27,Kevin Streelman,63,69,27,42
26,27,35,Hank Lebioda,55,71,33,38
27,28,29,Jhonattan Vegas,60,78,50,28
28,29,T33,Rickie Fowler,54,86,23,63
29,T30,T33,Tommy Fleetwood,43,88,18,70
30,T30,T31,Chez Reavie,67,88,42,46
31,32,T39,Patrick Cantlay,49,90,53,37
32,33,30,Russell Knox,65,91,64,27
33,34,36,Adam Scott,41,93,37,56
34,35,T39,Sungjae Im,88,96,32,64
35,36,T31,Carlos Ortiz,60,97,36,61
36,T37,T49,Henrik Stenson,46,98,48,50
37,T37,T13,D.J. Trahan,33,98,84,14
38,39,47,Nick Watney,67,100,66,34
39,40,T37,Abraham Ancer,69,102,12,90
40,T41,T41,Cameron Champ,58,103,87,16
41,T41,T41,Joel Dahmen,78,103,19,84
42,43,43,Dustin Johnson,47,105,92,13
43,44,44,Jim Furyk,53,106,99,7
44,45,T37,Ryan Palmer,56,107,89,18
45,46,T52,Tyrrell Hatton,46,113,34,79
46,T47,T49,Hunter Mahan,45,115,40,75
47,T47,66,Adam Schenk,80,115,53,62
48,49,48,Bryson DeChambeau,45,117,3,114
49,50,45,Sepp Straka,48,119,53,66
50,51,28,Bubba Watson,47,120,46,74
51,52,51,Brice Garnett,63,122,77,45
52,53,T52,Kramer Hickok,59,123,44,79
53,T54,T52,Matt Every,38,124,52,72
54,T54,T58,Webb Simpson,53,124,59,65
55,56,T55,Adam Hadwin,66,129,44,85
56,57,T55,Russell Henley,56,132,77,55
57,58,57,J.J. Spaun,68,136,93,43
58,59,60,Louis Oosthuizen,43,137,8,129
59,T60,T58,Tyler Duncan,66,144,77,67
60,T60,62,Fabián Gómez,44,144,65,79
61,62,61,Chase Wright,53,146,42,104
62,63,T75,Talor Gooch,37,148,136,12
63,64,T64,Sam Ryder,52,149,61,88
64,T65,T69,Lucas Bjerregaard,37,151,40,111
65,T65,T69,Kyoung-Hoon Lee,72,151,108,43
66,67,T80,Sebastián Muñoz,58,153,67,86
67,68,74,Jason Dufner,56,154,133,21
68,T69,68,Cameron Davis,54,156,84,72
69,T69,T77,Sung Kang,67,156,47,109
70,T71,73,Billy Horschel,73,159,106,53
