,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Cameron Champ,58,312.2,11865.3,38,,272.5
1,2,3,Rory McIlroy,50,303.3,12433.6,41,,278.0
2,3,2,Grayson Murray,36,302.8,6358.8,21,,273.5
3,4,5,Trey Mullinax,67,302.3,27809.1,92,,272.7
4,5,4,Jason Day,45,301.2,6927.2,23,,276.9
5,6,6,Cameron Davis,54,300.0,13801.2,46,,262.9
6,7,7,Luke List,52,299.3,17658.4,59,,270.0
7,T8,8,Wyndham Clark,61,298.4,12832.0,43,,262.6
8,T8,T30,Dustin Johnson,47,298.4,9550.0,32,,265.2
9,10,12,Ollie Schniederjans,63,297.4,16359.3,55,,260.5
10,11,9,Tony Finau,61,297.3,17540.2,59,,266.4
11,12,10,Sam Burns,66,296.7,18097.9,61,,258.2
12,T13,15,J.B. Holmes,54,296.6,10381.8,35,,267.2
13,T13,11,Phil Mickelson,41,296.6,3262.8,11,,248.0
14,15,13,Keith Mitchell,64,295.6,17737.5,60,,256.2
15,16,14,Gary Woodland,63,295.2,15054.0,51,,263.7
16,17,16,Brooks Koepka,49,295.1,13574.4,46,,269.7
17,18,17,Seth Reeves,52,294.8,10024.6,34,,214.2
18,19,18,Jhonattan Vegas,60,292.8,13177.6,45,,246.8
19,20,T26,Alex Prugh,54,292.6,14337.5,49,,260.0
20,T21,19,Byeong Hun An,54,292.5,12579.6,43,,265.4
21,T21,T30,Peter Uihlein,65,292.5,17842.6,61,,253.7
22,23,T22,Sergio Garcia,39,292.4,12571.4,43,,255.8
23,24,T53,Bubba Watson,47,292.2,5259.6,18,,267.3
24,T25,T34,Lucas Bjerregaard,37,292.0,12262.2,42,,262.0
25,T25,29,Sepp Straka,48,292.0,13138.0,45,,259.2
26,T27,20,Rickie Fowler,54,291.9,12261.2,42,,212.0
27,T27,24,Martin Trainer,51,291.9,18683.5,64,,263.9
28,29,28,Nick Watney,67,291.6,17205.7,59,,256.3
29,T30,42,Cody Gribble,52,291.2,13685.9,47,,253.4
30,T30,T22,Jason Kokrak,68,291.2,17182.2,59,,259.0
31,32,25,Justin Rose,42,290.7,9884.3,34,,269.6
32,33,T26,Xander Schauffele,55,290.6,8427.7,29,,269.3
33,34,43,Alex Noren,49,290.5,16850.5,58,,258.8
34,35,33,Harris English,72,290.3,24966.9,86,,253.0
35,36,T34,Adam Schenk,80,290.1,22917.7,79,,262.7
36,37,21,Harold Varner III,62,290.0,13628.7,47,,247.5
37,T38,32,Bryson DeChambeau,45,289.8,8114.7,28,,264.1
38,T38,41,Carlos Ortiz,60,289.8,18259.0,63,,246.4
39,40,46,Kevin Tway,62,289.4,14178.6,49,,242.8
40,41,36,Max Homa,61,289.2,15907.5,55,,262.3
41,42,37,Hideki Matsuyama,59,289.1,13010.9,45,,260.2
42,43,39,Patrick Rodgers,44,288.9,10978.5,38,,257.7
43,T44,40,Jon Rahm,51,288.8,8087.5,28,,261.9
44,T44,38,Aaron Wise,52,288.8,12417.7,43,,264.2
45,46,T136,Keegan Bradley,65,288.5,8365.9,29,,226.5
46,T47,T44,Patrick Cantlay,49,287.5,8049.3,28,,254.9
47,T47,T44,Brendan Steele,50,287.5,20127.6,70,,254.9
48,49,55,Jim Knous,55,286.5,15756.7,55,,254.4
49,50,T86,John Chin,38,286.4,5155.3,18,,250.6
50,51,103,Danny Willett,47,286.2,8298.7,29,,253.2
51,T52,T47,Tommy Fleetwood,43,286.0,6865.1,24,,268.3
52,T52,T47,Chesson Hadley,58,286.0,14015.8,49,,262.0
53,T52,63,Danny Lee,66,286.0,20017.2,70,,252.9
54,T52,49,Hudson Swafford,59,286.0,21165.1,74,,241.2
55,56,50,Scott Stallings,63,285.3,19116.2,67,,242.8
56,T57,52,Brandon Harkins,67,285.2,22244.2,78,,256.9
57,T57,51,Martin Laird,60,285.2,24531.1,86,,253.3
58,59,T59,Ryan Palmer,56,285.1,19384.7,68,,221.6
59,60,T59,Mackenzie Hughes,58,284.8,23922.9,84,,242.9
60,61,T98,Joey Garber,44,284.7,10534.2,37,,255.9
61,T62,77,Stephan Jaeger,59,284.4,15073.1,53,,230.6
62,T62,T74,Sam Saunders,53,284.4,11661.7,41,,252.5
63,T64,T78,Dominic Bozzelli,53,284.3,13364.3,47,,252.3
64,T64,T53,Beau Hossler,66,284.3,19901.7,70,,252.0
65,T66,T65,Matt Every,38,284.2,8241.0,29,,250.3
66,T66,57,Seamus Power,58,284.2,19323.7,68,,228.7
67,68,93,D.J. Trahan,33,284.1,11079.7,39,,240.2
68,69,56,Matt Wallace,31,284.0,3124.5,11,,270.0
69,70,T74,Chase Wright,53,283.8,14473.7,51,,254.9
70,T71,T61,Dylan Frittelli,55,283.7,17876.0,63,,247.9
71,T71,83,Hank Lebioda,55,283.7,13050.2,46,,240.5
72,T73,T65,Talor Gooch,37,283.5,12188.8,43,,244.0
73,T73,58,Charley Hoffman,58,283.5,13893.8,49,,248.7
74,T75,67,Josh Teater,47,283.2,13595.9,48,,251.4
75,T75,T68,Cameron Tringale,52,283.2,18123.5,64,,241.3
76,77,T61,Tyrrell Hatton,46,283.0,9338.4,33,,253.2
77,T78,64,Haotong Li,32,282.8,5372.6,19,,252.9
78,T78,T70,Roger Sloan,62,282.8,21771.9,77,,240.2
79,T78,T115,Justin Thomas,49,282.8,11593.9,41,,249.6
80,81,T96,Chris Thompson,34,282.7,9892.8,35,,252.8
81,T82,76,Sebastián Muñoz,58,282.5,17235.2,61,,252.6
82,T82,80,Joaquin Niemann,68,282.5,20336.6,72,,246.0
83,84,T68,James Hahn,34,282.2,2539.9,9,,258.8
84,85,T70,Adam Scott,41,282.1,5924.1,21,,252.9
