,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,T1,14,Joey Garber,44,2.542,284.7,112.01,,2.792
1,T1,999,Martin Piller,30,2.542,281.6,110.75299999999999,,2.7239999999999998
2,T3,1,Jason Day,45,2.539,301.2,118.63,,2.681
3,T3,2,David Hearn,41,2.539,268.2,105.63799999999999,,2.7119999999999997
4,5,T36,Danny Willett,47,2.533,286.2,112.95299999999999,,2.766
5,6,T126,Keegan Bradley,65,2.532,288.5,113.948,,2.818
6,7,T11,Brian Gay,79,2.53,270.2,106.792,,2.7560000000000002
7,8,8,Cody Gribble,52,2.529,291.2,115.156,,2.701
8,9,6,Sepp Straka,48,2.528,292.0,115.477,,2.78
9,10,15,Wes Roach,45,2.525,279.2,110.54799999999999,,2.6860000000000004
10,11,3,Grayson Murray,36,2.524,302.8,119.945,,2.742
11,12,4,Rickie Fowler,54,2.523,291.9,115.69,,2.725
12,13,5,Justin Rose,42,2.522,290.7,115.26299999999999,,2.7310000000000003
13,14,19,Nick Taylor,70,2.512,278.8,110.98700000000001,,2.7489999999999997
14,15,13,Cameron Davis,54,2.511,300.0,119.48899999999999,,2.867
15,16,9,Beau Hossler,66,2.51,284.3,113.26899999999999,,2.697
16,T17,T74,Alex Cejka,41,2.509,267.3,106.531,,2.6830000000000003
17,T17,10,Adam Long,52,2.509,279.4,111.37700000000001,,2.841
18,T17,T16,Josh Teater,47,2.509,283.2,112.9,,2.742
19,20,T11,Byeong Hun An,54,2.5069999999999997,292.5,116.691,,2.6839999999999997
20,21,7,Harold Varner III,62,2.505,290.0,115.771,,2.716
21,22,T16,James Hahn,34,2.501,282.2,112.838,,2.737
22,23,T59,D.J. Trahan,33,2.498,284.1,113.712,,2.7539999999999996
23,T24,T100,Dustin Johnson,47,2.497,298.4,119.539,,2.734
24,T24,18,Brendan Steele,50,2.497,287.5,115.164,,2.748
25,26,T57,Brian Harman,67,2.496,275.4,110.34,,2.719
26,27,T22,Rory McIlroy,50,2.495,303.3,121.57,,2.7689999999999997
27,28,20,Richy Werenski,63,2.494,277.0,111.085,,2.736
28,29,T32,Sam Saunders,53,2.492,284.4,114.13799999999999,,2.7039999999999997
29,30,T41,Graeme McDowell,61,2.49,278.6,111.875,,2.775
30,T31,21,Bronson Burgoon,37,2.487,275.0,110.58,,2.6430000000000002
31,T31,T41,Alex Prugh,54,2.487,292.6,117.64,,2.7289999999999996
32,T31,T68,Brady Schnell,38,2.487,267.8,107.67299999999999,,2.715
33,34,T28,Chase Wright,53,2.4859999999999998,283.8,114.149,,2.6830000000000003
34,T35,24,Julián Etulain,55,2.485,279.6,112.509,,2.736
35,T35,T26,Dylan Frittelli,55,2.485,283.7,114.17299999999999,,2.905
36,T37,40,Bud Cauley,61,2.483,278.7,112.28299999999999,,2.7260000000000004
37,T37,T22,Chesson Hadley,58,2.483,286.0,115.181,,2.715
38,39,T50,Stephan Jaeger,59,2.4819999999999998,284.4,114.57799999999999,,2.72
39,40,25,Francesco Molinari,41,2.479,277.2,111.829,,2.733
40,41,55,J.J. Spaun,68,2.478,281.7,113.681,,2.747
41,T42,T26,Ryan Blaum,67,2.477,271.1,109.436,,2.697
42,T42,T28,Martin Laird,60,2.477,285.2,115.14299999999999,,2.7489999999999997
43,T44,T48,Jonas Blixt,66,2.476,276.9,111.829,,2.718
44,T44,T59,Dominic Bozzelli,53,2.476,284.3,114.825,,2.7239999999999998
45,T44,T34,Denny McCarthy,63,2.476,278.6,112.495,,2.758
46,T47,T28,Kevin Streelman,63,2.475,279.2,112.789,,2.733
47,T47,T28,Vaughn Taylor,69,2.475,268.0,108.28,,2.6660000000000004
48,T47,T36,Aaron Wise,52,2.475,288.8,116.689,,2.702
49,50,T32,Patrick Cantlay,49,2.474,287.5,116.206,,2.722
50,T51,T34,Tommy Fleetwood,43,2.4730000000000003,286.0,115.67399999999999,,2.636
51,T51,56,Matt Kuchar,65,2.4730000000000003,269.8,109.118,,2.707
52,T53,T63,J.B. Holmes,54,2.472,296.6,120.005,,2.719
53,T53,T52,Kyle Jones,49,2.472,268.1,108.491,,2.697
54,T53,T71,Kelly Kraft,67,2.472,270.2,109.315,,2.7039999999999997
55,T53,T52,Carlos Ortiz,60,2.472,289.8,117.241,,2.7430000000000003
56,T57,T38,Sam Burns,66,2.471,296.7,120.083,,2.6719999999999997
57,T57,T38,Andrew Landry,56,2.471,267.7,108.314,,2.767
58,T57,T103,Webb Simpson,53,2.471,272.3,110.209,,2.741
59,60,T63,Jonathan Byrd,43,2.47,274.7,111.185,,2.713
60,T61,T52,Wyndham Clark,61,2.469,298.4,120.874,,2.6489999999999996
61,T61,T78,Adam Hadwin,66,2.469,277.6,112.431,,2.7289999999999996
62,63,T71,Trey Mullinax,67,2.468,302.3,122.491,,2.7239999999999998
63,T64,T41,John Huh,35,2.467,269.2,109.12,,2.63
