,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,2,Chez Reavie,19,"20' 10""",8282.75,397
1,2,3,Matthew Fitzpatrick,11,"21' 0""",5689.9169999999995,271
2,T3,4,Haotong Li,9,"21' 3""",3224.917,152
3,T3,13,Chris Thompson,12,"21' 3""",3248.833,153
4,5,5,Kyle Stanley,18,"21' 4""",5753.0830000000005,270
5,6,6,Adam Long,19,"21' 5""",8038.9169999999995,375
6,7,1,Talor Gooch,12,"21' 6""",5292.4169999999995,246
7,8,T8,Louis Oosthuizen,12,"21' 9""",4487.667,206
8,9,7,Nick Taylor,20,"21' 10""",10301.833,471
9,T10,T8,Adam Hadwin,18,"21' 11""",8929.75,408
10,T10,10,Adam Scott,12,"21' 11""",4074.5,186
11,12,15,Danny Lee,20,"22' 1""",8647.917,392
12,T13,T11,Emiliano Grillo,17,"22' 2""",8102.9169999999995,365
13,T13,T11,Martin Kaymer,11,"22' 2""",6144.0830000000005,277
14,15,14,Joel Dahmen,22,"22' 5""",11211.583,501
15,16,T16,Ryan Armour,21,"22' 7""",10867.5,482
16,T17,T18,Tyrrell Hatton,13,"22' 8""",5590.75,247
17,T17,T18,Justin Rose,11,"22' 8""",5164.167,228
18,T19,20,Tommy Fleetwood,11,"22' 9""",4841.0,213
19,T19,T22,Adam Svensson,18,"22' 9""",7156.0830000000005,314
20,21,21,Rory Sabbatini,19,"22' 10""",10535.0,462
21,22,T22,Rickie Fowler,14,"22' 11""",8208.0,358
22,23,T30,Zach Johnson,15,"23' 0""",8151.1669999999995,354
23,T24,24,Kevin Streelman,20,"23' 1""",11171.333,484
24,T24,T51,Danny Willett,15,"23' 1""",6566.0830000000005,284
25,T26,T16,Sergio Garcia,11,"23' 2""",4912.583,212
26,T26,25,Russell Henley,18,"23' 2""",9015.0,389
27,T26,T28,Ben Silverman,17,"23' 2""",8862.75,383
28,T29,T26,Charley Hoffman,18,"23' 3""",6275.0830000000005,270
29,T29,T26,Kevin Kisner,17,"23' 3""",9351.5,402
30,T31,37,J.B. Holmes,18,"23' 5""",4327.333,185
31,T31,T30,José de Jesús Rodríguez,17,"23' 5""",6224.0,266
32,T33,T38,Julián Etulain,17,"23' 6""",6210.5,264
33,T33,T28,Fabián Gómez,14,"23' 6""",6452.6669999999995,275
34,T33,T30,Chase Wright,19,"23' 6""",7802.0,332
35,T36,T30,Aaron Baddeley,15,"23' 7""",6774.6669999999995,287
36,T36,T43,Corey Conners,20,"23' 7""",9330.25,395
37,T36,T38,Dylan Frittelli,16,"23' 7""",8195.583,348
38,T36,T30,John Huh,13,"23' 7""",5209.167,221
39,T40,T38,Abraham Ancer,20,"23' 9""",10621.583,447
40,T40,T38,Hunter Mahan,15,"23' 9""",6752.0830000000005,284
41,T42,T43,Charl Schwartzel,13,"23' 10""",1952.3329999999999,82
42,T42,T58,D.J. Trahan,11,"23' 10""",3240.25,136
43,T44,T47,Ryan Blaum,21,"23' 11""",10579.583,443
44,T44,T43,Scott Brown,21,"23' 11""",10116.917,423
45,T44,T58,Bill Haas,18,"23' 11""",9079.167,380
46,T44,T38,Jim Herman,16,"23' 11""",5971.4169999999995,250
47,T44,T30,Kelly Kraft,23,"23' 11""",8741.0,366
48,T44,T49,Hank Lebioda,16,"23' 11""",7976.5,334
49,T44,T69,Brandt Snedeker,18,"23' 11""",9681.167,405
50,T44,T51,Scott Stallings,20,"23' 11""",8600.917,359
51,T44,T47,Michael Thompson,17,"23' 11""",11349.083,474
52,T53,T79,Graeme McDowell,16,"24' 0""",8064.75,336
53,T53,T49,Robert Streb,21,"24' 0""",8532.667,355
54,T53,T43,Harold Varner III,20,"24' 0""",9754.667,407
55,T56,T51,Bud Cauley,19,"24' 1""",10724.667,446
56,T56,T51,Billy Horschel,19,"24' 1""",9162.75,381
57,T56,T51,Jason Kokrak,17,"24' 1""",10519.917,437
58,T56,T51,Kyoung-Hoon Lee,22,"24' 1""",9602.5,399
59,T56,T51,J.T. Poston,22,"24' 1""",12601.583,524
60,T61,T58,Jason Dufner,19,"24' 2""",8412.667,348
61,T61,T69,Jim Furyk,16,"24' 2""",9998.75,414
62,T61,T58,Lucas Glover,17,"24' 2""",11231.333,465
63,T61,T74,Kyle Jones,19,"24' 2""",7377.1669999999995,305
64,T61,T69,Peter Malnati,19,"24' 2""",9335.25,386
65,T61,T58,Sam Ryder,16,"24' 2""",8071.3330000000005,334
66,T67,T58,Daniel Berger,14,"24' 3""",8653.25,357
67,T67,T65,Tony Finau,17,"24' 3""",6940.8330000000005,286
68,T67,T65,James Hahn,10,"24' 3""",3198.75,132
69,T67,T65,Luke List,16,"24' 3""",7605.4169999999995,314
70,T67,T65,Cameron Smith,16,"24' 3""",5889.4169999999995,243
71,T72,T69,Si Woo Kim,20,"24' 4""",7718.6669999999995,317
72,T72,T79,Alex Noren,14,"24' 4""",6310.1669999999995,259
73,T72,T69,Matt Wallace,9,"24' 4""",4013.75,165
74,T72,T58,Richy Werenski,20,"24' 4""",10161.833,417
75,T76,T77,Austin Cook,17,"24' 5""",7873.1669999999995,322
76,T76,T98,David Hearn,14,"24' 5""",5244.6669999999995,215
77,T76,T106,Stephan Jaeger,19,"24' 5""",7286.25,298
78,T79,T77,Byeong Hun An,15,"24' 6""",7152.0830000000005,292
79,T79,T96,Roberto Castro,16,"24' 6""",8654.917,353
80,T79,T86,Tyler Duncan,22,"24' 6""",10238.833,418
81,T79,T74,Roger Sloan,20,"24' 6""",9268.417,378
82,T83,T79,Kiradech Aphibarnrat,15,"24' 7""",7087.3330000000005,288
83,T83,T79,Bronson Burgoon,14,"24' 7""",6249.1669999999995,254
84,T83,T98,Brian Harman,22,"24' 7""",10854.333,442
85,T83,T79,Sung Kang,20,"24' 7""",10863.083,442
86,T83,T86,Jim Knous,17,"24' 7""",6480.3330000000005,264
87,T83,T96,Joaquin Niemann,20,"24' 7""",10027.0,408
88,T83,T79,Adam Schenk,24,"24' 7""",11946.333,486
89,T83,T79,Brian Stuard,22,"24' 7""",13042.0,530
90,91,999,Shane Lowry,10,"24' 8""",3975.083,161
91,T92,T86,Jonas Blixt,20,"24' 9""",10848.417,439
92,T92,T110,Mackenzie Hughes,19,"24' 9""",7909.3330000000005,320
93,T92,T86,Chris Kirk,17,"24' 9""",7118.8330000000005,288
94,T92,T86,Russell Knox,18,"24' 9""",10922.75,441
