,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,Matthew Fitzpatrick,11,"18' 3""",2262.5,124
1,2,2,Ryan Armour,21,"18' 9""",3504.0,187
2,3,3,Ryan Moore,16,"19' 3""",3063.25,159
3,4,4,Russell Henley,18,"19' 9""",3694.5,187
4,T5,5,Abraham Ancer,20,"20' 4""",4246.083,209
5,T5,9,Jim Furyk,16,"20' 4""",3029.25,149
6,7,8,David Hearn,14,"20' 7""",2306.583,112
7,8,T6,Louis Oosthuizen,12,"20' 8""",2271.083,110
8,9,T6,Corey Conners,20,"21' 1""",3983.167,189
9,10,T15,Jim Herman,16,"21' 5""",2399.083,112
10,11,10,Ian Poulter,13,"21' 6""",2943.0,137
11,12,T13,Kyle Stanley,18,"21' 11""",3194.667,146
12,T13,T13,Brice Garnett,21,"22' 0""",3943.167,179
13,T13,T15,Brian Harman,22,"22' 0""",4797.75,218
14,T13,T15,Michael Thompson,17,"22' 0""",4614.083,210
15,16,19,Kyle Jones,19,"22' 1""",3756.833,170
16,T17,11,Fabián Gómez,14,"22' 2""",2987.083,135
17,T17,12,Matt Kuchar,16,"22' 2""",4410.417,199
18,19,20,Scott Langley,20,"22' 3""",4613.083,207
19,T20,18,Adam Hadwin,18,"22' 7""",4770.833,211
20,T20,21,Chez Reavie,19,"22' 7""",3279.25,145
21,22,22,Sungjae Im,26,"22' 9""",7335.75,323
22,23,23,Kevin Kisner,17,"23' 0""",4188.083,182
23,T24,25,Rafa Cabrera Bello,15,"23' 4""",3782.0,162
24,T24,T30,Brandt Snedeker,18,"23' 4""",5859.3330000000005,251
25,T26,T30,Brady Schnell,14,"23' 5""",2928.583,125
26,T26,T26,Richy Werenski,20,"23' 5""",6134.0,262
27,T28,T26,Paul Casey,15,"23' 6""",2982.417,127
28,T28,T41,Tyler Duncan,22,"23' 6""",4702.333,200
29,T30,T33,Zach Johnson,15,"23' 7""",4713.0,200
30,T30,T30,Vaughn Taylor,21,"23' 7""",5826.9169999999995,247
31,T30,T33,Johnson Wagner,14,"23' 7""",3660.583,155
32,33,T33,Rory Sabbatini,19,"23' 8""",6161.0,260
33,T34,T26,Scott Brown,21,"23' 9""",5467.4169999999995,230
34,T34,36,Andrew Landry,18,"23' 9""",4107.583,173
35,36,T37,Chris Kirk,17,"23' 11""",4345.5,182
36,37,39,Satoshi Kodaira,16,"24' 0""",3887.667,162
37,38,T26,Webb Simpson,14,"24' 1""",4558.833,189
38,39,T37,Kramer Hickok,19,"24' 2""",4152.25,172
39,T40,40,Brian Gay,22,"24' 4""",5664.75,233
40,T40,T41,Emiliano Grillo,17,"24' 4""",4629.917,190
41,42,46,Charles Howell III,19,"24' 6""",5387.0830000000005,220
42,43,47,Jon Rahm,14,"24' 8""",4094.083,166
43,T44,T53,Graeme McDowell,16,"24' 9""",5052.417,204
44,T44,58,Joaquin Niemann,20,"24' 9""",7191.3330000000005,291
45,T44,24,José de Jesús Rodríguez,17,"24' 9""",4947.5,200
46,T47,T48,James Hahn,10,"24' 10""",2384.167,96
47,T47,T48,Kyoung-Hoon Lee,22,"24' 10""",5538.0,223
48,T47,T48,C.T. Pan,19,"24' 10""",5357.3330000000005,216
49,T50,T53,Tommy Fleetwood,11,"24' 11""",3217.0,129
50,T50,T73,J.J. Henry,15,"24' 11""",3534.667,142
51,T50,57,Nick Taylor,20,"24' 11""",7961.75,320
52,53,T67,Josh Teater,17,"25' 0""",4375.25,175
53,T54,T59,Tom Hoge,24,"25' 1""",6536.9169999999995,261
54,T54,T41,Wes Roach,14,"25' 1""",3435.583,137
55,T54,56,Brian Stuard,22,"25' 1""",5637.75,225
56,T57,45,Austin Cook,17,"25' 2""",3677.083,146
57,T57,T41,Chase Wright,19,"25' 2""",4750.667,189
