,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
0,1,1,Cameron Champ,58,214.2,8566.3,40,,179.0
1,2,2,Ollie Schniederjans,63,200.9,11654.1,58,,159.0
2,3,4,Peter Uihlein,65,200.1,13008.9,65,,172.6
3,4,3,Grayson Murray,36,200.0,4200.3,21,,186.8
4,5,T5,Trey Mullinax,67,199.8,19376.0,97,,179.9
5,6,T5,Cameron Davis,54,199.3,9365.5,47,,167.9
6,7,7,Rory McIlroy,50,199.0,8956.5,45,,179.7
7,T8,T8,Luke List,52,198.8,12327.0,62,,179.4
8,T8,11,Adam Schenk,80,198.8,16300.7,82,,179.6
9,T10,T8,Wyndham Clark,61,198.7,8743.0,44,,177.0
10,T10,10,Gary Woodland,63,198.7,10928.3,55,,181.2
11,12,14,J.B. Holmes,54,198.6,7747.1,39,,178.3
12,T13,25,Dustin Johnson,47,198.3,6542.9,33,,175.6
13,T13,T12,Alex Noren,49,198.3,12097.3,61,,179.2
14,15,T12,Sergio Garcia,39,197.8,8701.6,44,,184.0
15,16,T15,Brooks Koepka,49,197.7,9487.9,48,,180.9
16,T17,T15,Jason Day,45,197.3,4736.3,24,,184.8
17,T17,T15,Tony Finau,61,197.3,12233.7,62,,181.4
18,T19,T18,Sam Burns,66,197.0,12610.0,64,,177.4
19,T19,T18,Bryson DeChambeau,45,197.0,5514.7,28,,185.6
20,21,20,Phil Mickelson,41,196.5,2358.2,12,,166.8
21,22,21,Xander Schauffele,55,196.2,5689.6,29,,181.8
22,23,22,Jhonattan Vegas,60,195.6,9389.3,48,,164.2
23,24,23,Keith Mitchell,64,195.3,11910.4,61,,149.8
24,25,24,Nick Watney,67,195.2,11904.7,61,,159.8
25,26,T29,Kevin Tway,62,194.5,10309.7,53,,173.5
26,27,27,Seth Reeves,52,194.3,6605.2,34,,134.0
27,28,28,Hideki Matsuyama,59,193.9,9111.2,47,,176.5
28,29,T31,Harris English,72,193.8,17252.1,89,,162.0
29,30,26,Lucas Bjerregaard,37,193.6,8323.8,43,,169.4
30,31,T29,Patrick Rodgers,44,193.4,7347.7,38,,169.3
31,32,T31,Patrick Cantlay,49,193.2,5603.9,29,,172.8
32,33,33,Max Homa,61,192.8,10987.0,57,,167.2
33,T34,34,Jon Rahm,51,192.6,5391.5,28,,180.3
34,T34,35,Martin Trainer,51,192.6,12709.5,66,,160.6
35,T36,36,Byeong Hun An,54,191.9,8637.4,45,,175.1
36,T36,T49,Bubba Watson,47,191.9,3455.0,18,,172.4
37,38,37,Rickie Fowler,54,191.7,8625.0,45,,126.9
38,T39,39,Alex Prugh,54,191.5,10150.2,53,,171.4
39,T39,38,Adam Scott,41,191.5,4212.4,22,,170.2
40,T41,T44,Carlos Ortiz,60,190.4,12183.4,64,,164.1
41,T41,43,Hudson Swafford,59,190.4,14469.8,76,,142.5
42,43,T77,Keegan Bradley,65,190.1,5514.3,29,,152.2
43,44,41,Jason Kokrak,68,190.0,11592.0,61,,146.9
44,45,42,Justin Rose,42,189.9,6837.0,36,,177.3
45,46,46,Sepp Straka,48,189.8,9488.9,50,,173.7
46,47,T44,Tommy Fleetwood,43,189.7,4743.6,25,,174.5
47,48,T49,Cameron Tringale,52,189.5,12129.1,64,,156.3
48,49,47,Brendan Steele,50,189.4,13448.2,71,,166.7
49,50,48,Charles Howell III,64,189.0,6426.1,34,,167.6
50,51,58,Chris Thompson,34,188.8,6607.3,35,,175.9
51,52,40,Aaron Wise,52,188.6,8296.7,44,,168.1
52,53,55,Scott Stallings,63,188.4,12810.8,68,,145.9
53,54,T49,Marc Leishman,52,188.3,6591.7,35,,172.3
54,55,57,Talor Gooch,37,188.2,8280.2,44,,162.1
55,T56,T52,Paul Casey,51,188.1,6018.4,32,,169.0
56,T56,T61,Mackenzie Hughes,58,188.1,16553.4,88,,171.0
57,T56,T52,Matt Jones,67,188.1,9782.8,52,,162.9
58,T56,T61,Hank Lebioda,55,188.1,8841.2,47,,163.6
59,60,T73,Jim Knous,55,187.9,11084.9,59,,163.8
60,T61,T52,Brandon Harkins,67,187.8,15397.3,82,,167.0
61,T61,T71,Justin Thomas,49,187.8,7887.7,42,,169.1
62,T63,T61,Martin Laird,60,187.7,16894.4,90,,169.5
63,T63,56,Roger Sloan,62,187.7,14829.3,79,,164.5
64,65,T59,Matt Wallace,31,187.4,2248.3,12,,181.3
65,66,T59,Joaquin Niemann,68,187.3,14044.1,75,,160.7
66,67,T65,Sebastián Muñoz,58,187.2,11791.1,63,,158.4
67,68,64,Patton Kizzire,58,187.1,8046.8,43,,167.6
68,T69,T68,Dylan Frittelli,55,187.0,12340.8,66,,162.6
69,T69,85,Stephan Jaeger,59,187.0,10096.1,54,,149.2
70,71,67,Chesson Hadley,58,186.7,9521.2,51,,171.2
71,72,T68,Tyrrell Hatton,46,186.6,6343.6,34,,172.9
72,73,70,Charley Hoffman,58,186.5,9326.8,50,,170.3
73,T74,T71,Dominic Bozzelli,53,186.3,9317.3,50,,166.1
74,T74,79,Chase Wright,53,186.3,9872.3,53,,166.7
75,T76,T75,Bill Haas,58,186.2,13408.2,72,,165.9
76,T76,T73,Beau Hossler,66,186.2,13590.5,73,,165.8
77,T76,999,Shane Lowry,30,186.2,3910.2,21,,159.5
78,79,T80,Ryan Palmer,56,185.7,13000.7,70,,145.5
79,T80,T77,Martin Kaymer,38,185.6,10580.6,57,,172.9
80,T80,T75,Seamus Power,58,185.6,13360.4,72,,143.1
81,T82,83,Matt Every,38,185.3,5558.3,30,,165.8
82,T82,82,Sam Ryder,52,185.3,10008.5,54,,157.5
83,84,84,Emiliano Grillo,65,185.1,10181.3,55,,163.1
