,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Jim Furyk,53,74.81,499,667
1,2,2,Chez Reavie,67,74.55,624,837
2,3,3,Ryan Armour,66,73.01,671,919
3,4,4,Ryan Moore,54,72.68,548,754
4,5,5,Justin Harding,31,72.32,243,336
5,6,7,Henrik Stenson,46,71.97,380,528
6,7,6,Brian Gay,79,70.62,738,1045
7,8,10,Andrew Landry,56,70.6,514,728
8,9,12,Brian Stuard,76,70.19,704,1003
9,10,9,Matt Kuchar,65,70.18,572,815
10,11,11,Brice Garnett,63,69.94,598,855
11,12,15,Michael Thompson,56,69.65,544,781
12,13,16,Paul Casey,51,69.56,457,657
13,14,8,David Hearn,41,69.51,358,515
14,15,17,Joel Dahmen,78,69.19,714,1032
15,16,14,Kramer Hickok,59,69.18,568,821
16,17,19,Russell Henley,56,68.88,498,723
17,18,13,Tyler Duncan,66,68.87,615,893
18,19,20,Abraham Ancer,69,68.53,614,896
19,20,18,Webb Simpson,53,68.52,481,702
20,21,22,Kevin Kisner,65,68.31,513,751
21,22,21,Scott Piercy,70,68.28,633,927
22,23,25,Austin Cook,50,68.23,436,639
23,24,23,Jim Herman,37,68.02,351,516
24,25,26,Vaughn Taylor,69,67.85,633,933
25,26,32,Scott Langley,60,67.74,548,809
26,27,24,Ben Silverman,54,67.73,510,753
27,28,28,Kevin Streelman,63,67.69,576,851
28,29,29,Troy Merritt,42,67.54,362,536
29,30,31,Satoshi Kodaira,51,67.41,453,672
30,31,33,Emiliano Grillo,65,67.28,584,868
31,32,35,Louis Oosthuizen,43,67.0,335,500
32,33,34,Fabián Gómez,44,66.99,412,615
33,34,36,Bryson DeChambeau,45,66.89,396,592
34,35,27,Brady Schnell,38,66.85,355,531
35,36,38,Brian Harman,67,66.74,606,908
36,37,39,Adam Hadwin,66,66.59,576,865
37,38,37,Johnson Wagner,45,66.56,400,601
38,39,43,Corey Conners,62,66.46,539,811
39,40,41,Matthew Fitzpatrick,42,66.42,362,545
40,41,30,Kyle Jones,49,66.41,435,655
41,42,42,Kyoung-Hoon Lee,72,66.32,630,950
42,43,44,Ian Poulter,49,66.22,392,592
43,44,45,Brendan Steele,50,66.12,443,670
44,45,46,Russell Knox,65,66.05,533,807
45,46,47,Kyle Stanley,53,65.92,443,672
46,47,48,James Hahn,34,65.89,313,475
47,48,40,Keegan Bradley,65,65.85,536,814
48,49,53,Francesco Molinari,41,65.63,315,480
49,50,55,Alex Cejka,41,65.5,336,513
50,T51,54,Bronson Burgoon,37,65.44,339,518
51,T51,52,Hank Lebioda,55,65.44,464,709
52,53,56,Sungjae Im,88,65.16,763,1171
53,54,T71,Zach Johnson,50,65.09,453,696
54,55,49,Wes Roach,45,65.06,391,601
55,T56,57,Roberto Díaz,51,64.93,424,653
56,T56,60,Lucas Glover,62,64.93,524,807
57,58,58,Daniel Berger,48,64.88,436,672
58,59,61,Rafa Cabrera Bello,57,64.85,487,751
59,60,62,Tiger Woods,31,64.84,236,364
60,61,64,Hunter Mahan,45,64.75,406,627
61,62,50,Nate Lashley,44,64.74,380,587
62,63,65,Jason Dufner,56,64.72,488,754
63,64,66,Gary Woodland,63,64.61,544,842
64,65,59,Roberto Castro,54,64.6,449,695
65,66,68,C.T. Pan,64,64.58,558,864
66,67,67,Ben Crane,41,64.4,369,573
67,68,T71,Pat Perez,52,64.38,450,699
68,69,73,Rory Sabbatini,71,64.31,600,933
69,70,70,Scott Brown,66,64.28,556,865
70,71,74,Denny McCarthy,63,64.11,527,822
71,72,63,J.J. Henry,42,63.84,339,531
72,73,69,Graeme McDowell,61,63.81,506,793
73,74,77,Kiradech Aphibarnrat,49,63.51,409,644
74,75,78,Kevin Na,54,63.41,435,686
75,76,79,Charles Howell III,64,63.4,544,858
76,77,80,Billy Horschel,73,63.25,587,928
77,78,75,J.J. Spaun,68,63.13,565,895
78,79,84,Adam Long,52,63.0,458,727
79,80,83,Matt Every,38,62.95,299,475
80,81,85,"Ted Potter, Jr.",56,62.88,476,757
81,82,86,Tommy Fleetwood,43,62.82,316,503
82,83,87,Sam Ryder,52,62.81,456,726
83,84,88,Tyrrell Hatton,46,62.8,368,586
84,85,81,Jonas Blixt,66,62.74,559,891
85,86,90,Brandt Snedeker,68,62.71,570,909
86,87,91,Matt Jones,67,62.6,549,877
87,88,82,Chase Wright,53,62.59,445,711
88,89,94,Jason Kokrak,68,62.44,557,892
89,90,89,Rod Pampling,40,62.38,330,529
90,91,97,Jon Rahm,51,62.18,383,616
91,92,98,John Huh,35,62.17,304,489
92,93,95,Alex Prugh,54,62.12,433,697
93,94,99,Chris Kirk,47,62.1,390,628
94,95,93,Bud Cauley,61,62.09,529,852
95,96,101,Hideki Matsuyama,59,61.86,485,784
96,97,103,Ryan Blaum,67,61.73,542,878
97,98,76,Josh Teater,47,61.69,388,629
98,99,107,Adam Svensson,51,61.64,421,683
99,100,105,John Senden,39,61.55,317,515
100,101,92,Carlos Ortiz,60,61.48,498,810
101,102,102,Aaron Wise,52,61.45,424,690
102,103,96,Brooks Koepka,49,61.32,363,592
103,104,110,Sung Kang,67,61.1,553,905
104,105,T111,Keith Mitchell,64,61.08,521,853
105,106,113,Rickie Fowler,54,60.98,461,756
106,107,114,Jason Day,45,60.96,342,561
107,108,104,Roger Sloan,62,60.95,526,863
108,109,115,Adam Scott,41,60.92,332,545
109,110,109,Richy Werenski,63,60.87,518,851
110,111,118,D.A. Points,33,60.78,279,459
111,112,129,Bill Haas,58,60.77,457,752
112,113,119,J.T. Poston,76,60.74,611,1006
113,T114,120,Martin Kaymer,38,60.71,323,532
114,T114,100,Alex Noren,49,60.71,391,644
115,116,131,Adam Schenk,80,60.42,658,1089
116,T117,125,Dylan Frittelli,55,60.38,445,737
117,T117,128,Xander Schauffele,55,60.38,442,732
118,119,T126,Justin Thomas,49,60.34,391,648
119,120,130,Andrew Putnam,57,60.33,441,731
120,T121,T111,Sangmoon Bae,42,60.32,336,557
121,T121,108,Joey Garber,44,60.32,336,557
122,123,138,Anders Albertson,48,60.19,387,643
123,124,123,Sebastián Muñoz,58,60.18,470,781
124,125,134,Patton Kizzire,58,60.08,471,784
125,126,T126,Tom Hoge,70,60.04,553,921
126,127,137,Ernie Els,43,60.03,344,573
127,128,T135,Nick Watney,67,59.98,526,877
128,129,121,Harris English,72,59.94,585,976
129,T130,122,Whee Kim,57,59.78,443,741
130,T130,T135,Joaquin Niemann,68,59.78,550,920
