,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Cameron Champ,58,316.6,35458,112
1,2,2,Rory McIlroy,50,315.0,26458,84
2,3,3,Luke List,52,313.4,30717,98
3,4,4,Tony Finau,61,311.9,32435,104
4,5,T5,Wyndham Clark,61,310.9,36689,118
5,6,7,Bubba Watson,47,310.7,24856,80
6,7,T5,Lucas Bjerregaard,37,310.6,16153,52
7,8,12,Dustin Johnson,47,310.2,24819,80
8,9,8,Grayson Murray,36,310.0,22322,72
9,10,9,Ollie Schniederjans,63,309.7,35302,114
10,11,11,Gary Woodland,63,309.0,32133,104
11,12,10,Seth Reeves,52,308.9,30892,100
12,13,14,Trey Mullinax,67,308.7,38893,126
13,14,13,Brooks Koepka,49,308.6,20985,68
14,15,15,Patrick Cantlay,49,307.7,24618,80
15,16,T16,Cameron Davis,54,307.5,31980,104
16,17,T16,Phil Mickelson,41,307.3,23354,76
17,T18,T18,Sam Burns,66,306.9,39279,128
18,T18,T18,Jon Rahm,51,306.9,24552,80
19,20,20,Jhonattan Vegas,60,306.8,35588,116
20,21,21,Byeong Hun An,54,306.5,23909,78
21,22,22,Justin Rose,42,305.6,20781,68
22,23,24,J.B. Holmes,54,304.9,23784,78
23,24,T27,Kevin Tway,62,304.8,30478,100
24,25,23,Hideki Matsuyama,59,304.6,29238,96
25,T26,T25,Rickie Fowler,54,304.0,32829,108
26,T26,T25,Jason Kokrak,68,304.0,34046,112
27,T28,T27,Jason Day,45,303.9,19452,64
28,T28,T27,Xander Schauffele,55,303.9,24315,80
29,T30,30,Brendan Steele,50,303.5,24278,80
30,T30,31,Aaron Wise,52,303.5,29739,98
31,32,32,Martin Trainer,51,303.3,30937,102
32,33,33,Brandon Harkins,67,303.1,38193,126
33,34,36,Sergio Garcia,39,302.8,18168,60
34,35,37,Sepp Straka,48,302.7,27846,92
35,36,35,Matt Wallace,31,302.5,14520,48
