,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Bubba Watson,47,305.1,153777,504
1,2,2,Rory McIlroy,50,305.0,159209,522
2,3,3,Cameron Champ,58,303.9,205455,676
3,T4,T5,Tony Finau,61,300.2,172311,574
4,T4,11,Dustin Johnson,47,300.2,142916,476
5,6,4,J.B. Holmes,54,300.0,117598,392
6,7,9,Trey Mullinax,67,299.8,221239,738
7,T8,8,Phil Mickelson,41,299.7,125870,420
8,T8,7,Aaron Wise,52,299.7,160659,536
9,10,10,Jon Rahm,51,299.3,138278,462
10,11,T5,Brooks Koepka,49,299.1,126807,424
11,T12,T12,Jason Day,45,299.0,105240,352
12,T12,T12,Luke List,52,299.0,180019,602
13,14,14,Gary Woodland,63,298.6,180349,604
14,15,15,Patrick Cantlay,49,298.4,137879,462
15,16,16,Martin Trainer,51,298.1,166319,558
16,17,T19,Byeong Hun An,54,296.8,162055,546
17,T18,T21,Keith Mitchell,64,296.6,170258,574
18,T18,17,Seth Reeves,52,296.6,148916,502
19,T18,T21,Xander Schauffele,55,296.6,146519,494
20,21,23,Grayson Murray,36,296.3,107278,362
21,22,18,Kevin Tway,62,296.0,187087,632
22,23,T19,Justin Thomas,49,295.9,142015,480
23,24,24,Ollie Schniederjans,63,295.4,193808,656
24,25,25,Jhonattan Vegas,60,294.6,193815,658
25,26,26,Haotong Li,32,294.3,82397,280
26,27,28,Sam Burns,66,293.6,220777,752
27,T28,31,Lucas Bjerregaard,37,293.2,90291,308
28,T28,27,Cameron Davis,54,293.2,151306,516
29,T28,29,Rickie Fowler,54,293.2,184709,630
30,31,30,Ryan Palmer,56,292.8,159853,546
31,32,T32,Alex Prugh,54,292.6,146898,502
32,33,T32,Tommy Fleetwood,43,292.4,106446,364
33,T34,T36,Wyndham Clark,61,292.3,191132,654
34,T34,35,Matt Wallace,31,292.3,90022,308
35,36,T32,Brandon Harkins,67,292.2,199290,682
36,37,T36,Charles Howell III,64,292.1,177016,606
37,38,T36,Joaquin Niemann,68,292.0,211417,724
38,39,39,Bryson DeChambeau,45,291.9,156456,536
39,40,40,Brendan Steele,50,291.8,150565,516
40,41,T42,Alex Noren,49,291.7,134757,462
41,T42,T44,Beau Hossler,66,291.1,207260,712
42,T42,T44,Patrick Reed,53,291.1,151349,520
43,44,46,Jason Kokrak,68,291.0,214784,738
44,45,T51,Sergio Garcia,39,290.9,112883,388
45,T46,47,Justin Rose,42,290.8,118047,406
46,T46,T42,Peter Uihlein,65,290.8,173922,598
47,T48,50,Jim Knous,55,290.7,150010,516
48,T48,48,Hideki Matsuyama,59,290.7,174984,602
49,50,41,Harold Varner III,62,290.5,210309,724
50,T51,T51,Paul Casey,51,290.3,125970,434
51,T51,49,Danny Lee,66,290.3,222336,766
52,T53,T53,Marc Leishman,52,289.9,143200,494
53,T53,T53,Patrick Rodgers,44,289.9,153673,530
54,T55,T58,Branden Grace,62,289.2,141119,488
55,T55,T58,Adam Scott,41,289.2,97178,336
56,T57,56,Keegan Bradley,65,289.1,182722,632
57,T57,T60,Carlos Ortiz,60,289.1,193706,670
58,T57,57,Jimmy Walker,61,289.1,186167,644
59,60,T60,Tyrrell Hatton,46,288.9,120762,418
60,61,62,Nick Watney,67,288.8,196991,682
61,62,63,Sepp Straka,48,288.6,128129,444
62,T63,64,Max Homa,61,288.4,193238,670
63,T63,55,D.J. Trahan,33,288.4,76726,266
64,65,65,James Hahn,34,288.3,68610,238
65,66,66,Sungjae Im,88,287.9,272959,948
66,67,999,Shane Lowry,30,287.8,84616,294
67,68,69,Corey Conners,62,287.7,173212,602
68,69,68,Jordan Spieth,57,287.6,181159,630
69,T70,T70,Sung Kang,67,287.4,212131,738
70,T70,T70,Sam Saunders,53,287.4,183943,640
71,72,72,Chesson Hadley,58,287.3,167788,584
72,T73,67,Dylan Frittelli,55,287.2,175794,612
73,T73,73,Si Woo Kim,65,287.2,156818,546
74,75,T74,Francesco Molinari,41,287.1,105668,368
75,T76,T74,Scott Stallings,63,286.9,195674,682
76,T76,77,Chase Wright,53,286.9,156100,544
77,T78,T78,Abraham Ancer,69,286.8,196727,686
78,T78,T78,Kiradech Aphibarnrat,49,286.8,132489,462
79,T80,80,Stewart Cink,33,286.6,83678,292
80,T80,76,Sebastián Muñoz,58,286.6,159949,558
81,T80,T94,Danny Willett,47,286.6,151313,528
82,T83,T90,Cody Gribble,52,286.4,159807,558
83,T83,T82,Cameron Smith,55,286.4,132321,462
84,T85,81,Daniel Berger,48,286.3,164321,574
85,T85,T82,Adam Hadwin,66,286.3,183788,642
86,T85,T85,Charley Hoffman,58,286.3,139147,486
87,88,T82,Seamus Power,58,286.2,175730,614
88,89,96,Matt Every,38,286.1,100119,350
89,T90,T88,Hunter Mahan,45,286.0,131579,460
90,T90,T88,Louis Oosthuizen,43,286.0,94961,332
91,T90,T85,Adam Schenk,80,286.0,239672,838
92,93,T90,Matt Jones,67,285.9,178952,626
93,94,93,Joel Dahmen,78,285.8,222891,780
94,95,T94,Kyle Stanley,53,285.7,124010,434
95,96,T90,John Chin,38,285.6,87964,308
96,T97,97,Harris English,72,285.5,230661,808
97,T97,87,Stephan Jaeger,59,285.5,163330,572
98,T99,T98,Billy Horschel,73,285.4,180946,634
99,T99,T98,Ian Poulter,49,285.4,120998,424
100,T101,T100,Emiliano Grillo,65,285.3,163784,574
101,T101,T100,Adam Long,52,285.3,175718,616
102,T101,T100,Sam Ryder,52,285.3,159202,558
103,104,103,Matt Kuchar,65,284.9,192619,676
104,105,104,Sangmoon Bae,42,284.8,103086,362
105,106,T113,Josh Teater,47,284.7,123541,434
106,107,115,Mackenzie Hughes,58,284.5,174142,612
107,T108,T109,Martin Laird,60,284.4,195081,686
108,T108,T116,Roger Sloan,62,284.4,189995,668
109,T108,105,Chris Thompson,34,284.4,87591,308
110,T111,T107,Troy Merritt,42,284.3,132461,466
111,T111,T107,Tiger Woods,31,284.3,83570,294
112,T113,T109,Lucas Glover,62,284.2,209713,738
113,T113,T109,J.T. Poston,76,284.2,254111,894
114,T113,T116,Nick Taylor,70,284.2,233627,822
115,T116,T109,J.J. Spaun,68,284.1,182981,644
116,T116,T113,Hudson Swafford,59,284.1,186374,656
117,118,T119,Dominic Bozzelli,53,283.9,131162,462
118,119,T119,Bud Cauley,61,283.7,209916,740
119,120,106,Wes Roach,45,283.6,115144,406
120,T121,T116,Anders Albertson,48,283.5,134958,476
121,T121,123,Bronson Burgoon,37,283.5,115092,406
122,T121,T121,Scott Piercy,70,283.5,199567,704
123,124,124,Kevin Streelman,63,283.4,209747,740
124,T125,125,Julián Etulain,55,283.1,145526,514
125,T125,T126,Peter Malnati,64,283.1,208896,738
126,127,T129,Brian Harman,67,283.0,193571,684
127,128,T126,Martin Kaymer,38,282.9,134684,476
128,T129,T129,Rory Sabbatini,71,282.8,212632,752
129,T129,T132,Richy Werenski,63,282.8,201357,712
130,131,T121,José de Jesús Rodríguez,51,282.7,137958,488
131,T132,T129,Kramer Hickok,59,282.6,161093,570
132,T132,T134,Patton Kizzire,58,282.6,146380,518
133,T132,T126,Webb Simpson,53,282.6,178594,632
134,135,136,Hank Lebioda,55,282.5,153094,542
135,136,138,Brice Garnett,63,282.1,162465,576
136,T137,T132,Talor Gooch,37,281.9,122328,434
137,T137,139,Kyoung-Hoon Lee,72,281.9,181232,643
138,139,140,Jason Dufner,56,281.8,153317,544
139,140,137,Denny McCarthy,63,281.7,184260,654
140,T141,141,Rafa Cabrera Bello,57,281.6,140816,500
141,T141,T142,Bill Haas,58,281.6,180222,640
142,143,T142,Justin Harding,31,281.5,47298,168
143,144,144,Matthew Fitzpatrick,42,281.4,114250,406
144,145,152,Joey Garber,44,281.1,101761,362
145,T146,T145,Ryan Blaum,67,281.0,207409,738
146,T146,T145,Charl Schwartzel,34,281.0,58445,208
147,T148,T148,Jonas Blixt,66,280.9,203397,724
148,T148,147,Adam Svensson,51,280.9,144950,516
149,T150,T148,Jim Herman,37,280.6,105496,376
150,T150,T150,Russell Knox,65,280.6,191365,682
151,T150,T150,Shawn Stefani,57,280.6,152097,542
152,T153,T154,Scott Brown,66,280.4,187850,670
153,T153,T154,Chris Stroud,54,280.4,155916,556
154,T155,T154,Kevin Kisner,65,280.2,167553,598
155,T155,T154,Kevin Na,54,280.2,129443,462
156,T157,158,Austin Cook,50,279.9,136052,486
157,T157,153,Roberto Díaz,51,279.9,128213,458
158,T159,T163,Zach Johnson,50,279.8,159477,570
159,T159,159,Andrew Landry,56,279.8,168469,602
160,161,T160,Russell Henley,56,279.7,167233,598
