,Driving_Pct._240-260_Measured_RANK THIS WEEK,Driving_Pct._240-260_Measured_RANK LAST WEEK,Driving_Pct._240-260_Measured_PLAYER NAME,Driving_Pct._240-260_Measured_ROUNDS,Driving_Pct._240-260_Measured_%,Driving_Pct._240-260_Measured_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_Measured_TOTAL DRVS - OVERALL,Driving_Pct._240-260_Measured_RELATIVE TO PAR
0,1,1,Scott Langley,60,24.14,28.0,116,+0.04
1,2,2,Jim Furyk,53,17.71,17.0,96,E
2,T3,999,Martin Piller,30,16.67,10.0,60,E
3,T3,3,D.A. Points,33,16.67,11.0,66,-0.27
4,5,5,Brian Stuard,76,15.63,20.0,128,E
5,6,T8,David Hearn,41,14.86,11.0,74,E
6,7,T8,Ryan Armour,66,14.66,17.0,116,+0.06
7,8,4,Ben Crane,41,14.63,12.0,82,-0.08
8,9,6,Brady Schnell,38,14.47,11.0,76,+0.36
9,10,7,Brian Gay,79,14.18,19.0,134,-0.16
10,11,10,Ernie Els,43,13.64,9.0,66,+0.22
11,12,999,Tyrone Van Aswegen,30,13.33,8.0,60,E
12,13,11,Ryan Moore,54,13.04,12.0,92,+0.33
13,14,13,Michael Kim,51,12.82,10.0,78,+0.10
14,15,T14,Satoshi Kodaira,51,12.5,9.0,72,+0.22
15,16,12,Alex Cejka,41,12.16,9.0,74,-0.11
16,17,T17,"Ted Potter, Jr.",56,11.96,11.0,92,+0.18
17,18,T14,Nate Lashley,44,11.9,10.0,84,E
18,19,16,Roberto Díaz,51,11.7,11.0,94,E
19,20,19,Andrew Landry,56,11.46,11.0,96,E
20,21,20,Freddie Jacobson,37,11.43,8.0,70,+0.25
21,22,T17,Roberto Castro,54,11.0,11.0,100,E
22,23,22,John Senden,39,10.81,8.0,74,E
23,24,21,Kyle Jones,49,10.64,10.0,94,+0.30
24,25,23,J.J. Henry,42,10.53,8.0,76,+0.13
25,26,24,Francesco Molinari,41,9.62,5.0,52,+0.40
26,27,26,Sam Ryder,52,9.38,9.0,96,+0.22
27,28,28,Kevin Na,54,9.09,6.0,66,E
28,29,T41,Chris Stroud,54,9.0,9.0,100,+0.11
29,30,29,Vaughn Taylor,69,8.96,12.0,134,+0.25
30,T31,27,Julián Etulain,55,8.82,9.0,102,+0.33
31,T31,T41,Henrik Stenson,46,8.82,6.0,68,+0.17
32,33,31,Andrew Putnam,57,8.75,7.0,80,+0.43
33,T34,T32,Stewart Cink,33,8.7,4.0,46,+0.25
34,T34,T32,Jason Dufner,56,8.7,8.0,92,+0.38
35,36,30,Scott Piercy,70,8.62,10.0,116,E
36,37,36,John Huh,35,8.57,6.0,70,+0.17
37,38,25,Jonathan Byrd,43,8.54,7.0,82,+0.14
38,39,37,Johnson Wagner,45,8.14,7.0,86,-0.14
39,40,T58,Jim Herman,37,8.11,6.0,74,E
40,T41,35,Martin Laird,60,8.04,9.0,112,+0.33
41,T41,44,Michael Thompson,56,8.04,9.0,112,+0.11
42,43,T45,Kevin Kisner,65,8.0,8.0,100,E
43,T44,40,Brian Harman,67,7.89,9.0,114,+0.56
44,T44,47,Pat Perez,52,7.89,6.0,76,+0.17
45,T46,T38,José de Jesús Rodríguez,51,7.84,8.0,102,E
46,T46,T38,Brandt Snedeker,68,7.84,8.0,102,E
47,48,63,Whee Kim,57,7.78,7.0,90,E
48,49,T45,Russell Henley,56,7.69,8.0,104,+0.25
49,50,T48,Brice Garnett,63,7.55,8.0,106,+0.13
50,51,T53,Patrick Reed,53,7.5,6.0,80,+0.33
51,52,50,Curtis Luck,51,7.45,7.0,94,+0.29
52,53,T51,Seamus Power,58,7.41,8.0,108,-0.63
53,T54,56,Troy Merritt,42,7.35,5.0,68,+0.40
54,T54,67,Rod Pampling,40,7.35,5.0,68,-0.20
55,T54,T41,Chris Thompson,34,7.35,5.0,68,+0.20
56,57,T48,Stephan Jaeger,59,7.27,8.0,110,+0.50
57,58,T53,Tom Hoge,70,7.26,9.0,124,E
58,T59,T53,Tyler Duncan,66,7.03,9.0,128,-0.33
59,T59,60,Kyoung-Hoon Lee,72,7.03,9.0,128,E
60,61,T61,Jordan Spieth,57,7.0,7.0,100,-0.14
61,62,T51,Wes Roach,45,6.98,6.0,86,+0.33
62,63,57,Josh Teater,47,6.67,6.0,90,E
63,64,65,Shawn Stefani,57,6.6,7.0,106,+0.43
64,65,68,Branden Grace,62,6.58,5.0,76,+0.20
65,66,T58,Webb Simpson,53,6.52,6.0,92,+0.17
66,67,T61,Mackenzie Hughes,58,6.48,7.0,108,+0.43
67,68,69,Matthew Fitzpatrick,42,6.45,4.0,62,+0.50
68,69,73,Matt Jones,67,6.35,8.0,126,+0.63
69,T70,64,Sangmoon Bae,42,6.25,5.0,80,+0.40
70,T70,66,J.J. Spaun,68,6.25,7.0,112,-0.14
71,T72,T76,Bronson Burgoon,37,6.06,4.0,66,+0.25
72,T72,T76,Paul Casey,51,6.06,4.0,66,-0.25
73,74,72,Kelly Kraft,67,5.93,7.0,118,+0.29
74,T75,T82,Aaron Baddeley,51,5.88,6.0,102,E
75,T75,T70,Dominic Bozzelli,53,5.88,6.0,102,+0.17
76,T75,T70,Hank Lebioda,55,5.88,6.0,102,-0.17
77,T75,T82,Cameron Smith,55,5.88,4.0,68,+0.25
78,79,81,Richy Werenski,63,5.74,7.0,122,+0.86
79,80,74,Ryan Palmer,56,5.68,5.0,88,+0.40
80,81,75,Graeme McDowell,61,5.66,6.0,106,E
81,82,78,Scott Brown,66,5.65,7.0,124,-0.29
82,T83,85,Bill Haas,58,5.56,6.0,108,+0.17
83,T83,T88,Chris Kirk,47,5.56,5.0,90,-0.40
84,T83,T88,Adam Scott,41,5.56,3.0,54,+0.33
85,T83,79,Ben Silverman,54,5.56,6.0,108,E
86,T87,86,Scott Stallings,63,5.45,6.0,110,+0.17
87,T87,T82,Peter Uihlein,65,5.45,6.0,110,E
88,89,80,Zach Johnson,50,5.43,5.0,92,-0.60
89,90,90,Jason Day,45,5.36,3.0,56,-0.67
90,91,87,Nick Taylor,70,5.3,7.0,132,E
91,92,T91,Rafa Cabrera Bello,57,5.26,4.0,76,+0.50
92,T93,T93,Si Woo Kim,65,5.21,5.0,96,+0.20
93,T93,T93,Chez Reavie,67,5.21,5.0,96,-0.20
94,T95,T91,Kramer Hickok,59,5.08,6.0,118,+0.50
95,T95,96,Max Homa,61,5.08,6.0,118,-0.17
96,T97,T97,Billy Horschel,73,5.0,5.0,100,+0.20
97,T97,T97,Haotong Li,32,5.0,2.0,40,-0.50
98,T97,T97,C.T. Pan,64,5.0,5.0,100,E
99,T97,T97,Ian Poulter,49,5.0,3.0,60,E
100,101,104,Kevin Streelman,63,4.92,6.0,122,+0.67
101,102,T105,Ryan Blaum,67,4.76,6.0,126,+0.33
102,103,95,Dylan Frittelli,55,4.72,5.0,106,E
103,104,T97,Jonas Blixt,66,4.69,6.0,128,-0.17
104,T105,T97,Adam Hadwin,66,4.63,5.0,108,-0.20
105,T105,T97,Matt Kuchar,65,4.63,5.0,108,-0.40
106,T107,T108,Joel Dahmen,78,4.55,6.0,132,-0.17
107,T107,T105,Fabián Gómez,44,4.55,4.0,88,+0.50
108,109,111,Rory Sabbatini,71,4.48,6.0,134,+0.33
109,T110,113,Kiradech Aphibarnrat,49,4.41,3.0,68,+0.33
110,T110,107,Matt Every,38,4.41,3.0,68,E
111,112,999,Shane Lowry,30,4.35,2.0,46,E
112,T113,T115,Lucas Glover,62,4.31,5.0,116,+0.60
113,T113,T115,Beau Hossler,66,4.31,5.0,116,-0.20
114,115,T108,J.B. Holmes,54,4.29,3.0,70,E
115,116,114,Denny McCarthy,63,4.24,5.0,118,E
116,T117,T118,Marc Leishman,52,4.17,3.0,72,E
117,T117,T118,Jon Rahm,51,4.17,3.0,72,+0.33
118,T117,T118,Xander Schauffele,55,4.17,3.0,72,-0.33
119,T117,T108,Cameron Tringale,52,4.17,4.0,96,-0.50
120,T121,117,Adam Svensson,51,4.08,4.0,98,E
121,T121,112,Jimmy Walker,61,4.08,4.0,98,+1.25
122,123,123,Adam Long,52,4.0,4.0,100,-0.25
123,124,T118,Austin Cook,50,3.95,3.0,76,E
124,T125,T124,James Hahn,34,3.85,2.0,52,E
125,T125,T124,Charl Schwartzel,34,3.85,2.0,52,+0.50
126,127,122,Danny Willett,47,3.66,3.0,82,+0.67
127,128,128,Nick Watney,67,3.64,4.0,110,+1.25
128,T129,T130,Jason Kokrak,68,3.57,4.0,112,E
129,T129,T124,Sebastián Muñoz,58,3.57,4.0,112,E
130,T129,T124,Robert Streb,60,3.57,4.0,112,E
131,132,129,Hudson Swafford,59,3.51,4.0,114,+0.50
132,T133,T134,Patton Kizzire,58,3.41,3.0,88,+0.33
133,T133,T134,Patrick Rodgers,44,3.41,3.0,88,+0.67
134,T135,T139,Tyrrell Hatton,46,3.33,2.0,60,+1.50
135,T135,T130,Peter Malnati,64,3.33,4.0,120,+1.25
136,T135,132,Aaron Wise,52,3.33,3.0,90,+0.67
137,T138,T134,Anders Albertson,48,3.26,3.0,92,+0.33
