,Driving_Pct._260-280_All_Drives_RANK THIS WEEK,Driving_Pct._260-280_All_Drives_RANK LAST WEEK,Driving_Pct._260-280_All_Drives_PLAYER NAME,Driving_Pct._260-280_All_Drives_ROUNDS,Driving_Pct._260-280_All_Drives_%,Driving_Pct._260-280_All_Drives_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._260-280_All_Drives_RELATIVE TO PAR
0,1,1,Brian Gay,79,40.35,326,808,-0.040
1,2,3,Alex Cejka,41,38.77,145,374,+0.048
2,3,4,Scott Langley,60,38.66,259,670,-0.012
3,4,5,Jim Furyk,53,38.07,217,570,-0.097
4,5,6,Ryan Armour,66,37.68,257,682,+0.004
5,6,7,Brian Stuard,76,37.47,287,766,-0.031
6,7,8,Kyle Jones,49,36.68,179,488,+0.022
7,8,2,Jonathan Byrd,43,36.48,143,392,+0.063
8,9,11,Ryan Moore,54,36.0,216,600,-0.102
9,10,9,Ben Crane,41,35.98,136,378,+0.029
10,11,12,Johnson Wagner,45,35.04,157,448,-0.019
11,12,10,Roberto Castro,54,34.89,194,556,+0.005
12,13,13,Whee Kim,57,34.33,149,434,+0.134
13,14,14,D.A. Points,33,34.09,90,264,+0.122
14,15,999,Martin Piller,30,33.19,79,238,+0.127
15,16,16,Vaughn Taylor,69,32.92,266,808,-0.004
16,17,15,Henrik Stenson,46,32.84,155,472,-0.026
17,18,17,Justin Harding,31,32.14,54,168,-0.019
18,19,19,Fabián Gómez,44,31.9,134,420,-0.030
19,20,18,Adam Svensson,51,31.59,163,516,-0.012
20,21,21,Andrew Putnam,57,31.5,160,508,+0.094
21,22,22,Freddie Jacobson,37,31.44,105,334,+0.038
22,23,23,Andrew Landry,56,31.4,189,602,+0.079
23,24,28,Chris Kirk,47,30.74,150,488,+0.060
24,25,29,John Huh,35,30.69,116,378,+0.069
25,26,25,Austin Cook,50,30.66,149,486,-0.007
26,27,27,Tom Hoge,70,30.6,205,670,+0.059
27,28,24,José de Jesús Rodríguez,51,30.53,149,488,+0.094
28,T29,30,Ernie Els,43,30.49,111,364,-0.009
29,T29,26,Brady Schnell,38,30.49,111,364,+0.018
30,31,31,Rory Sabbatini,71,30.45,229,752,-0.035
31,32,20,Ben Silverman,54,30.38,178,586,+0.017
32,33,35,Russell Henley,56,30.27,181,598,-0.017
33,34,32,Brian Harman,67,29.97,205,684,+0.078
34,35,37,Pat Perez,52,29.56,120,406,+0.033
35,36,T45,Curtis Luck,51,29.5,131,444,+0.015
36,37,33,Zach Johnson,50,29.47,168,570,+0.024
37,38,38,Ryan Blaum,67,29.4,217,738,+0.009
38,39,36,Tyler Duncan,66,29.28,188,642,+0.080
39,40,39,Kyoung-Hoon Lee,72,29.08,187,643,+0.021
