,Driving_Pct._300_Measured_RANK THIS WEEK,Driving_Pct._300_Measured_RANK LAST WEEK,Driving_Pct._300_Measured_PLAYER NAME,Driving_Pct._300_Measured_ROUNDS,Driving_Pct._300_Measured_%,Driving_Pct._300_Measured_TOTAL DRIVES FOR 300+,Driving_Pct._300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._300_Measured_RELATIVE TO PAR
0,T1,2,Lucas Bjerregaard,37,75.0,33,44,-0.18
1,T1,4,Rory McIlroy,50,75.0,57,76,-0.25
2,3,1,Luke List,52,73.47,72,98,-0.22
3,4,3,Grayson Murray,36,72.22,52,72,-0.29
4,5,5,Cameron Champ,58,69.64,78,112,-0.35
5,6,6,Gary Woodland,63,67.71,65,96,-0.15
6,7,7,Phil Mickelson,41,67.65,46,68,-0.13
7,8,T8,Wyndham Clark,61,66.95,79,118,-0.47
8,9,T8,Tony Finau,61,66.67,64,96,-0.17
9,10,11,Cameron Davis,54,66.35,69,104,-0.35
10,11,10,Patrick Cantlay,49,65.28,47,72,-0.23
11,12,13,Trey Mullinax,67,64.29,81,126,-0.41
12,13,14,Ollie Schniederjans,63,64.04,73,114,-0.26
13,14,12,Rickie Fowler,54,64.0,64,100,-0.25
14,T15,23,Dustin Johnson,47,62.5,45,72,-0.44
15,T15,17,Jon Rahm,51,62.5,45,72,-0.24
16,17,18,Jhonattan Vegas,60,62.07,72,116,-0.40
17,18,15,Seth Reeves,52,62.0,62,100,-0.32
18,19,19,Sam Burns,66,61.72,79,128,-0.33
19,20,16,Brooks Koepka,49,61.67,37,60,-0.41
20,21,20,Bubba Watson,47,61.11,44,72,-0.27
21,22,21,Harold Varner III,62,59.17,71,120,-0.30
22,23,22,Jason Kokrak,68,58.93,66,112,-0.21
23,24,24,Kevin Tway,62,58.7,54,92,-0.24
24,25,28,J.B. Holmes,54,58.57,41,70,-0.02
25,26,29,Brandon Harkins,67,57.14,72,126,-0.35
26,27,25,Hideki Matsuyama,59,56.82,50,88,-0.28
27,28,26,Byeong Hun An,54,56.41,44,78,-0.09
28,29,27,Justin Rose,42,56.25,36,64,-0.36
29,30,30,Xander Schauffele,55,55.56,40,72,-0.30
30,31,T32,Sepp Straka,48,54.35,50,92,-0.32
31,T32,T32,Jason Day,45,53.57,30,56,-0.20
32,T32,31,Sergio Garcia,39,53.57,30,56,-0.37
33,34,34,Keith Mitchell,64,53.06,52,98,-0.46
34,35,35,Bryson DeChambeau,45,52.63,40,76,-0.33
35,36,37,Patrick Rodgers,44,52.27,46,88,-0.41
36,37,36,Aaron Wise,52,52.22,47,90,-0.30
37,38,38,Martin Trainer,51,51.96,53,102,-0.40
38,39,39,Justin Thomas,49,51.47,35,68,-0.43
39,40,40,Alex Prugh,54,50.0,50,100,-0.20
40,41,44,Jimmy Walker,61,48.98,48,98,-0.17
41,42,41,Adam Schenk,80,48.72,76,156,-0.43
42,43,54,Alex Noren,49,48.53,33,68,-0.06
43,44,42,Tommy Fleetwood,43,48.21,27,56,-0.15
44,45,45,Peter Uihlein,65,48.18,53,110,-0.36
45,46,43,Jim Knous,55,48.04,49,102,-0.20
46,47,999,Shane Lowry,30,47.83,22,46,-0.36
47,48,49,Sebastián Muñoz,58,47.32,53,112,-0.38
48,49,46,Keegan Bradley,65,46.74,43,92,-0.30
49,50,48,Harris English,72,46.43,65,140,-0.35
50,51,47,Brendan Steele,50,46.25,37,80,-0.22
51,52,50,Charles Howell III,64,45.92,45,98,-0.13
52,53,T61,Daniel Berger,48,45.83,44,96,-0.34
53,54,T56,Carlos Ortiz,60,45.69,53,116,-0.36
54,T55,52,Paul Casey,51,45.45,30,66,-0.33
55,T55,60,Nick Watney,67,45.45,50,110,-0.24
56,T57,51,Joaquin Niemann,68,45.16,56,124,-0.20
57,T57,T58,D.J. Trahan,33,45.16,28,62,-0.61
58,59,53,Sung Kang,67,45.08,55,122,-0.38
59,60,T56,Danny Lee,66,45.0,54,120,-0.33
60,61,55,Max Homa,61,44.92,53,118,-0.40
61,62,T58,Adam Scott,41,44.44,24,54,-0.21
62,T63,70,Ryan Palmer,56,43.18,38,88,-0.24
63,T63,T61,Matt Wallace,31,43.18,19,44,+0.21
64,T63,T61,Tiger Woods,31,43.18,19,44,-0.68
65,66,64,Cameron Smith,55,42.65,29,68,-0.38
66,67,65,Emiliano Grillo,65,42.39,39,92,-0.31
67,68,69,Martin Laird,60,41.96,47,112,-0.47
68,69,74,Talor Gooch,37,41.89,31,74,-0.48
69,T70,68,Louis Oosthuizen,43,41.67,20,48,-0.25
70,T70,66,Seamus Power,58,41.67,45,108,-0.33
71,72,67,Sam Saunders,53,41.51,44,106,-0.34
72,73,71,Mackenzie Hughes,58,40.74,44,108,-0.27
73,74,T77,Cody Gribble,52,40.63,39,96,-0.31
74,75,72,Scott Stallings,63,40.0,44,110,-0.32
75,T76,73,Chesson Hadley,58,39.58,38,96,-0.32
76,T76,T77,Cameron Tringale,52,39.58,38,96,-0.47
77,78,75,Hudson Swafford,59,39.47,45,114,-0.29
78,79,76,Marc Leishman,52,38.89,28,72,-0.14
79,80,79,Sam Ryder,52,38.54,37,96,-0.38
80,81,80,Tyrrell Hatton,46,38.33,23,60,-0.17
81,82,92,Hank Lebioda,55,38.24,39,102,-0.51
82,83,89,John Chin,38,38.16,29,76,-0.34
83,84,81,Roger Sloan,62,37.9,47,124,-0.23
84,T85,T82,Justin Harding,31,37.5,9,24,E
85,T85,T82,Haotong Li,32,37.5,15,40,-0.27
86,87,T85,Chase Wright,53,37.25,38,102,-0.37
87,88,84,Jordan Spieth,57,37.0,37,100,-0.08
88,89,T85,Dylan Frittelli,55,36.79,39,106,-0.38
89,90,87,Francesco Molinari,41,36.54,19,52,+0.21
90,91,88,Stephan Jaeger,59,36.36,40,110,-0.30
91,92,90,Branden Grace,62,35.53,27,76,-0.26
92,93,109,Danny Willett,47,35.37,29,82,-0.31
93,94,94,Bud Cauley,61,35.25,43,122,-0.44
94,95,93,Patrick Reed,53,35.0,28,80,-0.18
95,96,91,Shawn Stefani,57,34.91,37,106,-0.22
96,T97,95,Beau Hossler,66,34.48,40,116,-0.13
97,T97,98,Scott Piercy,70,34.48,40,116,-0.45
98,99,103,Dominic Bozzelli,53,34.31,35,102,-0.54
99,100,96,J.T. Poston,76,34.03,49,144,-0.22
100,101,97,Adam Long,52,34.0,34,100,-0.26
101,102,99,Lucas Glover,62,33.62,39,116,-0.46
102,T103,T100,Matt Jones,67,33.33,42,126,-0.43
103,T103,T100,Si Woo Kim,65,33.33,32,96,-0.38
104,T103,T100,Hunter Mahan,45,33.33,30,90,-0.17
105,106,108,Anders Albertson,48,32.61,30,92,-0.30
106,107,106,Wes Roach,45,32.56,28,86,-0.50
107,108,114,Sangmoon Bae,42,32.5,26,80,-0.15
108,109,T111,Corey Conners,62,32.41,35,108,-0.46
109,110,105,Troy Merritt,42,32.35,22,68,-0.36
110,111,107,Kevin Streelman,63,31.97,39,122,-0.44
111,112,999,Tyrone Van Aswegen,30,31.67,19,60,-0.37
112,113,117,Sungjae Im,88,31.25,50,160,-0.52
113,114,110,Billy Horschel,73,31.0,31,100,-0.19
114,115,T111,James Hahn,34,30.77,16,52,-0.56
115,116,113,Patton Kizzire,58,30.68,27,88,E
116,117,118,Adam Hadwin,66,30.56,33,108,-0.67
117,118,119,Denny McCarthy,63,30.51,36,118,-0.44
118,119,115,Stewart Cink,33,30.43,14,46,-0.43
119,120,120,J.J. Spaun,68,30.36,34,112,-0.35
120,121,116,Kevin Na,54,30.3,20,66,-0.45
121,122,121,Charley Hoffman,58,29.76,25,84,-0.12
122,T123,124,Kiradech Aphibarnrat,49,29.41,20,68,-0.30
123,T123,122,Matt Every,38,29.41,20,68,-0.45
