,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Scott Langley,60,13.43,90,670,+0.078
1,2,2,D.A. Points,33,12.5,33,264,+0.303
2,3,3,Jim Furyk,53,11.93,68,570,-0.074
3,4,7,Adam Schenk,80,10.98,92,838,-0.076
4,5,6,Brian Stuard,76,10.97,84,766,+0.012
5,6,8,Patton Kizzire,58,10.81,56,518,+0.071
6,7,9,John Senden,39,10.78,36,334,+0.139
7,T8,4,Whee Kim,57,10.6,46,434,+0.087
8,T8,T10,"Ted Potter, Jr.",56,10.6,64,604,+0.422
9,10,5,Cameron Tringale,52,10.55,50,474,+0.080
10,11,999,Tyrone Van Aswegen,30,10.53,28,266,+0.036
11,12,12,Ernie Els,43,10.44,38,364,+0.237
12,T13,14,Roberto Castro,54,10.43,58,556,-0.034
13,T13,T10,Graeme McDowell,61,10.43,58,556,+0.103
14,15,13,David Hearn,41,9.88,33,334,+0.091
15,16,15,Ryan Armour,66,9.82,67,682,+0.090
16,17,16,Michael Kim,51,9.76,48,492,+0.292
17,18,17,Ryan Moore,54,9.67,58,600,-0.069
18,19,18,Andrew Putnam,57,9.65,49,508,+0.061
19,20,T27,Henrik Stenson,46,9.32,44,472,-0.068
20,21,20,Ben Crane,41,9.26,35,378,+0.171
21,22,19,Johnson Wagner,45,9.15,41,448,-0.024
22,23,21,Charl Schwartzel,34,9.13,19,208,+0.368
23,24,22,Paul Casey,51,8.99,39,434,E
24,25,999,Martin Piller,30,8.82,21,238,+0.143
25,26,23,Hank Lebioda,55,8.49,46,542,+0.174
26,27,26,Michael Thompson,56,8.45,59,698,+0.102
27,28,34,Scott Piercy,70,8.38,59,704,+0.051
28,29,T27,Nick Watney,67,8.36,57,682,+0.070
29,30,30,Lucas Glover,62,8.27,61,738,-0.033
30,T31,24,Jim Herman,37,8.24,31,376,+0.032
31,T31,46,Rod Pampling,40,8.24,31,376,+0.323
32,33,31,Rafa Cabrera Bello,57,8.2,41,500,E
33,34,35,Matthew Fitzpatrick,42,8.13,33,406,-0.030
34,35,32,Curtis Luck,51,8.11,36,444,+0.194
35,36,33,Wyndham Clark,61,8.1,53,654,+0.075
36,37,29,Brandt Snedeker,68,8.04,54,672,+0.037
37,38,25,Martin Laird,60,8.02,55,686,+0.145
38,39,T65,Brady Schnell,38,7.97,29,364,+0.069
39,40,40,Satoshi Kodaira,51,7.96,39,490,+0.333
40,41,T38,Shawn Stefani,57,7.93,43,542,+0.140
41,T42,T42,Marc Leishman,52,7.89,39,494,+0.128
42,T42,T42,Chez Reavie,67,7.89,44,558,+0.273
