,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Michael Kim,51,12.82,10.0,78,+0.20
1,2,2,"Ted Potter, Jr.",56,9.78,9.0,92,+0.56
2,3,3,Alex Cejka,41,5.41,4.0,74,E
3,4,5,Brian Stuard,76,4.69,6.0,128,+0.50
4,5,4,Brian Gay,79,4.48,6.0,134,E
5,T6,T7,John Huh,35,4.29,3.0,70,+0.67
6,T6,T7,Freddie Jacobson,37,4.29,3.0,70,+0.67
7,T8,6,Cody Gribble,52,4.17,4.0,96,-0.25
8,T8,11,Grayson Murray,36,4.17,3.0,72,+1.33
9,T10,12,Keith Mitchell,64,4.08,4.0,98,+1.00
10,T10,10,Adam Svensson,51,4.08,4.0,98,E
11,12,T7,David Hearn,41,4.05,3.0,74,+0.33
12,13,20,Roberto Castro,54,4.0,4.0,100,E
13,14,13,Ben Crane,41,3.66,3.0,82,+0.67
14,15,15,Johnson Wagner,45,3.49,3.0,86,E
15,T16,T16,Ryan Armour,66,3.45,4.0,116,+0.25
16,T16,14,Scott Langley,60,3.45,4.0,116,-0.25
17,18,18,Patton Kizzire,58,3.41,3.0,88,E
18,19,999,Martin Piller,30,3.33,2.0,60,-0.50
19,20,T16,Webb Simpson,53,3.26,3.0,92,-0.33
20,21,19,Curtis Luck,51,3.19,3.0,94,+0.33
21,22,T23,D.A. Points,33,3.03,2.0,66,+1.00
22,T23,T25,C.T. Pan,64,3.0,3.0,100,E
23,T23,22,Chris Stroud,54,3.0,3.0,100,E
24,T25,21,Jim Knous,55,2.94,3.0,102,+0.33
25,T25,T27,Phil Mickelson,41,2.94,2.0,68,-0.50
26,27,T23,J.B. Holmes,54,2.86,2.0,70,+0.50
27,28,T27,Brice Garnett,63,2.83,3.0,106,E
28,T29,T31,Satoshi Kodaira,51,2.78,2.0,72,E
29,T29,T25,Ben Silverman,54,2.78,3.0,108,E
30,T31,30,Scott Stallings,63,2.73,3.0,110,-0.33
31,T31,T27,Peter Uihlein,65,2.73,3.0,110,+0.33
32,33,34,John Senden,39,2.7,2.0,74,E
33,34,T35,Cameron Champ,58,2.68,3.0,112,+0.33
34,T35,T31,J.J. Henry,42,2.63,2.0,76,-0.50
35,T35,T31,Brady Schnell,38,2.63,2.0,76,E
36,37,T35,Scott Piercy,70,2.59,3.0,116,+0.67
37,38,37,Kramer Hickok,59,2.54,3.0,118,+0.33
38,39,38,Andrew Putnam,57,2.5,2.0,80,-0.50
39,40,T39,Ryan Blaum,67,2.38,3.0,126,+1.67
40,41,42,Kyoung-Hoon Lee,72,2.34,3.0,128,+0.33
41,42,T44,Patrick Rodgers,44,2.27,2.0,88,+0.50
42,T43,43,Whee Kim,57,2.22,2.0,90,E
43,T43,T46,Chris Kirk,47,2.22,2.0,90,-0.50
44,T45,T39,Keegan Bradley,65,2.17,2.0,92,+0.50
45,T45,T48,Jason Dufner,56,2.17,2.0,92,E
46,T45,T39,Kevin Tway,62,2.17,2.0,92,E
47,48,T46,Kyle Jones,49,2.13,2.0,94,E
48,T49,T44,Jim Furyk,53,2.08,2.0,96,-1.00
49,T49,T51,Louis Oosthuizen,43,2.08,1.0,48,E
50,T49,T51,J.T. Poston,76,2.08,3.0,144,E
51,52,T51,Seth Reeves,52,2.0,2.0,100,+0.50
52,T53,50,Brandt Snedeker,68,1.96,2.0,102,E
53,T53,T54,Martin Trainer,51,1.96,2.0,102,E
54,T55,T58,James Hahn,34,1.92,1.0,52,-1.00
55,T55,56,Adam Schenk,80,1.92,3.0,156,-0.33
56,T55,T58,Charl Schwartzel,34,1.92,1.0,52,E
57,T58,T102,Dylan Frittelli,55,1.89,2.0,106,+0.50
58,T58,T54,Graeme McDowell,61,1.89,2.0,106,+0.50
59,T60,T58,Bill Haas,58,1.85,2.0,108,+1.50
60,T60,57,Adam Hadwin,66,1.85,2.0,108,+0.50
61,T60,61,Russell Knox,65,1.85,2.0,108,E
62,63,T63,Lucas Glover,62,1.72,2.0,116,+0.50
63,T64,62,Peter Malnati,64,1.67,2.0,120,+0.50
64,T64,999,Tyrone Van Aswegen,30,1.67,1.0,60,E
65,T66,T63,Scott Brown,66,1.61,2.0,124,+0.50
66,T66,69,Matthew Fitzpatrick,42,1.61,1.0,62,E
67,T68,T65,Jonas Blixt,66,1.56,2.0,128,E
68,T68,T70,Kyle Stanley,53,1.56,1.0,64,+1.00
69,T70,T73,Ernie Els,43,1.52,1.0,66,+1.00
70,T70,T73,Kevin Na,54,1.52,1.0,66,+1.00
71,T72,T76,Rory Sabbatini,71,1.49,2.0,134,+1.00
72,T72,T76,Vaughn Taylor,69,1.49,2.0,134,+0.50
73,T74,T70,Matt Every,38,1.47,1.0,68,+1.00
74,T74,T65,Rod Pampling,40,1.47,1.0,68,+1.00
75,T74,78,Cameron Smith,55,1.47,1.0,68,+1.00
76,T74,T65,Henrik Stenson,46,1.47,1.0,68,+1.00
77,T74,T65,Justin Thomas,49,1.47,1.0,68,+2.00
78,T79,T79,Patrick Cantlay,49,1.39,1.0,72,E
79,T79,T79,Marc Leishman,52,1.39,1.0,72,+1.00
80,T79,T79,Xander Schauffele,55,1.39,1.0,72,E
81,T79,T70,Bubba Watson,47,1.39,1.0,72,+2.00
82,83,T73,Talor Gooch,37,1.35,1.0,74,E
83,84,T79,Austin Cook,50,1.32,1.0,76,E
84,85,85,Patrick Reed,53,1.25,1.0,80,E
85,T86,T83,Jonathan Byrd,43,1.22,1.0,82,E
86,T86,T83,Danny Willett,47,1.22,1.0,82,-1.00
87,88,T87,Fabián Gómez,44,1.14,1.0,88,E
88,T89,93,Hunter Mahan,45,1.11,1.0,90,+1.00
89,T89,86,Josh Teater,47,1.11,1.0,90,E
90,T89,90,Aaron Wise,52,1.11,1.0,90,+1.00
91,T92,T91,Anders Albertson,48,1.09,1.0,92,+1.00
92,T92,T87,Zach Johnson,50,1.09,1.0,92,+1.00
93,T92,94,Ryan Moore,54,1.09,1.0,92,+2.00
94,T92,T87,Sepp Straka,48,1.09,1.0,92,+2.00
95,T96,T97,Andrew Landry,56,1.04,1.0,96,E
96,T96,T97,Chez Reavie,67,1.04,1.0,96,E
97,T96,T97,Sam Ryder,52,1.04,1.0,96,E
98,T96,T91,Cameron Tringale,52,1.04,1.0,96,E
99,T96,T97,Gary Woodland,63,1.04,1.0,96,+1.00
100,101,T102,Charles Howell III,64,1.02,1.0,98,E
101,T102,T105,Rickie Fowler,54,1.0,1.0,100,+1.00
102,T102,T105,Billy Horschel,73,1.0,1.0,100,-1.00
103,T102,T105,Kevin Kisner,65,1.0,1.0,100,E
104,T102,T97,Alex Prugh,54,1.0,1.0,100,E
105,T106,110,Aaron Baddeley,51,0.98,1.0,102,+1.00
