,Fairway_Bunker_Tendency_RANK THIS WEEK,Fairway_Bunker_Tendency_RANK LAST WEEK,Fairway_Bunker_Tendency_PLAYER NAME,Fairway_Bunker_Tendency_ROUNDS,Fairway_Bunker_Tendency_%,Fairway_Bunker_Tendency_TOTAL FAIRWAY BUNKERS,Fairway_Bunker_Tendency_POSSIBLE FWYS,Fairway_Bunker_Tendency_RELATIVE TO PAR
0,1,T2,Rory McIlroy,50,2.9,15,517,+0.067
1,2,1,Justin Harding,31,3.0,5,168,E
2,T3,T2,Hunter Mahan,45,3.3,15,458,+0.200
3,T3,4,Webb Simpson,53,3.3,21,629,+0.190
4,5,T9,Wes Roach,45,3.7,15,403,+0.400
5,6,T6,Bubba Watson,47,3.8,19,500,-0.263
6,T7,T6,Jason Day,45,4.0,14,348,E
7,T7,T9,Kramer Hickok,59,4.0,23,569,+0.348
8,T7,8,Scott Langley,60,4.0,27,668,+0.444
9,10,5,D.J. Trahan,33,4.1,11,266,+0.091
10,11,T17,David Hearn,41,4.2,14,332,+0.357
11,T12,T26,Dustin Johnson,47,4.3,20,469,-0.050
12,T12,T17,Brooks Koepka,49,4.3,18,423,-0.056
13,T12,T9,Andrew Landry,56,4.3,26,600,+0.115
14,T12,T9,Haotong Li,32,4.3,12,278,+0.583
15,T12,T14,Sepp Straka,48,4.3,19,444,+0.316
16,T12,T9,Brian Stuard,76,4.3,33,764,+0.273
17,T18,T17,Wyndham Clark,61,4.4,28,641,+0.321
18,T18,16,Jim Furyk,53,4.4,25,570,+0.040
19,T18,T21,Sergio Garcia,39,4.4,17,386,E
20,21,T14,Ryan Armour,66,4.5,31,682,+0.355
21,T22,T21,Sam Burns,66,4.7,35,740,+0.371
22,T22,T21,Cameron Champ,58,4.7,31,664,+0.290
23,T22,T29,Corey Conners,62,4.7,28,602,+0.321
24,T22,T21,Bryson DeChambeau,45,4.7,25,532,-0.040
25,T22,T21,Matt Kuchar,65,4.7,32,676,+0.063
26,T22,T36,Henrik Stenson,46,4.7,22,471,+0.227
27,T28,T29,Roberto Díaz,51,4.8,22,455,+0.136
28,T28,999,Shane Lowry,30,4.8,14,290,+0.429
29,T28,T26,Kevin Na,54,4.8,22,459,+0.318
30,T28,T26,Tiger Woods,31,4.8,14,291,+0.214
31,T32,T40,Cameron Davis,54,4.9,25,507,+0.240
32,T32,T29,Matthew Fitzpatrick,42,4.9,20,406,+0.250
33,T34,T54,Lucas Bjerregaard,37,5.0,15,303,+0.467
34,T34,T32,Rafa Cabrera Bello,57,5.0,25,500,+0.160
35,T34,T32,Patrick Cantlay,49,5.0,23,460,+0.043
36,T34,T17,Tyler Duncan,66,5.0,32,641,+0.375
37,T34,T32,Tommy Fleetwood,43,5.0,18,360,+0.389
38,T34,T32,Chez Reavie,67,5.0,28,555,+0.393
39,T34,T36,Seth Reeves,52,5.0,25,496,+0.360
40,T34,T46,Shawn Stefani,57,5.0,27,535,+0.222
41,T42,T36,Abraham Ancer,69,5.1,35,683,+0.371
42,T42,T62,Jonathan Byrd,43,5.1,20,390,+0.200
43,T42,T57,Dylan Frittelli,55,5.1,31,607,+0.161
44,T42,T54,Jim Herman,37,5.1,19,375,+0.368
45,T42,T36,Brendan Steele,50,5.1,26,514,+0.385
46,T47,T40,Byeong Hun An,54,5.2,28,542,+0.107
47,T47,T40,Kiradech Aphibarnrat,49,5.2,24,460,-0.083
48,T47,T51,Roberto Castro,54,5.2,29,554,+0.379
49,T47,T40,Troy Merritt,42,5.2,24,460,-0.042
50,T47,T40,Ryan Moore,54,5.2,31,600,+0.097
51,T52,T69,Joey Garber,44,5.3,19,361,+0.421
52,T52,T46,Satoshi Kodaira,51,5.3,26,487,+0.538
53,T52,T46,Jason Kokrak,68,5.3,39,734,+0.282
54,T52,T57,Martin Laird,60,5.3,36,679,+0.361
55,T52,T46,Patrick Rodgers,44,5.3,28,529,+0.143
56,T52,T46,Kevin Streelman,63,5.3,39,736,+0.154
57,T58,T57,Daniel Berger,48,5.4,31,570,+0.258
58,T58,T54,Brice Garnett,63,5.4,31,574,+0.097
59,T58,T51,Kevin Kisner,65,5.4,32,598,+0.250
60,T58,T51,Phil Mickelson,41,5.4,22,411,-0.136
61,T58,T57,Hudson Swafford,59,5.4,35,651,+0.143
62,T63,T67,Jonas Blixt,66,5.5,40,724,+0.175
