,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Paul Casey,51,88.89,584,657
1,2,3,Ryan Moore,54,88.2,665,754
2,3,2,Jim Furyk,53,88.01,587,667
3,4,4,Francesco Molinari,41,87.92,422,480
4,5,5,Chez Reavie,67,87.69,734,837
5,6,6,Matt Kuchar,65,87.61,714,815
6,7,7,James Hahn,34,87.16,414,475
7,8,13,Corey Conners,62,87.05,706,811
8,9,8,Johnson Wagner,45,87.02,523,601
9,10,10,Scott Piercy,70,86.84,805,927
10,11,12,Tiger Woods,31,86.81,316,364
11,12,9,David Hearn,41,86.8,447,515
12,13,11,Brice Garnett,63,86.55,740,855
13,14,14,Andrew Landry,56,86.54,630,728
14,15,15,Sungjae Im,88,86.42,1012,1171
15,16,21,Webb Simpson,53,86.32,606,702
16,17,20,Ryan Armour,66,86.18,792,919
17,18,T39,Henrik Stenson,46,86.17,455,528
18,19,16,Abraham Ancer,69,86.16,772,896
19,20,17,Kevin Kisner,65,86.15,647,751
20,21,18,Kevin Streelman,63,86.02,732,851
21,22,19,Brooks Koepka,49,85.98,509,592
22,23,22,Lucas Glover,62,85.87,693,807
23,24,23,Gary Woodland,63,85.75,722,842
24,25,24,Daniel Berger,48,85.71,576,672
25,26,26,John Senden,39,85.63,441,515
26,27,T28,Jason Dufner,56,85.54,645,754
27,28,32,Michael Thompson,56,85.4,667,781
28,29,47,Alex Cejka,41,85.38,438,513
29,30,31,Brady Schnell,38,85.31,453,531
30,31,T33,Ian Poulter,49,85.3,505,592
31,32,35,Troy Merritt,42,85.26,457,536
32,33,T36,Russell Knox,65,85.25,688,807
33,T34,30,Alex Prugh,54,85.22,594,697
34,T34,38,Brendan Steele,50,85.22,571,670
35,36,T33,Hank Lebioda,55,85.19,604,709
36,37,T39,Joel Dahmen,78,85.17,879,1032
37,38,27,Kramer Hickok,59,85.14,699,821
38,39,43,Rory Sabbatini,71,85.1,794,933
39,T40,T28,Brian Gay,79,84.98,888,1045
40,T40,T45,Jhonattan Vegas,60,84.98,690,812
41,42,44,Russell Henley,56,84.92,614,723
42,43,53,Jim Herman,37,84.88,438,516
43,44,T36,Ryan Palmer,56,84.87,617,727
44,45,42,Nate Lashley,44,84.84,498,587
45,46,48,Keegan Bradley,65,84.77,690,814
46,47,T39,Josh Teater,47,84.74,533,629
47,T48,49,Hideki Matsuyama,59,84.69,664,784
48,T48,T45,J.J. Spaun,68,84.69,758,895
49,50,50,"Ted Potter, Jr.",56,84.68,641,757
50,51,52,Brian Stuard,76,84.65,849,1003
51,52,55,Jon Rahm,51,84.58,521,616
52,T53,56,Emiliano Grillo,65,84.56,734,868
53,T53,73,Danny Willett,47,84.56,553,654
54,55,25,D.J. Trahan,33,84.53,366,433
55,56,60,Adam Hadwin,66,84.51,731,865
56,57,59,Hunter Mahan,45,84.37,529,627
57,58,T62,Ben Silverman,54,84.33,635,753
58,59,61,Charles Howell III,64,84.27,723,858
59,60,65,Brian Harman,67,84.25,765,908
60,61,54,Tyler Duncan,66,84.21,752,893
61,T62,66,Bryson DeChambeau,45,84.12,498,592
62,T62,51,Harris English,72,84.12,821,976
63,64,68,Justin Thomas,49,84.1,545,648
64,65,57,Shawn Stefani,57,84.01,620,738
65,66,58,Dylan Frittelli,55,83.99,619,737
66,67,69,Billy Horschel,73,83.94,779,928
67,T68,70,Tommy Fleetwood,43,83.9,422,503
68,T68,64,Fabián Gómez,44,83.9,516,615
69,70,T62,Wes Roach,45,83.86,504,601
70,71,67,J.J. Henry,42,83.8,445,531
71,72,74,Adam Long,52,83.77,609,727
72,73,100,Talor Gooch,37,83.75,433,517
73,T74,87,Austin Cook,50,83.72,535,639
74,T74,72,Cameron Davis,54,83.72,607,725
75,76,71,Cameron Tringale,52,83.71,560,669
76,77,75,Kyoung-Hoon Lee,72,83.68,795,950
77,78,98,Rory McIlroy,50,83.64,542,648
78,79,76,Louis Oosthuizen,43,83.6,418,500
79,T80,97,Dustin Johnson,47,83.58,514,615
80,T80,84,Carlos Ortiz,60,83.58,677,810
81,82,82,Kyle Jones,49,83.51,547,655
82,83,80,Matthew Fitzpatrick,42,83.49,455,545
83,84,81,Keith Mitchell,64,83.47,712,853
84,85,T93,Adam Svensson,51,83.46,570,683
85,86,83,Vaughn Taylor,69,83.39,778,933
86,T87,T85,Rickie Fowler,54,83.33,630,756
87,T87,T85,Xander Schauffele,55,83.33,610,732
88,89,88,Jason Kokrak,68,83.3,743,892
89,90,89,Patrick Cantlay,49,83.28,513,616
90,91,T90,Bronson Burgoon,37,83.2,431,518
91,T92,T111,Sangmoon Bae,42,83.12,463,557
92,T92,92,Adam Scott,41,83.12,453,545
93,T94,T95,Graeme McDowell,61,83.1,659,793
94,T94,T78,Sepp Straka,48,83.1,531,639
95,T96,T95,Justin Harding,31,83.04,279,336
96,T96,110,Joaquin Niemann,68,83.04,764,920
97,T96,T78,Bubba Watson,47,83.04,465,560
98,99,T90,Roberto Díaz,51,83.0,542,653
99,100,T93,Jim Knous,55,82.98,590,711
100,101,99,Chase Wright,53,82.84,589,711
101,102,101,Chris Kirk,47,82.8,520,628
102,103,102,Sam Ryder,52,82.78,601,726
103,104,104,Tyrrell Hatton,46,82.76,485,586
