,Hang_Time_RANK THIS WEEK,Hang_Time_RANK LAST WEEK,Hang_Time_PLAYER NAME,Hang_Time_ROUNDS,Hang_Time_AVG.,Hang_Time_TOTAL ACTUAL HANG TIME,Hang_Time_TOTAL ATTEMPTS,Hang_Time_LONGEST ACT. HANG TIME,Hang_Time_SHORTEST ACT. HANG TIME
0,1,T1,Bryson DeChambeau,45,7.1,199.6,28,,5.2
1,T2,T5,Cameron Davis,54,7.0,327.1,47,,4.6
2,T2,T3,Jason Day,45,7.0,167.1,24,,4.7
3,T2,T9,Brooks Koepka,49,7.0,333.7,48,,4.5
4,T2,T3,Phil Mickelson,41,7.0,84.6,12,,4.1
5,T6,T5,Tommy Fleetwood,43,6.9,173.0,25,,5.6
6,T6,T11,Stephan Jaeger,59,6.9,370.3,54,,4.5
7,T6,T1,Dustin Johnson,47,6.9,226.9,33,,4.1
8,T6,T5,Gary Woodland,63,6.9,372.5,54,,4.5
9,10,T5,Alex Noren,49,6.8,415.0,61,,1.2
10,T11,T86,Keegan Bradley,65,6.7,193.0,29,,0.8
11,T11,T31,Jonathan Byrd,43,6.7,342.2,51,,4.0
12,T11,T9,Sergio Garcia,39,6.7,293.3,44,,3.8
13,T11,T11,Bill Haas,58,6.7,481.4,72,,2.9
14,T11,T11,James Hahn,34,6.7,67.5,10,,5.7
15,T11,T11,Hideki Matsuyama,59,6.7,313.6,47,,4.2
16,T11,T31,Rory McIlroy,50,6.7,300.9,45,,4.1
17,T11,999,Martin Piller,30,6.7,133.4,20,,4.7
18,T11,T11,Jon Rahm,51,6.7,186.9,28,,2.2
19,T11,T11,Xander Schauffele,55,6.7,194.4,29,,2.8
20,T11,T11,Adam Schenk,80,6.7,550.4,82,,0.8
21,T11,T31,J.J. Spaun,68,6.7,350.0,52,,4.4
22,T11,T11,Chris Thompson,34,6.7,235.7,35,,4.5
23,T11,T11,Tiger Woods,31,6.7,87.4,13,,5.4
24,T25,T21,Byeong Hun An,54,6.6,297.0,45,,1.4
25,T25,T21,Patrick Cantlay,49,6.6,190.6,29,,4.8
26,T25,T31,Harris English,72,6.6,585.8,89,,4.2
27,T25,T51,Adam Hadwin,66,6.6,315.3,48,,0.6
28,T25,T31,David Hearn,41,6.6,176.9,27,,4.3
29,T25,T51,J.B. Holmes,54,6.6,259.0,39,,3.3
30,T25,T21,Luke List,52,6.6,407.8,62,,3.9
31,T25,T31,Graeme McDowell,61,6.6,391.8,59,,2.7
32,T25,T21,Keith Mitchell,64,6.6,400.2,61,,2.3
33,T25,T11,Alex Prugh,54,6.6,347.9,53,,2.6
34,T25,T21,Patrick Rodgers,44,6.6,249.3,38,,4.7
35,T25,T21,Sam Saunders,53,6.6,283.3,43,,3.1
36,T25,T21,Adam Scott,41,6.6,145.0,22,,4.0
37,T25,T31,Hudson Swafford,59,6.6,499.7,76,,2.0
38,T25,T51,Cameron Tringale,52,6.6,425.2,64,,3.5
39,T25,T21,Chase Wright,53,6.6,350.3,53,,4.1
40,T41,T51,Tyler Duncan,66,6.5,497.4,77,,3.9
41,T41,T51,Dylan Frittelli,55,6.5,431.8,66,,3.5
42,T41,T51,Brian Gay,79,6.5,300.3,46,,3.3
43,T41,T51,Kramer Hickok,59,6.5,355.4,55,,3.9
44,T41,T31,Si Woo Kim,65,6.5,337.6,52,,2.3
45,T41,T31,Kevin Kisner,65,6.5,299.0,46,,2.8
46,T41,T114,Jim Knous,55,6.5,381.6,59,,2.9
47,T41,T31,Jason Kokrak,68,6.5,395.1,61,,2.9
48,T41,T51,Hank Lebioda,55,6.5,306.2,47,,2.7
49,T41,T31,Adam Long,52,6.5,286.1,44,,1.1
50,T41,T51,Sebastián Muñoz,58,6.5,406.8,63,,3.7
51,T41,T31,Trey Mullinax,67,6.5,631.5,97,,0.6
52,T41,T51,Wes Roach,45,6.5,294.6,45,,5.1
53,T41,T31,Roger Sloan,62,6.5,517.0,79,,0.9
54,T41,T31,Cameron Smith,55,6.5,149.1,23,,4.5
55,T41,T86,Brandt Snedeker,68,6.5,415.5,64,,3.6
56,T41,T51,Sepp Straka,48,6.5,325.3,50,,3.5
57,T41,T31,Brian Stuard,76,6.5,284.4,44,,3.7
58,T41,T31,Vaughn Taylor,69,6.5,337.5,52,,4.5
59,T41,T31,Aaron Wise,52,6.5,287.0,44,,3.6
60,T61,T51,Kiradech Aphibarnrat,49,6.4,217.0,34,,2.1
61,T61,T114,Sangmoon Bae,42,6.4,230.7,36,,4.0
62,T61,T31,Lucas Bjerregaard,37,6.4,274.8,43,,0.5
63,T61,T51,Jonas Blixt,66,6.4,573.3,90,,3.6
64,T61,T86,Scott Brown,66,6.4,578.3,91,,2.7
65,T61,T51,Rafa Cabrera Bello,57,6.4,257.7,40,,4.7
66,T61,T51,Paul Casey,51,6.4,204.3,32,,4.0
67,T61,T51,Wyndham Clark,61,6.4,281.1,44,,1.4
68,T61,T31,Austin Cook,50,6.4,320.5,50,,3.2
69,T61,T51,Joel Dahmen,78,6.4,422.2,66,,4.0
70,T61,T51,Julián Etulain,55,6.4,263.1,41,,4.1
71,T61,T51,Tony Finau,61,6.4,398.1,62,,3.2
72,T61,T167,Joey Garber,44,6.4,244.0,38,,0.6
73,T61,T51,Tyrrell Hatton,46,6.4,218.0,34,,2.5
74,T61,T51,Billy Horschel,73,6.4,366.0,57,,2.1
75,T61,T51,Beau Hossler,66,6.4,469.2,73,,2.6
76,T61,T86,Kyle Jones,49,6.4,389.3,61,,3.5
77,T61,T51,Sung Kang,67,6.4,256.4,40,,4.3
78,T61,T51,Patton Kizzire,58,6.4,276.7,43,,1.6
79,T61,T86,Martin Laird,60,6.4,577.5,90,,3.2
80,T61,T51,Andrew Landry,56,6.4,257.3,40,,4.4
81,T61,T114,Danny Lee,66,6.4,453.2,71,,1.7
82,T61,T51,Haotong Li,32,6.4,120.9,19,,5.2
83,T61,T86,Denny McCarthy,63,6.4,408.8,64,,3.7
84,T61,T51,Troy Merritt,42,6.4,231.7,36,,4.3
85,T61,T51,Francesco Molinari,41,6.4,223.1,35,,3.9
86,T61,T51,Grayson Murray,36,6.4,134.4,21,,3.6
87,T61,T86,Carlos Ortiz,60,6.4,407.6,64,,2.6
88,T61,T51,Pat Perez,52,6.4,167.6,26,,2.0
89,T61,T51,J.T. Poston,76,6.4,582.4,91,,3.8
90,T61,T51,Brendan Steele,50,6.4,456.9,71,,2.6
91,T61,T51,Michael Thompson,56,6.4,375.7,59,,3.1
92,T61,T51,Matt Wallace,31,6.4,76.2,12,,3.3
93,T61,T21,Danny Willett,47,6.4,204.1,32,,2.7
94,T95,T86,Sam Burns,66,6.3,402.9,64,,0.7
95,T95,T114,Bud Cauley,61,6.3,464.4,74,,2.4
96,T95,T114,Alex Cejka,41,6.3,132.2,21,,4.7
97,T95,T114,Corey Conners,62,6.3,418.9,67,,0.6
98,T95,T86,Rickie Fowler,54,6.3,284.2,45,,0.3
99,T95,T140,Talor Gooch,37,6.3,277.0,44,,1.3
100,T95,T86,Emiliano Grillo,65,6.3,346.4,55,,2.9
101,T95,T86,Brandon Harkins,67,6.3,512.6,82,,3.0
102,T95,T86,J.J. Henry,42,6.3,322.2,51,,3.4
103,T95,T114,Tom Hoge,70,6.3,532.1,85,,3.0
104,T95,T86,Charles Howell III,64,6.3,215.8,34,,5.3
105,T95,T114,Sungjae Im,88,6.3,688.6,110,,3.6
106,T95,T86,Matt Jones,67,6.3,329.8,52,,3.6
107,T95,T86,Michael Kim,51,6.3,183.1,29,,4.5
108,T95,T86,Russell Knox,65,6.3,427.1,68,,1.1
109,T95,T86,Hunter Mahan,45,6.3,214.0,34,,4.8
110,T95,T86,Peter Malnati,64,6.3,561.9,89,,2.5
111,T95,T86,Louis Oosthuizen,43,6.3,100.6,16,,4.2
112,T95,T114,Ryan Palmer,56,6.3,440.1,70,,1.3
113,T95,T86,Chez Reavie,67,6.3,294.9,47,,3.6
114,T95,T86,Justin Rose,42,6.3,227.7,36,,2.3
115,T95,T86,Sam Ryder,52,6.3,341.6,54,,3.8
116,T95,T182,Brady Schnell,38,6.3,181.3,29,,4.5
117,T95,T114,Ollie Schniederjans,63,6.3,363.6,58,,2.3
118,T95,T114,Ben Silverman,54,6.3,562.6,90,,2.2
119,T95,T86,Webb Simpson,53,6.3,379.4,60,,0.6
120,T95,T114,Scott Stallings,63,6.3,427.8,68,,0.5
121,T95,T114,Shawn Stefani,57,6.3,247.6,39,,4.3
122,T95,T86,Chris Stroud,54,6.3,404.0,64,,3.9
123,T95,T140,Josh Teater,47,6.3,331.4,53,,1.2
124,T95,T31,Justin Thomas,49,6.3,260.0,41,,3.3
125,T95,T167,Peter Uihlein,65,6.3,408.9,65,,3.4
126,T95,T51,Harold Varner III,62,6.3,303.0,48,,3.2
127,T95,T86,Jhonattan Vegas,60,6.3,302.7,48,,2.9
128,T95,T86,Nick Watney,67,6.3,385.7,61,,3.0
129,T130,T114,Aaron Baddeley,51,6.2,329.7,53,,2.1
130,T130,T114,Ryan Blaum,67,6.2,420.9,68,,3.0
131,T130,T114,Roberto Castro,54,6.2,392.2,63,,2.9
