,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Justin Harding,31,76.19,128,168,-0.05
1,2,2,Jim Furyk,53,73.51,419,570,-0.17
2,3,3,Chez Reavie,67,72.79,404,555,-0.15
3,4,4,Ryan Moore,54,72.33,434,600,-0.15
4,5,5,Ryan Armour,66,71.11,485,682,-0.12
5,6,10,Henrik Stenson,46,70.7,333,471,-0.19
6,7,7,Troy Merritt,42,70.43,324,460,-0.24
7,8,8,Brian Stuard,76,70.29,537,764,-0.15
8,9,6,Brian Gay,79,70.22,566,806,-0.14
9,10,9,Andrew Landry,56,69.67,418,600,-0.12
10,11,12,Michael Thompson,56,69.06,480,695,-0.16
11,12,11,Matt Kuchar,65,68.79,465,676,-0.23
12,13,15,Matthew Fitzpatrick,42,68.47,278,406,-0.14
13,14,16,Kevin Kisner,65,68.39,409,598,-0.18
14,15,17,Paul Casey,51,68.36,296,433,-0.2
15,16,18,Jim Herman,37,68.27,256,375,-0.1
16,17,13,Kramer Hickok,59,68.19,388,569,-0.13
17,18,T24,Scott Langley,60,67.96,454,668,-0.13
18,19,26,Austin Cook,50,67.63,328,485,-0.1
19,20,T21,Vaughn Taylor,69,67.54,543,804,-0.17
20,21,23,Abraham Ancer,69,67.5,461,683,-0.15
21,22,T24,Bryson DeChambeau,45,67.48,359,532,-0.23
22,23,14,Tyler Duncan,66,67.39,432,641,-0.1
23,24,T21,Webb Simpson,53,67.25,423,629,-0.2
24,25,19,Brice Garnett,63,67.07,385,574,-0.09
25,26,29,Brian Harman,67,66.96,456,681,-0.13
26,27,32,Russell Henley,56,66.95,399,596,-0.14
27,28,31,Kevin Streelman,63,66.85,492,736,-0.17
28,29,30,Scott Piercy,70,66.81,469,702,-0.2
29,T30,28,Fabián Gómez,44,66.67,280,420,-0.14
30,T30,33,Tiger Woods,31,66.67,194,291,-0.24
31,32,34,Francesco Molinari,41,66.49,244,367,-0.13
32,33,T35,Alex Cejka,41,66.31,248,374,0.01
33,34,T35,Russell Knox,65,66.18,450,680,-0.17
34,35,37,Ben Silverman,54,66.1,386,584,-0.09
35,36,27,Keegan Bradley,65,66.08,415,628,-0.14
36,37,38,Joel Dahmen,78,66.07,514,778,-0.15
37,38,20,David Hearn,41,65.96,219,332,-0.09
38,39,43,Corey Conners,62,65.95,397,602,-0.14
39,40,39,Ian Poulter,49,65.87,276,419,-0.18
40,41,40,Rafa Cabrera Bello,57,65.8,329,500,-0.19
41,42,45,Kiradech Aphibarnrat,49,65.65,302,460,-0.18
42,43,48,Emiliano Grillo,65,65.45,375,573,-0.17
43,44,49,Jason Dufner,56,65.38,355,543,-0.15
44,45,47,Adam Hadwin,66,65.37,419,641,-0.19
45,46,44,Roberto Castro,54,65.16,361,554,-0.16
46,47,46,Daniel Berger,48,65.09,371,570,-0.16
47,48,56,Satoshi Kodaira,51,64.68,315,487,-0.04
48,49,53,Scott Brown,66,64.67,432,668,-0.19
49,50,52,Matt Every,38,64.66,225,348,-0.24
50,51,51,Roberto Díaz,51,64.62,294,455,-0.14
51,52,41,Brady Schnell,38,64.56,235,364,-0.12
52,53,42,Wes Roach,45,64.52,260,403,-0.18
53,54,T54,Johnson Wagner,45,64.51,289,448,-0.13
54,55,57,Lucas Glover,62,64.34,471,732,-0.2
55,56,58,Kyoung-Hoon Lee,72,64.22,411,640,-0.13
56,57,59,Kyle Stanley,53,64.04,276,431,-0.16
57,58,50,Kyle Jones,49,63.93,312,488,-0.13
58,59,60,Bronson Burgoon,37,63.86,258,404,-0.12
59,60,61,Pat Perez,52,63.68,256,402,-0.13
60,61,62,Rory Sabbatini,71,63.6,477,750,-0.18
