,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Brian Gay,79,13.99,643.55,46,,17.48
1,2,2,James Hahn,34,13.66,136.55,10,,15.89
2,3,3,Vaughn Taylor,69,12.56,653.01,52,,15.94
3,4,4,Adam Long,52,12.5,550.16,44,,15.76
4,5,8,David Hearn,41,12.42,335.26,27,,15.82
5,6,5,Brian Stuard,76,12.27,539.99,44,,18.12
6,7,10,Danny Lee,66,12.26,870.58,71,,18.28
7,8,21,Alex Cejka,41,12.18,255.77,21,,15.19
8,9,19,Joey Garber,44,12.15,461.61,38,,15.79
9,10,999,Martin Piller,30,12.14,242.75,20,,13.8
10,11,7,John Huh,35,12.13,169.76,14,,14.16
11,12,11,Sam Saunders,53,12.11,520.75,43,,17.43
12,13,9,Brady Schnell,38,12.1,350.88,29,,15.3
13,14,12,Phil Mickelson,41,11.93,143.12,12,,16.14
14,15,13,Harold Varner III,62,11.88,570.17,48,,15.89
15,16,15,Francesco Molinari,41,11.8,413.11,35,,15.94
16,17,16,Bronson Burgoon,37,11.78,247.45,21,,15.36
17,T18,T17,Bryson DeChambeau,45,11.77,329.56,28,,15.32
18,T18,T17,Michael Kim,51,11.77,341.43,29,,16.46
19,T20,T52,Keegan Bradley,65,11.75,340.86,29,,15.05
20,T20,29,Webb Simpson,53,11.75,704.71,60,,15.21
21,22,20,J.J. Spaun,68,11.6,603.33,52,,15.57
22,23,46,D.J. Trahan,33,11.54,461.79,40,,14.31
23,24,23,Jonathan Byrd,43,11.53,587.78,51,,16.12
24,25,T24,Austin Cook,50,11.5,574.84,50,,14.39
25,26,T37,Graeme McDowell,61,11.43,674.5,59,,15.81
26,27,14,Whee Kim,57,11.37,477.74,42,,17.29
27,T28,T24,Ryan Blaum,67,11.32,769.66,68,,15.0
28,T28,42,Brian Harman,67,11.32,430.01,38,,15.74
29,30,41,Danny Willett,47,11.3,361.54,32,,13.9
30,T31,27,Andrew Landry,56,11.25,449.81,40,,16.42
31,T31,T24,Johnson Wagner,45,11.25,382.63,34,,14.98
32,T31,T32,Richy Werenski,63,11.25,933.86,83,,15.2
33,34,28,Beau Hossler,66,11.22,819.03,73,,16.69
34,35,30,Ben Crane,41,11.2,526.5,47,,16.08
35,T36,22,Julián Etulain,55,11.19,458.99,41,,16.15
36,T36,36,Zach Johnson,50,11.19,593.08,53,,13.81
37,38,31,Matt Wallace,31,11.13,133.59,12,,11.92
38,39,T32,Troy Merritt,42,11.11,400.03,36,,14.52
39,40,T44,Cody Gribble,52,11.06,575.29,52,,15.13
40,41,35,Jason Day,45,11.05,265.17,24,,13.37
41,42,T37,Bud Cauley,61,10.99,813.52,74,,14.54
42,43,39,Chez Reavie,67,10.95,514.83,47,,14.75
43,T44,59,Jonas Blixt,66,10.94,984.32,90,,14.77
44,T44,34,Wes Roach,45,10.94,492.47,45,,14.64
45,46,40,Byeong Hun An,54,10.93,491.79,45,,13.94
46,47,T49,Josh Teater,47,10.91,578.23,53,,13.8
47,48,T54,Brandt Snedeker,68,10.87,695.97,64,,14.94
48,49,43,Hunter Mahan,45,10.84,379.55,35,,15.45
49,50,T44,Rickie Fowler,54,10.83,487.17,45,,14.65
50,51,T73,Rory McIlroy,50,10.81,486.3,45,,14.99
51,T52,T47,Billy Horschel,73,10.78,614.63,57,,15.06
52,T52,T47,D.A. Points,33,10.78,150.89,14,,11.84
53,T52,51,Aaron Wise,52,10.78,474.3,44,,14.3
54,T55,57,Stephan Jaeger,59,10.77,581.49,54,,17.99
55,T55,T52,Chase Wright,53,10.77,570.92,53,,14.88
56,T57,T60,Dominic Bozzelli,53,10.75,537.73,50,,14.43
57,T57,71,Kyle Jones,49,10.75,655.46,61,,13.42
58,59,T54,C.T. Pan,64,10.74,483.1,45,,13.05
59,T60,58,Cameron Davis,54,10.73,504.51,47,,15.09
60,T60,56,Sung Kang,67,10.73,429.23,40,,16.19
61,62,T65,Sepp Straka,48,10.69,534.38,50,,14.83
62,63,T49,Corey Conners,62,10.66,725.19,68,,14.13
63,64,109,Jimmy Walker,61,10.64,723.39,68,,16.43
64,65,69,Ryan Palmer,56,10.63,744.01,70,,15.27
65,66,T60,Tiger Woods,31,10.62,138.05,13,,12.17
66,67,78,Brooks Koepka,49,10.6,508.59,48,,14.7
67,T68,T60,Matt Every,38,10.59,317.83,30,,12.9
68,T68,63,Justin Rose,42,10.59,381.37,36,,13.52
69,T70,T65,Anirban Lahiri,54,10.57,539.12,51,,13.74
70,T70,T65,Michael Thompson,56,10.57,623.79,59,,13.41
71,72,T76,Scott Piercy,70,10.55,580.5,55,,13.9
72,73,68,J.J. Henry,42,10.52,536.67,51,,12.73
73,74,85,Kelly Kraft,67,10.51,630.49,60,,14.8
74,75,72,Tyrrell Hatton,46,10.5,356.97,34,,14.85
75,76,T73,Haotong Li,32,10.49,199.31,19,,11.88
76,T77,75,Charley Hoffman,58,10.48,545.18,52,,14.41
77,T77,T90,Alex Prugh,54,10.48,555.69,53,,13.62
78,T77,64,Nick Taylor,70,10.48,817.7,78,,14.4
79,80,999,Tyrone Van Aswegen,30,10.47,356.12,34,,12.95
80,81,T92,Kramer Hickok,59,10.46,575.2,55,,15.59
81,82,T76,Kevin Streelman,63,10.45,627.28,60,,14.66
82,T83,79,Kevin Kisner,65,10.42,479.5,46,,12.23
83,T83,70,Denny McCarthy,63,10.42,667.13,64,,14.38
84,85,80,Ernie Els,43,10.41,312.16,30,,14.81
85,86,T81,Joel Dahmen,78,10.39,685.47,66,,15.01
86,87,T81,Nate Lashley,44,10.37,559.89,54,,13.75
87,88,83,Jason Kokrak,68,10.36,631.88,61,,13.97
88,89,84,Roger Sloan,62,10.34,817.13,79,,13.35
89,90,98,Scott Brown,66,10.33,939.72,91,,14.86
90,91,T87,Chris Stroud,54,10.32,660.26,64,,13.4
91,92,86,Cameron Smith,55,10.3,236.89,23,,11.91
92,93,T87,Jon Rahm,51,10.28,287.9,28,,13.78
93,T94,T90,Tom Hoge,70,10.27,872.65,85,,13.84
94,T94,T96,Matt Kuchar,65,10.27,636.61,62,,14.08
95,96,89,Jordan Spieth,57,10.25,502.04,49,,13.2
