,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Ryan Moore,54,6.5,39,600,-0.08
1,2,2,Scott Piercy,70,6.98,49,702,+0.10
2,3,3,Hideki Matsuyama,59,7.2,43,597,-0.05
3,4,4,Emiliano Grillo,65,7.33,42,573,-0.05
4,5,6,Troy Merritt,42,7.39,34,460,+0.03
5,6,5,Ryan Armour,66,7.48,51,682,+0.04
6,7,7,Abraham Ancer,69,7.91,54,683,-0.04
7,8,8,Chez Reavie,67,8.29,46,555,+0.02
8,9,9,John Huh,35,8.31,31,373,+0.10
9,10,10,Justin Harding,31,8.33,14,168,+0.21
10,11,13,Jim Furyk,53,8.6,49,570,+0.08
11,12,14,Marc Leishman,52,8.76,43,491,-0.09
12,13,17,Satoshi Kodaira,51,9.03,44,487,+0.18
13,T14,16,Adam Hadwin,66,9.05,58,641,+0.09
14,T14,12,J.J. Spaun,68,9.05,58,641,+0.02
15,16,11,Daniel Berger,48,9.12,52,570,+0.13
16,17,15,Kramer Hickok,59,9.49,54,569,+0.22
17,18,23,Bill Haas,58,9.51,60,631,-0.05
18,19,20,Lucas Glover,62,9.56,70,732,+0.04
19,20,21,Joel Dahmen,78,9.64,75,778,-0.03
20,21,24,Kiradech Aphibarnrat,49,9.78,45,460,+0.22
21,T22,25,Rafa Cabrera Bello,57,9.8,49,500,+0.14
22,T22,22,Corey Conners,62,9.8,59,602,-0.10
23,24,26,Denny McCarthy,63,9.86,64,649,+0.09
24,25,27,Rory Sabbatini,71,9.87,74,750,-0.03
25,T26,T28,Branden Grace,62,9.94,48,483,+0.15
26,T26,T28,Andrew Putnam,57,9.94,50,503,+0.06
27,28,35,Nate Lashley,44,9.98,43,431,-0.09
28,29,31,Andrew Landry,56,10.0,60,600,+0.20
29,30,34,Brady Schnell,38,10.16,37,364,+0.16
30,31,36,Martin Kaymer,38,10.19,48,471,+0.13
31,32,19,David Hearn,41,10.24,34,332,+0.06
32,33,37,D.A. Points,33,10.27,27,263,+0.04
33,34,18,Brian Gay,79,10.3,83,806,+0.17
34,35,32,Brice Garnett,63,10.45,60,574,+0.20
35,36,39,Sam Ryder,52,10.47,58,554,+0.07
36,37,41,J.T. Poston,76,10.56,94,890,+0.02
37,T38,T52,Jim Herman,37,10.67,40,375,+0.18
38,T38,T43,Freddie Jacobson,37,10.67,35,328,+0.17
39,T38,T43,Kyle Stanley,53,10.67,46,431,+0.33
40,41,45,Ian Poulter,49,10.74,45,419,-0.09
41,42,T52,Scott Langley,60,10.78,72,668,+0.22
42,43,33,Alex Noren,49,10.84,49,452,+0.20
43,44,50,Francesco Molinari,41,10.9,40,367,+0.18
44,45,51,Charles Howell III,64,10.93,66,604,+0.05
45,46,40,Tom Hoge,70,10.96,73,666,+0.14
46,47,55,Kevin Streelman,63,11.01,81,736,+0.05
47,48,56,Si Woo Kim,65,11.03,60,544,-0.05
48,49,57,Kevin Kisner,65,11.04,66,598,+0.09
49,50,T58,Matthew Fitzpatrick,42,11.08,45,406,+0.04
50,51,60,Brian Stuard,76,11.13,85,764,+0.07
51,52,T61,Ernie Els,43,11.14,40,359,+0.05
52,53,65,Pat Perez,52,11.19,45,402,+0.13
53,54,46,Roberto Díaz,51,11.21,51,455,E
54,T55,42,Sam Saunders,53,11.22,71,633,+0.04
55,T55,66,Michael Thompson,56,11.22,78,695,+0.09
56,57,T61,Joaquin Niemann,68,11.25,81,720,-0.10
57,58,49,Kyle Jones,49,11.27,55,488,+0.22
58,59,T72,Webb Simpson,53,11.29,71,629,+0.15
59,60,T70,Tyrrell Hatton,46,11.33,47,415,+0.17
60,61,76,Bronson Burgoon,37,11.39,46,404,+0.15
61,62,77,Jason Dufner,56,11.42,62,543,+0.15
62,63,T70,Henrik Stenson,46,11.46,54,471,+0.15
63,64,68,Scott Brown,66,11.53,77,668,+0.08
64,65,69,Matt Kuchar,65,11.54,78,676,+0.01
65,T66,T78,Russell Henley,56,11.58,69,596,+0.04
66,T66,47,Chris Stroud,54,11.58,63,544,-0.02
