,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,2,Patrick Cantlay,49,-.152
1,2,3,Cameron Davis,54,-.144
2,3,1,Josh Teater,47,-.137
3,4,4,Brooks Koepka,49,-.118
4,5,7,Adam Scott,41,-.109
5,6,5,Ryan Palmer,56,-.106
6,T7,T14,Corey Conners,62,-.102
7,T7,8,Chris Thompson,34,-.102
8,9,21,Joaquin Niemann,68,-.099
9,10,11,Max Homa,61,-.095
10,T11,10,Nate Lashley,44,-.093
11,T11,12,Marc Leishman,52,-.093
12,13,13,Matt Jones,67,-.092
13,14,T14,Ian Poulter,49,-.089
14,15,6,Dylan Frittelli,55,-.088
15,16,17,Jhonattan Vegas,60,-.079
16,T17,18,Ryan Moore,54,-.077
17,T17,16,José de Jesús Rodríguez,51,-.077
18,19,9,Wyndham Clark,61,-.071
19,20,20,Dustin Johnson,47,-.061
20,21,999,Shane Lowry,30,-.059
21,22,39,J.B. Holmes,54,-.057
22,23,19,Dominic Bozzelli,53,-.054
23,24,22,Tony Finau,61,-.053
24,T25,23,Bill Haas,58,-.050
25,T25,24,Si Woo Kim,65,-.050
26,27,26,Emiliano Grillo,65,-.048
27,28,27,Hideki Matsuyama,59,-.047
28,29,T30,Tommy Fleetwood,43,-.044
29,30,34,Charl Schwartzel,34,-.042
30,31,25,Justin Thomas,49,-.041
31,T32,T28,Roger Sloan,62,-.039
32,T32,T48,Danny Willett,47,-.039
33,T34,37,Abraham Ancer,69,-.037
34,T34,T32,Harris English,72,-.037
35,36,T30,Jimmy Walker,61,-.031
36,37,T32,Ollie Schniederjans,63,-.029
37,38,40,Xander Schauffele,55,-.028
38,T39,T41,Joel Dahmen,78,-.027
39,T39,T41,Rory Sabbatini,71,-.027
40,T39,T28,Aaron Wise,52,-.027
41,42,43,Matt Wallace,31,-.026
42,43,47,Cameron Tringale,52,-.025
43,T44,T48,Jonathan Byrd,43,-.016
44,T44,T45,Rory McIlroy,50,-.016
45,T44,38,Chris Stroud,54,-.016
46,T47,T48,Aaron Baddeley,51,E
47,T47,44,Roberto Díaz,51,E
48,T47,T48,Jason Day,45,E
49,T47,T48,Russell Knox,65,E
50,T47,T48,Peter Malnati,64,E
51,T47,T48,Alex Prugh,54,E
52,T47,T48,Adam Svensson,51,E
53,T47,T59,Chase Wright,53,E
54,55,T56,Matt Kuchar,65,+.013
55,56,T56,Rickie Fowler,54,+.014
56,57,T59,Grayson Murray,36,+.016
57,58,35,J.J. Spaun,68,+.017
58,59,61,Justin Rose,42,+.020
59,60,62,J.T. Poston,76,+.021
60,T61,T63,Sung Kang,67,+.022
61,T61,T63,Chez Reavie,67,+.022
62,T61,T63,Patrick Rodgers,44,+.022
63,64,66,Bud Cauley,61,+.024
64,T65,T45,Roberto Castro,54,+.029
65,T65,T67,Bryson DeChambeau,45,+.029
66,T65,T67,Troy Merritt,42,+.029
67,68,T76,Trey Mullinax,67,+.033
68,69,T108,Brandt Snedeker,68,+.034
69,70,T69,Cameron Champ,58,+.035
