,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,Hideki Matsuyama,15,29.0,61,210,+0.98
1,2,2,Marc Leishman,14,30.6,59,193,+1.02
2,3,3,John Huh,13,31.2,44,141,+4.09
3,4,7,Scott Piercy,19,32.9,75,228,+1.33
4,5,4,J.J. Spaun,20,33.1,80,242,+0.50
5,6,6,Abraham Ancer,20,33.3,69,207,+0.87
6,7,8,Branden Grace,18,34.2,67,196,+1.49
7,8,5,Daniel Berger,14,34.4,66,192,+1.82
8,9,10,Bill Haas,18,35.0,82,234,+0.61
9,10,T11,David Hearn,14,35.1,39,111,+1.03
10,11,9,Emiliano Grillo,17,35.3,67,190,+0.75
11,12,T13,Joaquin Niemann,20,36.0,105,292,+0.10
12,13,T13,Andrew Putnam,17,36.3,74,204,+2.03
13,14,15,Sam Saunders,18,37.3,98,263,+1.94
14,15,16,Satoshi Kodaira,16,37.4,61,163,+3.11
15,16,17,Ryan Moore,16,37.5,60,160,+1.00
16,17,18,Charles Howell III,19,37.7,84,223,+1.90
17,18,33,Kevin Tway,19,38.0,108,284,+1.39
18,19,19,Kramer Hickok,19,38.1,67,176,+2.39
19,20,20,Josh Teater,17,38.4,68,177,+0.29
20,21,T21,Corey Conners,20,38.7,75,194,+0.67
21,22,T21,Troy Merritt,12,38.8,52,134,+2.12
22,T23,23,Max Homa,19,39.0,113,290,+0.18
23,T23,T11,Sepp Straka,16,39.0,73,187,+1.92
24,25,24,Sam Ryder,16,39.3,79,201,+1.90
25,T26,T25,Sam Burns,22,39.4,124,315,+2.10
26,T26,T25,Rory Sabbatini,19,39.4,104,264,+0.77
27,28,T30,Denny McCarthy,20,39.5,92,233,+1.41
28,29,T27,Beau Hossler,20,39.6,118,298,+1.86
29,30,29,John Senden,13,39.7,48,121,+2.92
30,T31,T30,Rafa Cabrera Bello,15,39.9,65,163,+2.46
31,T31,T40,Kyle Jones,19,39.9,69,173,+2.75
32,33,T27,Tom Hoge,24,40.3,108,268,+2.31
33,T34,T34,Ernie Els,14,40.4,61,151,+1.64
34,T34,T34,Charl Schwartzel,13,40.4,46,114,+0.65
35,T36,38,Tommy Fleetwood,11,40.5,51,126,+2.75
36,T36,48,Adam Hadwin,18,40.5,87,215,+2.18
37,38,T49,Brady Schnell,14,40.6,52,128,+2.88
38,39,39,Byeong Hun An,15,40.7,90,221,+1.89
39,T40,32,Wyndham Clark,20,40.8,119,292,+0.92
40,T40,T34,Seth Reeves,18,40.8,87,213,+2.64
41,42,T40,Rory McIlroy,13,41.0,71,173,+0.42
42,T43,T42,James Hahn,10,41.2,40,97,+1.75
43,T43,T42,Kevin Na,15,41.2,68,165,+1.91
44,T43,T42,J.T. Poston,22,41.2,141,342,+1.06
45,T46,45,Ryan Armour,21,41.5,80,193,+1.75
46,T46,46,Freddie Jacobson,14,41.5,59,142,+2.54
47,48,T49,Scott Stallings,20,41.9,122,291,+2.38
48,49,T52,Roger Sloan,20,42.0,116,276,+1.98
49,50,T49,Hunter Mahan,15,42.1,69,164,+1.45
50,T51,T52,Kiradech Aphibarnrat,15,42.2,65,154,+2.77
51,T51,T52,Tony Finau,17,42.2,103,244,+0.87
52,T51,T52,Kyle Stanley,18,42.2,62,147,+2.58
53,54,T52,Chris Stroud,19,42.6,101,237,+0.99
54,55,T57,Joel Dahmen,22,42.9,109,254,+1.56
55,56,47,Dylan Frittelli,16,43.0,101,235,+0.30
56,T57,T60,Charley Hoffman,18,43.1,87,202,+1.49
57,T57,T60,Martin Kaymer,11,43.1,78,181,+2.31
58,T57,63,Alex Noren,14,43.1,75,174,+1.87
59,T57,T60,Pat Perez,16,43.1,62,144,+1.61
60,61,65,Adam Schenk,24,43.2,142,329,+1.69
61,62,64,Patrick Cantlay,14,43.5,80,184,-0.38
62,63,T66,Roberto Díaz,16,43.7,69,158,+0.72
63,T64,T57,Nick Taylor,20,43.9,143,326,+1.05
64,T64,T57,Johnson Wagner,14,43.9,69,157,+0.87
65,66,T66,Talor Gooch,12,44.0,74,168,+2.30
66,67,T77,Chris Thompson,12,44.1,63,143,E
67,T68,T77,Sangmoon Bae,16,44.2,61,138,+1.48
68,T68,T66,Lucas Glover,17,44.2,110,249,+1.00
69,T68,T66,Russell Knox,18,44.2,100,226,+0.30
70,71,T71,Scott Brown,21,44.3,102,230,+1.37
71,72,T75,John Chin,14,44.4,59,133,+2.71
72,73,73,Andrew Landry,18,44.6,79,177,+2.03
73,74,T71,Brooks Koepka,13,44.7,68,152,+0.15
74,T75,T94,Dominic Bozzelli,17,44.9,84,187,+1.90
75,T75,T88,Sergio Garcia,11,44.9,71,158,+1.55
76,T75,74,Ian Poulter,13,44.9,61,136,-0.49
77,78,T75,Tyrrell Hatton,13,45.0,67,149,+2.24
78,T79,T134,Wes Roach,14,45.2,61,135,+1.80
79,T79,T123,D.J. Trahan,11,45.2,52,115,+1.54
80,T81,T125,Jim Furyk,16,45.3,68,150,+1.62
81,T81,T82,Brandon Harkins,21,45.3,130,287,+1.85
82,T81,T100,Webb Simpson,14,45.3,87,192,+1.72
83,T81,79,Matt Wallace,9,45.3,58,128,+0.52
84,85,T80,Michael Kim,21,45.4,103,227,+2.43
85,86,116,Harold Varner III,20,45.5,131,288,+2.29
86,T87,T88,Brice Garnett,21,45.6,82,180,+1.83
87,T87,T80,Sebastián Muñoz,18,45.6,99,217,+2.02
88,T87,T85,Jimmy Walker,17,45.6,128,281,+1.09
89,90,T85,Curtis Luck,17,45.8,92,201,+1.52
90,91,84,D.A. Points,13,45.9,51,111,+2.94
91,T92,T94,Shawn Stefani,19,46.0,97,211,+2.27
92,T92,T66,Justin Thomas,13,46.0,86,187,+0.35
93,94,T108,Fabián Gómez,14,46.3,62,134,+2.74
94,T95,T90,Bryson DeChambeau,13,46.4,78,168,+1.15
95,T95,T90,Anirban Lahiri,17,46.4,102,220,+1.96
96,T95,T108,Martin Laird,18,46.4,124,267,+2.66
97,T95,T82,Ben Silverman,17,46.4,91,196,+0.77
98,99,T90,Ryan Palmer,16,46.5,94,202,+0.85
99,T100,T94,Harris English,21,46.6,149,320,+0.34
100,T100,T94,Si Woo Kim,20,46.6,96,206,+1.77
101,102,98,Chez Reavie,19,46.9,68,145,+0.74
102,T103,T100,Lucas Bjerregaard,10,47.0,55,117,+2.18
103,T103,87,Nick Watney,20,47.0,131,279,+1.98
104,105,T134,Rod Pampling,16,47.1,65,138,+5.08
105,106,130,Alex Prugh,18,47.2,93,197,+0.86
106,T107,115,José de Jesús Rodríguez,17,47.3,96,203,+0.73
107,T107,107,Justin Rose,11,47.3,80,169,+0.75
108,109,T104,Whee Kim,21,47.5,85,179,+3.18
109,110,T110,Mackenzie Hughes,19,47.6,129,271,+1.47
110,111,151,Nate Lashley,13,47.7,74,155,+0.41
111,T112,T110,Stewart Cink,12,47.8,66,138,+1.06
112,T112,127,Scott Langley,20,47.8,100,209,+3.70
113,T112,T121,Hudson Swafford,20,47.8,131,274,+1.83
114,T115,T112,Bronson Burgoon,14,47.9,68,142,+3.68
115,T115,T100,Brandt Snedeker,18,47.9,123,257,+0.81
116,T115,T112,Jhonattan Vegas,18,47.9,125,261,-0.08
117,T118,117,Grayson Murray,14,48.2,82,170,+1.83
