,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Justin Thomas,49,457,World Golf Championships-Mexico Championship,3,10,240
1,2,2,Patrick Rodgers,44,428,Safeway Open,4,13,552
2,T3,T3,Maverick McNealy,6,424,Safeway Open,4,13,552
3,T3,T3,Wyndham Clark,61,424,Safeway Open,4,13,552
4,5,5,Alexander Björk,10,423,World Golf Championships-Mexico Championship,3,10,240
5,6,6,Jon Rahm,51,421,Sentry Tournament of Champions,2,17,656
6,7,7,Alex Noren,49,418,World Golf Championships-Mexico Championship,1,10,240
7,T8,T8,Mackenzie Hughes,58,415,Safeway Open,4,13,552
8,T8,T8,Tyler McCumber,4,415,Safeway Open,4,13,552
9,10,10,Max Homa,61,413,Safeway Open,4,13,552
10,T11,T11,Tom Lewis,9,412,World Golf Championships-Mexico Championship,1,12,240
11,T11,T11,Brooks Koepka,49,412,World Golf Championships-Mexico Championship,2,10,240
12,T13,T13,Paul Casey,51,411,World Golf Championships-Mexico Championship,3,4,240
13,T13,T13,Dylan Frittelli,55,411,Safeway Open,4,13,552
14,T13,T13,Tommy Fleetwood,43,411,World Golf Championships-Mexico Championship,3,10,240
15,16,16,Rory McIlroy,50,410,World Golf Championships-Mexico Championship,4,11,240
16,T17,T17,J.B. Holmes,54,409,Safeway Open,4,13,552
17,T17,T17,Gary Woodland,63,409,Sentry Tournament of Champions,2,17,656
18,T17,1,Justin Thomas,49,409,World Golf Championships-Mexico Championship,1,12,240
19,T17,T17,Cameron Champ,58,409,Sentry Tournament of Champions,2,12,656
20,21,7,Alex Noren,49,408,World Golf Championships-Mexico Championship,1,12,240
21,T22,T20,Webb Simpson,53,406,Sentry Tournament of Champions,2,17,656
22,T22,T20,Seth Reeves,52,406,Safeway Open,4,13,552
23,T22,T20,Aaron Wise,52,406,Sentry Tournament of Champions,4,6,656
24,T25,T23,Thorbjørn Olesen,27,405,World Golf Championships-Mexico Championship,2,11,240
25,T25,T23,Xander Schauffele,55,405,Sentry Tournament of Champions,3,17,656
26,T27,T25,Marc Leishman,52,404,Sentry Tournament of Champions,3,17,656
