,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,David Hearn,41,1.2,4,332,+0.50
1,2,2,Tiger Woods,31,1.37,4,291,+0.25
2,3,3,Paul Casey,51,1.85,8,433,+0.88
3,4,4,Russell Knox,65,1.91,13,680,+0.31
4,T5,5,Abraham Ancer,69,2.05,14,683,E
5,T5,8,Kyle Jones,49,2.05,10,488,+1.00
6,T7,7,Talor Gooch,37,2.11,9,426,+0.22
7,T7,6,John Senden,39,2.11,7,331,E
8,9,9,Ian Poulter,49,2.39,10,419,+0.70
9,10,14,Jim Furyk,53,2.46,14,570,+0.57
10,11,12,Wes Roach,45,2.48,10,403,+0.50
11,12,13,Adam Svensson,51,2.54,13,512,+0.08
12,13,10,Scott Brown,66,2.69,18,668,+0.61
13,T14,15,Ryan Blaum,67,2.86,21,734,+0.14
14,T14,11,Fabián Gómez,44,2.86,12,420,E
15,T16,T16,Chez Reavie,67,2.88,16,555,+0.19
16,T16,T16,Brian Stuard,76,2.88,22,764,+0.32
17,18,20,J.J. Henry,42,2.92,11,377,+0.64
18,T19,21,Alex Cejka,41,2.94,11,374,+0.27
19,T19,19,Ben Crane,41,2.94,11,374,+0.64
20,21,39,Chris Thompson,34,2.95,9,305,+0.67
21,22,18,Anirban Lahiri,54,3.09,17,550,+0.65
22,23,22,Tyler Duncan,66,3.12,20,641,+0.60
23,T24,28,Roberto Castro,54,3.25,18,554,+0.56
24,T24,29,Nate Lashley,44,3.25,14,431,+0.36
25,26,T43,Dominic Bozzelli,53,3.3,15,455,+0.60
26,T27,T30,Brice Garnett,63,3.31,19,574,+0.21
27,T27,T23,Charles Howell III,64,3.31,20,604,+0.55
28,T27,T23,Michael Thompson,56,3.31,23,695,+0.61
29,30,T25,Kramer Hickok,59,3.34,19,569,+0.42
30,31,T25,Johnson Wagner,45,3.35,15,448,+0.20
31,32,27,Matt Jones,67,3.37,21,624,+0.10
32,T33,T37,Adam Schenk,80,3.48,29,833,+0.38
33,T33,T30,Kyle Stanley,53,3.48,15,431,+0.33
34,T35,T32,Emiliano Grillo,65,3.49,20,573,+0.20
35,T35,T32,Hunter Mahan,45,3.49,16,458,+0.63
36,37,34,Kevin Kisner,65,3.51,21,598,+0.52
37,38,T49,Brian Harman,67,3.52,24,681,+0.38
38,39,35,Brady Schnell,38,3.57,13,364,+0.69
39,40,36,Jonas Blixt,66,3.59,26,724,+0.54
40,T41,56,Joey Garber,44,3.6,13,361,+0.38
41,T41,T43,Brian Gay,79,3.6,29,806,+0.41
42,T41,T37,Max Homa,61,3.6,24,667,+0.58
43,44,60,Robert Streb,60,3.61,22,610,+0.68
44,45,52,Cameron Tringale,52,3.63,17,468,+0.35
45,46,T49,Corey Conners,62,3.65,22,602,+0.50
46,T47,40,Matthew Fitzpatrick,42,3.69,15,406,+0.27
47,T47,41,Russell Henley,56,3.69,22,596,+0.45
48,49,51,Matt Kuchar,65,3.7,25,676,+0.40
49,50,42,Patrick Reed,53,3.71,19,512,+0.21
50,51,T53,Kelly Kraft,67,3.72,24,645,+0.63
51,52,T43,Vaughn Taylor,69,3.73,30,804,+0.57
52,T53,46,Kyoung-Hoon Lee,72,3.75,24,640,+0.46
53,T53,47,Joaquin Niemann,68,3.75,27,720,+0.37
54,T55,48,James Hahn,34,3.8,9,237,+0.22
55,T55,999,Martin Piller,30,3.8,9,237,+0.78
56,57,79,Zach Johnson,50,3.87,22,568,+0.27
57,T58,74,Scott Langley,60,3.89,26,668,+0.77
58,T58,T53,Adam Scott,41,3.89,13,334,+0.54
59,60,76,Adam Hadwin,66,3.9,25,641,+0.76
60,61,55,Kiradech Aphibarnrat,49,3.91,18,460,+0.56
61,62,T57,Sungjae Im,88,3.92,37,945,+0.54
62,63,T81,Ben Silverman,54,3.94,23,584,+0.39
63,64,59,Justin Rose,42,3.96,16,404,+0.50
64,65,73,Webb Simpson,53,3.97,25,629,+0.24
65,66,T77,Justin Thomas,49,3.99,19,476,+0.32
66,67,62,Ryan Moore,54,4.0,24,600,+0.38
67,68,64,Hideki Matsuyama,59,4.02,24,597,+0.54
68,69,65,Jason Dufner,56,4.05,22,543,+0.73
69,70,T68,Rory McIlroy,50,4.06,21,517,-0.05
70,71,T57,Carlos Ortiz,60,4.07,27,663,+0.37
71,72,66,Francesco Molinari,41,4.09,15,367,+0.47
72,73,67,Tyrrell Hatton,46,4.1,17,415,+0.41
73,74,70,Ryan Armour,66,4.11,28,682,+0.68
74,75,T68,Billy Horschel,73,4.12,26,631,+0.27
75,76,63,Scott Piercy,70,4.13,29,702,+0.24
76,T77,T83,Keegan Bradley,65,4.14,26,628,+0.58
77,T77,71,Bryson DeChambeau,45,4.14,22,532,+0.68
78,79,72,Gary Woodland,63,4.16,25,601,+0.44
79,80,102,Henrik Stenson,46,4.25,20,471,+0.20
80,81,T77,C.T. Pan,64,4.29,25,583,+0.48
81,82,T95,Sebastián Muñoz,58,4.32,24,555,+0.25
82,83,80,Andrew Landry,56,4.33,26,600,+0.31
83,84,T81,Jon Rahm,51,4.35,20,460,+0.40
84,85,T83,Sung Kang,67,4.37,32,733,+0.31
85,T86,T85,Rafa Cabrera Bello,57,4.4,22,500,+0.36
86,T86,T85,Rory Sabbatini,71,4.4,33,750,+0.18
87,T88,101,Josh Teater,47,4.41,19,431,+0.37
88,T88,87,Jhonattan Vegas,60,4.41,29,657,+0.14
89,T90,75,Sangmoon Bae,42,4.44,16,360,+0.31
90,T90,88,Tommy Fleetwood,43,4.44,16,360,+0.06
91,T90,97,Bill Haas,58,4.44,28,631,+0.39
92,T90,100,Hank Lebioda,55,4.44,24,540,+0.50
93,94,89,Bronson Burgoon,37,4.46,18,404,+0.78
94,95,90,Pat Perez,52,4.48,18,402,+0.72
95,96,92,Aaron Wise,52,4.5,24,533,+0.58
96,97,91,Louis Oosthuizen,43,4.52,15,332,+0.53
97,98,T95,Jim Herman,37,4.53,17,375,+0.88
98,99,113,Rod Pampling,40,4.55,17,374,+0.35
99,T100,93,John Huh,35,4.56,17,373,+0.41
100,T100,999,Tyrone Van Aswegen,30,4.56,12,263,+0.67
101,102,94,Patrick Cantlay,49,4.57,21,460,+0.14
102,103,112,Matt Every,38,4.6,16,348,+0.31
103,104,T115,John Chin,38,4.61,14,304,+0.79
104,105,107,Roberto Díaz,51,4.62,21,455,+0.57
105,106,T115,Jim Knous,55,4.71,24,510,+0.71
