,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Cameron Champ,58,66.65,205333.0,308088
1,2,2,Bubba Watson,47,66.56,153736.0,230968
2,3,3,Rory McIlroy,50,66.01,159133.8,241086
3,4,6,Dustin Johnson,47,65.96,142875.7,216605
4,5,4,Trey Mullinax,67,65.76,221191.2,336375
5,6,5,Brooks Koepka,49,65.66,126784.4,193082
6,T7,7,Seth Reeves,52,65.25,148877.9,228160
7,T7,10,Martin Trainer,51,65.25,166279.2,254846
8,9,13,J.B. Holmes,54,65.12,117562.3,180542
9,10,8,Patrick Cantlay,49,65.05,137840.7,211886
10,11,14,Justin Thomas,49,65.04,141978.0,218295
11,12,9,Phil Mickelson,41,65.02,125840.1,193543
12,13,15,Aaron Wise,52,64.97,160581.0,247171
13,14,11,Tony Finau,61,64.93,172294.3,265341
14,15,12,Luke List,52,64.92,180009.1,277273
15,16,16,Kevin Tway,62,64.86,187061.0,288424
16,17,17,Jon Rahm,51,64.65,138269.3,213884
17,18,T18,Ollie Schniederjans,63,64.61,193791.9,299927
18,19,T18,Gary Woodland,63,64.58,180332.4,279251
19,20,20,Grayson Murray,36,64.42,107277.9,166534
20,21,21,Keith Mitchell,64,64.41,170225.8,264304
21,T22,29,Ryan Palmer,56,64.4,159771.3,248105
22,T22,31,D.J. Trahan,33,64.4,76700.1,119099
23,24,22,Byeong Hun An,54,64.37,162011.7,251697
24,25,26,Wyndham Clark,61,64.28,191121.7,297306
25,26,30,Alex Prugh,54,64.25,146845.7,228567
26,27,23,Jason Day,45,64.22,105205.1,163829
27,28,25,Cameron Davis,54,64.2,151288.7,235647
28,29,24,Xander Schauffele,55,64.17,146447.8,228224
29,30,27,Jhonattan Vegas,60,64.07,193742.1,302385
30,31,32,Brandon Harkins,67,64.03,199256.9,311171
31,32,28,Sam Burns,66,64.02,220717.7,344740
32,33,38,Lucas Bjerregaard,37,63.99,90273.8,141065
33,34,T35,Peter Uihlein,65,63.94,173891.6,271942
34,35,33,Bryson DeChambeau,45,63.77,156433.3,245304
35,36,34,Tommy Fleetwood,43,63.76,106416.9,166900
36,37,40,Joaquin Niemann,68,63.74,211364.3,331624
37,38,49,Alex Noren,49,63.7,134745.3,211540
38,39,T35,Patrick Rodgers,44,63.65,153612.6,241339
39,40,42,Danny Lee,66,63.61,222312.0,349510
40,41,48,Jim Knous,55,63.6,149964.6,235785
41,T42,41,Harold Varner III,62,63.56,210252.2,330793
42,T42,37,Matt Wallace,31,63.56,89983.0,141576
43,44,999,Shane Lowry,30,63.55,84615.7,133147
44,45,39,Charles Howell III,64,63.45,176948.9,278862
45,46,47,Corey Conners,62,63.32,173193.1,273514
46,47,T54,Matt Every,38,63.27,100106.0,158218
47,48,43,Rickie Fowler,54,63.19,184650.1,292214
48,T49,T63,Sergio Garcia,39,63.18,112851.5,178610
49,T49,72,Sepp Straka,48,63.18,128125.2,202807
50,T51,T44,James Hahn,34,63.16,68597.5,108607
51,T51,T44,Haotong Li,32,63.16,82371.2,130417
52,53,53,Carlos Ortiz,60,63.13,193661.2,306757
53,54,46,Brendan Steele,50,63.12,150505.2,238457
54,55,68,Cody Gribble,52,63.11,159806.4,253234
55,56,T54,Nick Watney,67,63.1,196988.2,312193
56,57,62,Jimmy Walker,61,63.06,186161.8,295215
57,T58,69,Dominic Bozzelli,53,63.05,131149.1,207993
58,T58,59,Sam Saunders,53,63.05,183942.6,291755
59,60,50,Branden Grace,62,63.04,141089.1,223799
60,61,61,Chase Wright,53,62.99,156069.7,247767
61,T62,51,Beau Hossler,66,62.98,207253.0,329074
62,T62,87,Josh Teater,47,62.98,123519.8,196137
63,64,52,Patrick Reed,53,62.93,151325.9,240454
64,65,65,Sungjae Im,88,62.92,272926.9,433752
65,T66,T56,Jason Kokrak,68,62.89,214747.4,341463
66,T66,T56,Marc Leishman,52,62.89,143150.2,227604
67,68,58,Paul Casey,51,62.88,125965.4,200312
68,69,60,Max Homa,61,62.85,193209.6,307398
69,70,T78,Sebastián Muñoz,58,62.83,159893.1,254498
70,71,T88,Roger Sloan,62,62.79,189979.9,302569
71,T72,T85,Daniel Berger,48,62.76,164316.4,261811
72,T72,T78,Dylan Frittelli,55,62.76,175775.2,280057
73,74,T80,Harris English,72,62.73,230655.3,367720
74,75,T63,Ian Poulter,49,62.72,120997.9,192923
75,T76,91,Keegan Bradley,65,62.7,182680.8,291368
76,T76,74,Seamus Power,58,62.7,175679.1,280189
77,78,66,Francesco Molinari,41,62.67,105657.6,168598
78,T79,111,Sangmoon Bae,42,62.66,103075.5,164500
79,T79,67,Troy Merritt,42,62.66,132420.4,211316
80,T81,T70,Stewart Cink,33,62.62,83648.9,133589
81,T81,T70,Jordan Spieth,57,62.62,181117.1,289239
82,T81,82,Hudson Swafford,59,62.62,186371.4,297620
83,84,T96,Wes Roach,45,62.6,115132.1,183930
84,85,73,Chesson Hadley,58,62.59,167761.9,268013
