,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,Bubba Watson,47,70.41,117007.0,166174
1,2,5,Dustin Johnson,47,70.01,109415.2,156291
2,3,2,Cameron Champ,58,69.77,156721.1,224627
3,4,3,Trey Mullinax,67,69.64,170914.4,245428
4,5,6,Rory McIlroy,50,69.62,121131.4,173984
5,6,4,Martin Trainer,51,69.58,124971.2,179615
6,7,8,J.B. Holmes,54,69.25,88263.7,127457
7,8,10,Brooks Koepka,49,69.23,99579.0,143834
8,9,7,Patrick Cantlay,49,69.19,104835.1,151512
9,10,9,Phil Mickelson,41,69.11,95138.2,137658
10,11,11,Jon Rahm,51,69.05,103864.3,150428
11,12,12,Seth Reeves,52,68.96,113073.4,163969
12,13,13,Tony Finau,61,68.89,132048.7,191684
13,14,15,Aaron Wise,52,68.79,122891.5,178639
14,15,14,D.J. Trahan,33,68.59,57981.9,84538
15,16,19,Justin Thomas,49,68.4,111410.2,162874
16,T17,T16,Jason Day,45,68.34,78393.9,114707
17,T17,T16,Luke List,52,68.34,136142.9,199213
18,19,18,Kevin Tway,62,68.33,144737.0,211815
19,20,21,Alex Prugh,54,68.24,111918.4,164002
20,21,20,Grayson Murray,36,68.17,79886.6,117192
21,22,22,Ollie Schniederjans,63,67.96,147662.8,217266
22,23,23,Gary Woodland,63,67.95,138403.0,203675
23,T24,24,Byeong Hun An,54,67.93,123949.7,182464
24,T24,27,Wyndham Clark,61,67.93,144556.7,212798
25,26,25,Cameron Davis,54,67.89,114190.4,168198
26,T27,T32,Ryan Palmer,56,67.8,125591.8,185237
27,T27,26,Xander Schauffele,55,67.8,112192.6,165469
28,29,28,Brandon Harkins,67,67.73,151666.2,223920
29,30,T29,Peter Uihlein,65,67.72,134203.2,198181
30,31,T29,Haotong Li,32,67.56,62096.8,91914
31,32,40,Jim Knous,55,67.54,115097.0,170408
32,33,31,Jhonattan Vegas,60,67.53,145796.1,215894
33,34,T32,Keith Mitchell,64,67.47,131416.0,194769
34,35,38,Joaquin Niemann,68,67.45,163109.8,241811
35,36,34,Sam Burns,66,67.44,167875.5,248933
36,37,39,Corey Conners,62,67.32,133881.6,198862
37,38,35,Tommy Fleetwood,43,67.31,80968.9,120296
38,T39,T36,Bryson DeChambeau,45,67.22,119422.3,177660
39,T39,T36,James Hahn,34,67.22,52028.8,77397
40,41,53,Lucas Bjerregaard,37,67.21,71180.2,105910
41,42,45,Danny Lee,66,67.17,173167.1,257805
42,43,T48,Matt Every,38,67.16,77755.5,115776
43,44,42,Harold Varner III,62,67.11,160328.6,238900
44,45,41,Patrick Rodgers,44,67.09,115712.7,172475
45,46,43,Brendan Steele,50,67.06,110917.6,165396
46,47,44,Charles Howell III,64,67.05,135772.0,202488
47,T48,T56,Sepp Straka,48,67.01,96553.4,144080
48,T48,63,Josh Teater,47,67.01,95080.2,141893
49,50,69,Alex Noren,49,67.0,105838.2,157956
50,51,46,Beau Hossler,66,66.99,157791.7,235559
51,52,T48,Sam Saunders,53,66.98,139256.4,207893
52,53,T58,Cody Gribble,52,66.92,123032.4,183845
53,54,47,Branden Grace,62,66.87,108259.7,161898
54,55,50,Matt Wallace,31,66.81,70002.7,104785
55,56,T56,Carlos Ortiz,60,66.8,147324.9,220541
56,T57,54,Sungjae Im,88,66.79,209406.3,313527
57,T57,51,Patrick Reed,53,66.79,114171.6,170950
58,59,73,Sergio Garcia,39,66.77,87615.0,131222
59,60,999,Shane Lowry,30,66.74,66621.1,99819
60,61,62,Dylan Frittelli,55,66.71,134213.2,201193
61,62,52,Rickie Fowler,54,66.7,140796.6,211076
62,63,74,Chris Thompson,34,66.69,67263.4,100860
63,64,55,Si Woo Kim,65,66.63,118239.1,177453
64,65,T58,Jordan Spieth,57,66.58,140058.5,210363
65,66,60,Francesco Molinari,41,66.57,81549.6,122508
66,67,61,Paul Casey,51,66.56,96570.9,145097
67,68,70,Nick Watney,67,66.54,150148.9,225647
68,69,T64,Scott Stallings,63,66.52,144892.7,217810
69,70,T81,Roger Sloan,62,66.51,147198.9,221320
70,71,72,Chase Wright,53,66.49,121064.1,182079
71,T72,T64,José de Jesús Rodríguez,51,66.46,106135.6,159699
72,T72,80,Nick Taylor,70,66.46,177633.3,267271
73,74,71,Seamus Power,58,66.44,134383.1,202268
74,75,66,Troy Merritt,42,66.43,101407.0,152656
75,T76,92,Sangmoon Bae,42,66.42,80217.9,120774
76,T76,T67,Marc Leishman,52,66.42,108433.7,163266
77,T76,T67,Hunter Mahan,45,66.42,97349.6,146577
78,79,79,Sebastián Muñoz,58,66.4,123469.5,185942
79,80,T77,John Chin,38,66.39,66550.7,100238
80,81,T81,Matt Kuchar,65,66.37,149648.9,225476
81,T82,T77,Anders Albertson,48,66.27,102673.6,154927
82,T82,75,Jason Kokrak,68,66.27,161057.6,243049
83,84,76,Abraham Ancer,69,66.26,152118.7,229570
84,85,88,Peter Malnati,64,66.25,160518.6,242296
85,86,94,Dominic Bozzelli,53,66.24,103150.1,155724
86,87,89,Stephan Jaeger,59,66.17,126041.8,190468
87,88,83,Max Homa,61,66.16,148356.2,224250
88,89,84,Chesson Hadley,58,66.15,127559.2,192839
89,90,107,Mackenzie Hughes,58,66.14,134215.7,202915
90,91,91,Wes Roach,45,66.12,89534.3,135402
91,92,85,Ian Poulter,49,66.1,93640.3,141670
92,T93,86,Joel Dahmen,78,66.07,170965.8,258779
93,T93,T95,Jimmy Walker,61,66.07,145560.3,220298
94,95,T130,Danny Willett,47,66.04,115025.9,174175
95,96,T101,J.J. Spaun,68,66.03,140619.6,212956
96,97,T104,Keegan Bradley,65,66.02,140097.1,212199
97,98,90,Matt Jones,67,66.0,135622.6,205479
98,99,T95,Hudson Swafford,59,65.99,142549.4,216027
99,100,T111,Adam Hadwin,66,65.96,141555.8,214595
100,101,T97,Adam Schenk,80,65.95,181034.8,274485
101,102,93,Charley Hoffman,58,65.92,105303.0,159752
102,103,T111,Harris English,72,65.9,175371.1,266108
103,104,106,Richy Werenski,63,65.89,153253.3,232587
104,105,135,Joey Garber,44,65.88,79328.0,120407
105,106,T120,Martin Laird,60,65.85,147169.4,223488
106,T107,T118,Daniel Berger,48,65.83,128850.1,195730
107,T107,T97,Justin Rose,42,65.83,88960.6,135137
108,T107,T97,Kevin Streelman,63,65.83,157451.6,239187
109,110,T104,Roberto Díaz,51,65.81,97597.1,148311
110,T111,T108,Kramer Hickok,59,65.8,124480.5,189188
111,T111,100,Adam Long,52,65.8,134502.3,204416
112,113,T101,Sam Ryder,52,65.79,117162.8,178094
113,114,103,Sung Kang,67,65.78,160580.3,244101
114,115,117,Adam Svensson,51,65.76,110505.4,168032
115,T116,T118,Julián Etulain,55,65.73,111065.9,168977
