,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Justin Harding,31,6.55,11,168,+0.09
1,2,2,Henrik Stenson,46,8.92,42,471,+0.26
2,T3,4,Austin Cook,50,9.48,46,485,+0.07
3,T3,3,Matt Every,38,9.48,33,348,+0.15
4,5,5,Michael Thompson,56,9.5,66,695,+0.03
5,6,6,Brian Gay,79,10.05,81,806,+0.15
6,7,8,Paul Casey,51,10.16,44,433,-0.07
7,8,9,Vaughn Taylor,69,10.32,83,804,+0.07
8,9,T10,Keith Mitchell,64,10.66,61,572,-0.10
9,10,13,Zach Johnson,50,10.74,61,568,+0.10
10,11,14,Billy Horschel,73,10.78,68,631,+0.15
11,12,16,Louis Oosthuizen,43,10.84,36,332,+0.17
12,13,12,Brian Harman,67,10.87,74,681,+0.11
13,14,17,Bryson DeChambeau,45,10.9,58,532,+0.07
14,15,18,Chez Reavie,67,10.99,61,555,+0.07
15,16,7,Jim Furyk,53,11.05,63,570,+0.11
16,17,T20,Adam Long,52,11.11,68,612,+0.04
17,18,15,Matt Kuchar,65,11.24,76,676,-0.07
18,19,22,Xander Schauffele,55,11.25,55,489,-0.04
19,20,19,Robert Streb,60,11.31,69,610,+0.04
20,21,23,Brian Stuard,76,11.39,87,764,+0.06
21,22,24,Kyoung-Hoon Lee,72,11.41,73,640,+0.08
22,23,T10,Jim Herman,37,11.47,43,375,+0.19
23,T24,T25,Troy Merritt,42,11.52,53,460,+0.11
24,T24,T25,"Ted Potter, Jr.",56,11.52,69,599,+0.04
25,26,27,Jason Dufner,56,11.6,63,543,+0.21
26,27,29,Andrew Landry,56,11.67,70,600,+0.24
27,28,T30,Kevin Kisner,65,11.71,70,598,+0.13
28,29,28,Russell Henley,56,11.74,70,596,+0.01
29,30,33,Matthew Fitzpatrick,42,11.82,48,406,+0.21
30,31,34,Chesson Hadley,58,11.94,69,578,-0.09
31,32,35,Kevin Streelman,63,11.96,88,736,+0.08
32,33,36,Francesco Molinari,41,11.99,44,367,-0.09
33,34,37,Ryan Moore,54,12.0,72,600,+0.01
34,35,38,Tiger Woods,31,12.03,35,291,+0.14
35,36,32,Chase Wright,53,12.08,65,538,+0.14
36,37,T30,Keegan Bradley,65,12.1,76,628,-0.05
37,38,39,Jason Kokrak,68,12.13,89,734,-0.01
38,39,43,Ben Silverman,54,12.33,72,584,+0.10
39,40,45,Joel Dahmen,78,12.47,97,778,+0.05
40,41,T20,Tyler Duncan,66,12.48,80,641,+0.21
41,42,49,Alex Cejka,41,12.57,47,374,+0.02
42,43,48,Ryan Armour,66,12.76,87,682,+0.13
43,44,51,Gary Woodland,63,12.81,77,601,-0.13
44,45,52,Jon Rahm,51,12.83,59,460,-0.02
45,46,53,Brendan Steele,50,12.84,66,514,-0.02
46,47,41,Fabián Gómez,44,12.86,54,420,-0.02
47,48,46,Bud Cauley,61,13.0,95,731,-0.01
48,49,44,Seamus Power,58,13.1,79,603,+0.11
49,T50,T59,Ryan Blaum,67,13.22,97,734,+0.10
50,T50,T59,Jason Day,45,13.22,46,348,+0.07
51,52,61,Scott Langley,60,13.32,89,668,+0.18
52,53,T63,Ian Poulter,49,13.37,56,419,+0.09
53,T54,50,Carlos Ortiz,60,13.42,89,663,-0.07
54,T54,56,Richy Werenski,63,13.42,95,708,+0.16
55,56,47,Adam Svensson,51,13.48,69,512,+0.01
56,57,40,Ryan Palmer,56,13.52,73,540,+0.04
57,58,67,Patton Kizzire,58,13.58,69,508,-0.03
58,59,68,Bronson Burgoon,37,13.61,55,404,+0.24
59,60,42,Ben Crane,41,13.64,51,374,+0.31
60,61,69,Hank Lebioda,55,13.7,74,540,+0.05
61,62,66,Graeme McDowell,61,13.74,76,553,+0.11
62,63,57,Brice Garnett,63,13.76,79,574,+0.19
63,64,70,Martin Kaymer,38,13.8,65,471,E
64,65,74,Roberto Castro,54,13.9,77,554,+0.14
65,66,54,Cody Gribble,52,13.94,76,545,+0.20
66,67,71,Johnson Wagner,45,14.06,63,448,+0.11
67,68,T81,Aaron Wise,52,14.07,75,533,+0.08
68,T69,77,Si Woo Kim,65,14.15,77,544,-0.03
69,T69,62,Webb Simpson,53,14.15,89,629,-0.15
70,71,58,Rod Pampling,40,14.17,53,374,+0.15
71,72,80,Pat Perez,52,14.18,57,402,+0.23
72,73,T81,Russell Knox,65,14.26,97,680,+0.05
73,74,72,Sungjae Im,88,14.29,135,945,-0.01
74,75,65,J.J. Henry,42,14.32,54,377,+0.15
75,76,85,Chris Kirk,47,14.4,70,486,+0.16
76,77,86,Rickie Fowler,54,14.42,90,624,-0.03
77,T78,79,J.B. Holmes,54,14.43,56,388,+0.07
78,T78,T92,Brandt Snedeker,68,14.43,97,672,-0.11
79,80,87,Cameron Smith,55,14.44,66,457,-0.02
80,81,89,C.T. Pan,64,14.58,85,583,+0.21
81,82,T90,Kevin Na,54,14.6,67,459,+0.12
82,83,94,Lucas Glover,62,14.62,107,732,-0.06
83,T84,83,Roberto Díaz,51,14.73,67,455,+0.10
84,T84,96,Sung Kang,67,14.73,108,733,+0.06
85,86,97,Matt Jones,67,14.74,92,624,+0.09
86,87,98,Luke List,52,14.77,88,596,-0.14
87,88,78,Bubba Watson,47,14.8,74,500,+0.11
88,89,73,Adam Hadwin,66,14.82,95,641,+0.12
89,T90,101,Patrick Reed,53,14.84,76,512,-0.04
90,T90,75,Brady Schnell,38,14.84,54,364,+0.04
91,92,T99,Daniel Berger,48,14.91,85,570,+0.07
92,93,T90,Kramer Hickok,59,14.94,85,569,+0.08
93,94,T103,Adam Scott,41,14.97,50,334,+0.08
94,95,T106,Rafa Cabrera Bello,57,15.0,75,500,-0.08
95,96,T63,Kelly Kraft,67,15.04,97,645,+0.13
96,97,108,Justin Rose,42,15.1,61,404,+0.18
97,98,109,Aaron Baddeley,51,15.12,80,529,+0.08
98,99,111,Sam Ryder,52,15.16,84,554,+0.07
99,100,113,Rory Sabbatini,71,15.2,114,750,+0.03
100,101,55,Nate Lashley,44,15.31,66,431,+0.05
101,102,T92,Martin Laird,60,15.32,104,679,-0.07
102,103,84,Jonas Blixt,66,15.33,111,724,+0.07
103,104,110,Denny McCarthy,63,15.41,100,649,-0.06
104,105,114,Scott Brown,66,15.42,103,668,+0.12
105,106,T116,Kiradech Aphibarnrat,49,15.43,71,460,+0.15
106,107,119,Martin Trainer,51,15.44,84,544,+0.15
107,108,118,Anirban Lahiri,54,15.45,85,550,+0.15
108,109,999,Shane Lowry,30,15.52,45,290,+0.20
109,110,120,Kyle Stanley,53,15.55,67,431,+0.27
110,111,121,Stewart Cink,33,15.57,45,289,+0.04
111,112,122,D.A. Points,33,15.59,41,263,+0.05
112,113,999,Martin Piller,30,15.61,37,237,+0.03
113,114,124,J.T. Poston,76,15.62,139,890,+0.07
114,115,T126,Tyrrell Hatton,46,15.66,65,415,+0.09
115,116,T116,Scott Piercy,70,15.67,110,702,+0.11
116,117,130,Jhonattan Vegas,60,15.68,103,657,-0.11
117,118,125,Jim Knous,55,15.69,80,510,E
118,119,T106,Cameron Davis,54,15.78,80,507,-0.04
119,120,139,Anders Albertson,48,15.82,75,474,+0.07
120,121,102,Lucas Bjerregaard,37,15.84,48,303,-0.02
121,122,133,Emiliano Grillo,65,15.88,91,573,+0.21
122,123,T99,Shawn Stefani,57,15.89,85,535,+0.09
123,124,88,Alex Prugh,54,15.94,80,502,+0.08
124,125,132,Corey Conners,62,15.95,96,602,+0.06
125,126,134,Satoshi Kodaira,51,16.02,78,487,+0.06
126,127,115,Joey Garber,44,16.07,58,361,+0.03
127,128,T128,Danny Lee,66,16.09,122,758,+0.06
128,129,T126,Harris English,72,16.21,130,802,-0.07
129,130,95,Harold Varner III,62,16.23,117,721,+0.03
130,131,T137,Peter Malnati,64,16.26,119,732,+0.11
131,132,142,Matt Wallace,31,16.34,50,306,+0.12
132,133,T143,Hunter Mahan,45,16.38,75,458,+0.12
133,134,112,Danny Willett,47,16.41,86,524,+0.07
134,135,T143,Nick Watney,67,16.44,111,675,+0.10
135,136,145,Patrick Rodgers,44,16.45,87,529,+0.03
136,137,159,Nick Taylor,70,16.59,136,820,+0.01
137,138,76,Dustin Johnson,47,16.63,78,469,-0.12
138,139,148,Mackenzie Hughes,58,16.64,101,607,-0.11
139,T140,131,Sangmoon Bae,42,16.67,60,360,E
140,T140,147,Tommy Fleetwood,43,16.67,60,360,-0.10
141,142,T150,Freddie Jacobson,37,16.77,55,328,+0.22
142,143,158,Julián Etulain,55,16.86,86,510,+0.07
143,144,154,Michael Kim,51,16.88,81,480,+0.07
144,145,155,Beau Hossler,66,16.9,119,704,+0.11
145,146,156,Haotong Li,32,16.91,47,278,+0.06
146,147,157,John Senden,39,16.92,56,331,+0.04
147,148,123,Stephan Jaeger,59,16.93,95,561,-0.01
148,149,135,Brooks Koepka,49,17.02,72,423,-0.03
149,150,141,Whee Kim,57,17.06,73,428,+0.15
150,151,153,Jimmy Walker,61,17.09,108,632,+0.10
151,152,999,Tyrone Van Aswegen,30,17.11,45,263,+0.18
152,153,105,Wes Roach,45,17.12,69,403,+0.14
153,154,T103,Jonathan Byrd,43,17.18,67,390,+0.10
154,155,136,Kyle Jones,49,17.21,84,488,+0.12
155,156,163,Charles Howell III,64,17.22,104,604,+0.08
156,157,170,Ollie Schniederjans,63,17.26,111,643,+0.09
157,158,T150,Tom Hoge,70,17.27,115,666,+0.08
158,T159,171,Dylan Frittelli,55,17.3,105,607,+0.08
159,T159,160,Sebastián Muñoz,58,17.3,96,555,+0.03
160,161,146,J.J. Spaun,68,17.32,111,641,+0.02
161,162,168,Peter Uihlein,65,17.4,103,592,-0.05
162,163,165,Abraham Ancer,69,17.42,119,683,+0.06
