,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,3,Webb Simpson,53,-.146
1,2,2,Luke List,52,-.136
2,3,4,Gary Woodland,63,-.130
3,4,1,Dustin Johnson,47,-.115
4,5,14,Brandt Snedeker,68,-.113
5,6,5,Mackenzie Hughes,58,-.109
6,7,6,Jhonattan Vegas,60,-.107
7,8,7,Tommy Fleetwood,43,-.100
8,9,8,Keith Mitchell,64,-.098
9,10,9,Francesco Molinari,41,-.091
10,11,10,Chesson Hadley,58,-.087
11,12,13,Rafa Cabrera Bello,57,-.080
12,13,17,Patrick Cantlay,49,-.070
13,14,T22,Harris English,72,-.069
14,T15,T18,Paul Casey,51,-.068
15,T15,T18,Phil Mickelson,41,-.068
16,T17,25,Martin Laird,60,-.067
17,T17,26,Carlos Ortiz,60,-.067
18,19,15,Matt Kuchar,65,-.066
19,T20,T20,Denny McCarthy,63,-.060
20,T20,T20,Cameron Tringale,52,-.060
21,22,24,Lucas Glover,62,-.056
22,23,T22,Keegan Bradley,65,-.053
23,24,38,Peter Uihlein,65,-.049
24,T25,T29,Marc Leishman,52,-.039
25,T25,T29,Patrick Reed,53,-.039
26,T27,28,Cameron Davis,54,-.038
27,T27,34,Talor Gooch,37,-.038
28,T27,T32,Trey Mullinax,67,-.038
29,30,31,Xander Schauffele,55,-.036
30,31,T32,Rickie Fowler,54,-.033
31,32,46,Kevin Tway,62,-.030
32,T33,T39,Sergio Garcia,39,-.029
33,T33,35,Patton Kizzire,58,-.029
34,35,T47,Brooks Koepka,49,-.028
35,T36,37,Si Woo Kim,65,-.026
36,T36,T47,Roger Sloan,62,-.026
37,38,T56,Justin Thomas,49,-.024
38,39,27,Sepp Straka,48,-.022
39,40,16,Lucas Bjerregaard,37,-.021
40,41,11,Fabián Gómez,44,-.019
41,T42,T39,Hideki Matsuyama,59,-.017
42,T42,T39,Jon Rahm,51,-.017
43,T44,54,Sungjae Im,88,-.015
44,T44,T42,Cameron Smith,55,-.015
45,T44,T42,Brendan Steele,50,-.015
46,T47,T44,Bud Cauley,61,-.011
47,T47,55,Stephan Jaeger,59,-.011
48,T47,T44,Jason Kokrak,68,-.011
49,50,T47,Wyndham Clark,61,-.007
50,T51,T47,Sangmoon Bae,42,E
51,T51,T47,Martin Kaymer,38,E
52,T51,T56,Jim Knous,55,E
53,T51,82,Rory McIlroy,50,E
54,T51,T74,José de Jesús Rodríguez,51,E
55,T51,T47,Jordan Spieth,57,E
56,T51,36,Josh Teater,47,E
57,T58,T66,Russell Henley,56,+.014
58,T58,T56,Ryan Moore,54,+.014
59,T58,70,Adam Svensson,51,+.014
60,T61,59,Sam Burns,66,+.015
61,T61,T62,Nick Taylor,70,+.015
