,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,2,Matt Every,12,38.1,45,118,+2.44
1,2,1,Robert Streb,21,38.4,91,237,+0.88
2,3,3,Chesson Hadley,20,40.6,103,254,-0.19
3,4,T4,Kyoung-Hoon Lee,22,41.1,92,224,+1.63
4,5,T4,Chase Wright,19,41.4,79,191,+1.77
5,6,T4,J.B. Holmes,18,41.6,77,185,+1.82
6,7,7,Michael Thompson,17,41.8,89,213,+1.24
7,8,8,Tiger Woods,8,41.9,39,93,+1.79
8,9,9,Keith Mitchell,19,42.1,85,202,+0.24
9,T10,T10,Luke List,16,42.5,110,259,-0.18
10,T10,T10,Xander Schauffele,15,42.5,79,186,+0.38
11,12,12,Louis Oosthuizen,12,42.7,50,117,+2.00
12,13,16,Brian Harman,22,42.9,93,217,+1.72
13,14,14,Vaughn Taylor,21,43.0,110,256,+1.36
14,15,13,Zach Johnson,15,43.1,88,204,+1.48
15,16,T17,Billy Horschel,19,43.6,103,236,+1.55
16,17,T22,Bubba Watson,13,43.8,84,192,+0.83
17,18,999,Tyrone Van Aswegen,11,43.9,54,123,+2.78
18,19,20,Austin Cook,17,44.4,68,153,+1.62
19,20,19,Cody Gribble,18,44.6,107,240,+2.34
20,21,21,"Ted Potter, Jr.",18,44.7,102,228,+1.27
21,22,T22,Phil Mickelson,13,44.8,91,203,+0.11
22,T23,24,Jason Kokrak,17,44.9,123,274,+1.54
23,T23,T25,Carlos Ortiz,21,44.9,115,256,E
24,T25,T25,Aaron Baddeley,15,45.0,104,231,+1.25
25,T25,T25,Patrick Rodgers,14,45.0,100,222,+1.10
26,27,29,Richy Werenski,20,45.6,123,270,+2.76
27,28,15,Ben Crane,13,45.7,64,140,+3.44
28,T29,T17,Kelly Kraft,23,45.8,119,260,+2.10
29,T29,30,Jon Rahm,14,45.8,76,166,+1.18
30,31,T31,Brendan Steele,17,45.9,85,185,+1.06
31,32,T31,Matt Kuchar,16,46.0,93,202,+0.32
32,33,T33,Henrik Stenson,12,46.1,59,128,+2.71
33,T34,T48,Keegan Bradley,18,46.2,92,199,+0.65
34,T34,T33,Justin Harding,9,46.2,18,39,+0.56
35,T34,T33,Kevin Kisner,17,46.2,85,184,+2.00
36,T37,T45,Graeme McDowell,16,46.4,96,207,+1.46
37,T37,999,Martin Piller,10,46.4,45,97,+1.33
38,39,T25,Adam Svensson,18,46.6,88,189,+0.34
39,T40,T52,Jim Knous,17,46.7,106,227,+1.60
40,T40,38,Gary Woodland,17,46.7,98,210,+0.61
41,42,T39,Patton Kizzire,18,46.8,94,201,+0.74
42,T43,36,Alex Cejka,16,47.1,57,121,+0.53
43,T43,37,Seamus Power,21,47.1,114,242,+2.02
44,T45,T42,Ryan Blaum,21,47.2,127,269,+1.26
45,T45,T42,Jason Day,14,47.2,60,127,+1.50
46,T47,T45,Haotong Li,9,47.3,53,112,+1.51
47,T47,T45,Brian Stuard,22,47.3,106,224,+1.04
48,49,T55,Martin Trainer,19,47.4,127,268,+2.28
49,T50,T48,Adam Scott,12,47.5,66,139,+1.21
50,T50,T48,Cameron Smith,16,47.5,94,198,+0.43
51,52,54,Patrick Reed,15,47.8,100,209,+0.40
52,53,999,Shane Lowry,10,48.3,57,118,+2.11
53,T54,T39,Cameron Davis,18,48.4,104,215,E
54,T54,T55,Adam Long,19,48.4,107,221,+2.06
