,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Justin Harding,31,14.88,25,168,+1.60
1,2,2,Ryan Moore,54,18.5,111,600,-0.18
2,3,4,Troy Merritt,42,18.91,87,460,+0.80
3,4,6,Chez Reavie,67,19.28,107,555,+0.47
4,5,3,Jim Furyk,53,19.65,112,570,+0.98
5,6,7,Ryan Armour,66,20.23,138,682,+0.94
6,7,5,Brian Gay,79,20.35,164,806,+1.59
7,8,8,Henrik Stenson,46,20.38,96,471,+1.98
8,9,10,Michael Thompson,56,20.72,144,695,+0.63
9,10,11,Austin Cook,50,21.44,104,485,+1.15
10,11,13,Andrew Landry,56,21.67,130,600,+2.23
11,12,9,Matt Every,38,21.84,76,348,+1.84
12,13,16,Joel Dahmen,78,22.11,172,778,+0.17
13,14,12,Jim Herman,37,22.13,83,375,+1.81
14,15,17,Brian Stuard,76,22.51,172,764,+0.64
15,16,14,Brian Harman,67,22.61,154,681,+1.04
16,17,T18,Scott Piercy,70,22.65,159,702,+1.07
17,18,T20,Kevin Kisner,65,22.74,136,598,+1.10
18,19,15,Matt Kuchar,65,22.78,154,676,-0.26
19,20,22,Francesco Molinari,41,22.89,84,367,+0.36
20,21,23,Matthew Fitzpatrick,42,22.91,93,406,+1.29
21,22,24,Kevin Streelman,63,22.96,169,736,+0.65
22,23,25,Vaughn Taylor,69,23.01,185,804,+0.92
23,24,26,Jason Dufner,56,23.02,125,543,+1.76
24,25,28,Paul Casey,51,23.09,100,433,E
25,26,30,Emiliano Grillo,65,23.21,133,573,+1.28
26,27,31,Russell Henley,56,23.32,139,596,+0.29
27,28,37,Bryson DeChambeau,45,23.68,126,532,+0.48
28,29,T20,Adam Hadwin,66,23.87,153,641,+1.05
29,30,40,Martin Kaymer,38,23.99,113,471,+0.53
30,31,41,Adam Long,52,24.02,147,612,+1.09
31,32,29,Daniel Berger,48,24.04,137,570,+0.95
