,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Rory McIlroy,50,1.22,45.138000000000005,37
1,2,2,Bubba Watson,47,0.92,33.116,36
2,3,3,Dustin Johnson,47,0.9059999999999999,30.816,34
3,4,4,Tommy Fleetwood,43,0.8079999999999999,21.018,26
4,5,5,Jon Rahm,51,0.8009999999999999,26.447,33
5,6,6,Jhonattan Vegas,60,0.785,36.909,47
6,7,7,Cameron Champ,58,0.782,37.551,48
7,8,8,Keith Mitchell,64,0.763,31.28,41
8,9,9,Jason Day,45,0.688,17.204,25
9,10,10,Paul Casey,51,0.6829999999999999,21.16,31
10,11,11,Gary Woodland,63,0.6609999999999999,28.416999999999998,43
11,12,14,Corey Conners,62,0.639,27.488000000000003,43
12,13,12,Luke List,52,0.626,26.905,43
13,14,13,Patrick Cantlay,49,0.623,20.56,33
14,15,15,Brendan Steele,50,0.586,21.673000000000002,37
15,16,18,Aaron Wise,52,0.569,21.613000000000003,38
16,17,19,Xander Schauffele,55,0.532,18.612000000000002,35
17,18,20,Bryson DeChambeau,45,0.518,19.669,38
18,19,16,Brooks Koepka,49,0.51,15.289000000000001,30
19,20,21,Abraham Ancer,69,0.507,24.826999999999998,49
20,21,22,Emiliano Grillo,65,0.49,20.07,41
21,22,24,Jason Kokrak,68,0.478,25.351999999999997,53
22,23,25,Adam Scott,41,0.462,11.081,24
23,24,28,Adam Hadwin,66,0.45799999999999996,21.076,46
24,25,26,Kevin Streelman,63,0.455,24.115,53
25,26,27,Hideki Matsuyama,59,0.45299999999999996,19.489,43
26,27,29,Matt Jones,67,0.444,19.995,45
27,28,30,Tony Finau,61,0.44299999999999995,18.176,41
28,T29,31,Matthew Fitzpatrick,42,0.441,12.799000000000001,29
29,T29,33,Justin Thomas,49,0.441,14.992,34
30,31,T34,Alex Prugh,54,0.434,15.630999999999998,36
31,32,32,Hunter Mahan,45,0.42100000000000004,13.88,33
32,33,17,D.J. Trahan,33,0.401,7.614,19
33,34,38,Sergio Garcia,39,0.381,10.677,28
34,35,36,Sungjae Im,88,0.37799999999999995,25.689,68
35,36,43,Daniel Berger,48,0.37,15.159,41
36,37,23,Seth Reeves,52,0.369,13.288,36
