,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Rory McIlroy,50,2.381,1.22,0.9159999999999999,0.24600000000000002,37
1,2,2,Patrick Cantlay,49,1.858,0.623,0.823,0.41200000000000003,33
2,3,3,Hideki Matsuyama,59,1.7890000000000001,0.45299999999999996,0.9,0.435,43
3,4,4,Dustin Johnson,47,1.778,0.9059999999999999,0.693,0.179,34
4,5,5,Justin Thomas,49,1.765,0.441,0.883,0.441,34
5,6,6,Paul Casey,51,1.556,0.6829999999999999,0.632,0.24100000000000002,31
6,7,7,Adam Scott,41,1.53,0.462,0.7,0.368,24
7,8,8,Tommy Fleetwood,43,1.4780000000000002,0.8079999999999999,0.382,0.287,26
8,9,9,Tiger Woods,31,1.4609999999999999,0.204,0.807,0.45,21
9,10,12,Gary Woodland,63,1.3719999999999999,0.6609999999999999,0.537,0.174,43
10,11,13,Byeong Hun An,54,1.3430000000000002,0.322,0.408,0.614,39
11,12,10,Brooks Koepka,49,1.301,0.51,0.8140000000000001,-0.022000000000000002,30
12,13,11,Sergio Garcia,39,1.239,0.381,0.996,-0.139,28
13,14,16,Corey Conners,62,1.2309999999999999,0.639,0.67,-0.078,43
14,15,15,Matt Kuchar,65,1.196,0.27899999999999997,0.826,0.09,48
15,16,17,Emiliano Grillo,65,1.185,0.49,0.813,-0.11800000000000001,41
16,17,19,Xander Schauffele,55,1.15,0.532,0.429,0.188,35
17,18,20,Webb Simpson,53,1.146,0.098,0.627,0.42,45
18,19,18,Keegan Bradley,65,1.131,0.18100000000000002,1.043,-0.092,45
19,20,21,Jason Kokrak,68,1.055,0.478,0.828,-0.252,53
20,21,22,Lucas Glover,62,1.04,0.259,0.479,0.302,53
21,22,23,Jon Rahm,51,0.9840000000000001,0.8009999999999999,0.183,0.0,33
22,23,24,Henrik Stenson,46,0.978,-0.252,1.287,-0.057999999999999996,34
23,24,14,Bubba Watson,47,0.975,0.92,-0.028999999999999998,0.085,36
24,25,25,Jim Furyk,53,0.963,0.013000000000000001,0.7879999999999999,0.161,41
25,26,26,Kevin Streelman,63,0.9079999999999999,0.455,0.44299999999999995,0.009000000000000001,53
26,27,27,Justin Rose,42,0.8740000000000001,0.27899999999999997,0.603,-0.008,29
27,28,28,Keith Mitchell,64,0.858,0.763,0.188,-0.09300000000000001,41
28,29,29,Jhonattan Vegas,60,0.8540000000000001,0.785,0.054000000000000006,0.015,47
29,30,30,Matt Wallace,31,0.853,0.35200000000000004,0.067,0.434,22
30,31,31,Luke List,52,0.85,0.626,0.17800000000000002,0.046,43
31,32,32,Russell Knox,65,0.848,0.111,0.614,0.124,49
32,33,33,Marc Leishman,52,0.847,0.040999999999999995,0.6609999999999999,0.145,35
33,34,T35,Sungjae Im,88,0.797,0.37799999999999995,0.16,0.259,68
34,35,T35,Rickie Fowler,54,0.78,0.26899999999999996,0.34600000000000003,0.166,45
35,36,37,Matthew Fitzpatrick,42,0.7709999999999999,0.441,0.243,0.087,29
36,37,38,Bryson DeChambeau,45,0.7559999999999999,0.518,0.23800000000000002,0.0,38
37,38,41,Joaquin Niemann,68,0.75,0.297,0.385,0.069,52
38,39,34,Bud Cauley,61,0.748,-0.182,0.24600000000000002,0.6829999999999999,53
39,40,39,Charles Howell III,64,0.741,0.349,0.016,0.376,43
40,41,44,Hank Lebioda,55,0.72,0.23,0.24600000000000002,0.244,39
41,42,57,Talor Gooch,37,0.71,-0.168,0.9840000000000001,-0.106,31
42,43,42,Ryan Moore,54,0.687,0.054000000000000006,0.5670000000000001,0.066,43
43,44,43,Troy Merritt,42,0.667,-0.006,0.45399999999999996,0.249,33
44,45,46,Rory Sabbatini,71,0.6409999999999999,0.327,-0.009000000000000001,0.32299999999999995,54
45,46,48,Tyrrell Hatton,46,0.631,0.247,-0.024,0.409,30
46,47,50,Jason Day,45,0.621,0.688,-0.14300000000000002,0.076,25
47,48,59,Adam Svensson,51,0.617,-0.006999999999999999,0.35700000000000004,0.268,37
48,49,45,Zach Johnson,50,0.607,-0.005,0.423,0.188,41
49,50,51,Tony Finau,61,0.606,0.44299999999999995,0.297,-0.134,41
50,51,53,Matt Jones,67,0.601,0.444,-0.126,0.28300000000000003,45
51,52,40,D.J. Trahan,33,0.5660000000000001,0.401,0.094,0.071,19
52,53,47,Aaron Wise,52,0.5589999999999999,0.569,-0.19,0.18100000000000002,38
53,54,54,Rafa Cabrera Bello,57,0.556,0.226,0.214,0.11599999999999999,36
54,55,55,Chez Reavie,67,0.5529999999999999,0.14300000000000002,0.488,-0.078,40
55,56,52,Scott Piercy,70,0.5429999999999999,0.34,0.183,0.02,50
56,57,49,Dylan Frittelli,55,0.535,0.301,0.16,0.07400000000000001,44
57,58,56,Kevin Na,54,0.528,-0.18,0.37799999999999995,0.32799999999999996,33
58,59,61,Trey Mullinax,67,0.509,0.303,0.389,-0.183,53
59,60,60,Sung Kang,67,0.504,0.21600000000000003,0.253,0.035,53
60,61,62,Ryan Palmer,56,0.48700000000000004,0.28800000000000003,0.46799999999999997,-0.27,39
61,62,63,Louis Oosthuizen,43,0.48,0.17300000000000001,-0.23800000000000002,0.545,24
62,63,T87,Danny Willett,47,0.47600000000000003,-0.105,0.446,0.135,38
63,64,58,Kevin Tway,62,0.46399999999999997,-0.033,0.18100000000000002,0.317,45
64,65,70,Brandt Snedeker,68,0.452,-0.142,-0.024,0.617,48
65,66,64,Ian Poulter,49,0.44,0.195,0.011000000000000001,0.233,30
66,67,65,Abraham Ancer,69,0.439,0.507,-0.017,-0.051,49
67,68,66,Charley Hoffman,58,0.435,0.226,0.45799999999999996,-0.25,35
68,69,74,Sebastián Muñoz,58,0.42100000000000004,0.027999999999999997,0.004,0.389,40
69,70,67,Brian Stuard,76,0.414,-0.223,0.309,0.32799999999999996,55
