,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,1,1,Louis Oosthuizen,43,1.51,24.164,16,,1.499
1,2,2,Patrick Cantlay,49,1.5090000000000001,43.75,29,,1.479
2,3,3,Bronson Burgoon,37,1.508,31.660999999999998,21,,1.496
3,4,T5,Cameron Smith,55,1.506,34.639,23,,1.4909999999999999
4,T5,T8,Byeong Hun An,54,1.505,67.721,45,,1.4409999999999998
5,T5,T17,Corey Conners,62,1.505,102.331,68,,1.486
6,T5,T8,Tommy Fleetwood,43,1.505,37.63,25,,1.4909999999999999
7,T5,T8,Rickie Fowler,54,1.505,67.711,45,,1.473
8,T5,T5,Adam Hadwin,66,1.505,72.234,48,,1.466
9,T5,T8,Kelly Kraft,67,1.505,90.291,60,,1.474
10,T5,T8,Matt Kuchar,65,1.505,93.31299999999999,62,,1.4709999999999999
11,T5,T8,Andrew Landry,56,1.505,60.188,40,,1.474
12,T5,T8,Jimmy Walker,61,1.505,102.335,68,,1.4609999999999999
13,T5,T8,Richy Werenski,63,1.505,124.90899999999999,83,,1.4669999999999999
14,T15,T17,Ryan Blaum,67,1.504,102.26,68,,1.4709999999999999
15,T15,T5,Harris English,72,1.504,135.345,90,,1.4369999999999998
16,T15,T27,Fabián Gómez,44,1.504,96.227,64,,1.439
17,T15,T8,Brandon Harkins,67,1.504,123.316,82,,1.442
18,T15,T17,Charley Hoffman,58,1.504,78.208,52,,1.4680000000000002
19,T15,T17,Anirban Lahiri,54,1.504,76.699,51,,1.4609999999999999
20,T15,T17,Denny McCarthy,63,1.504,96.26100000000001,64,,1.465
21,T15,T17,Grayson Murray,36,1.504,31.594,21,,1.484
