,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
0,1,1,Adam Scott,41,3404.2,61276,18,,1954
1,2,2,J.B. Holmes,54,3272.8,114549,35,,2163
2,3,4,Charley Hoffman,58,3236.7,132704,41,,2346
3,4,3,Adam Schenk,80,3199.5,239964,75,,2103
4,5,5,Sergio Garcia,39,3172.7,120564,38,,2286
5,6,6,John Senden,39,3081.3,98602,32,,2233
6,7,7,Ollie Schniederjans,63,3019.8,150992,50,,1639
7,8,8,Justin Harding,31,3019.1,63401,21,,1975
8,9,9,Andrew Putnam,57,3012.7,105443,35,,1975
9,10,11,Troy Merritt,42,2993.5,98786,33,,1913
10,11,15,Chris Thompson,34,2985.9,101521,34,,2297
11,12,12,Russell Knox,65,2979.8,181770,61,,1915
12,13,10,Alex Noren,49,2951.4,162327,55,,2186
13,14,14,Pat Perez,52,2945.2,70685,24,,2112
14,15,30,Kevin Tway,62,2943.4,144227,49,,1686
15,16,16,Kyle Stanley,53,2921.4,128543,44,,2115
16,17,18,Roberto Castro,54,2914.6,171960,59,,1898
17,18,20,Tony Finau,61,2908.2,154135,53,,2014
18,19,32,Hudson Swafford,59,2904.9,209150,72,,1759
19,20,21,Cameron Champ,58,2903.7,78399,27,,1409
20,21,22,Patrick Reed,53,2903.3,110325,38,,1778
21,22,34,Peter Uihlein,65,2898.1,153600,53,,1411
22,23,26,Harris English,72,2896.9,234647,81,,2018
23,24,17,Adam Svensson,51,2895.8,124519,43,,1995
24,25,24,Hank Lebioda,55,2890.2,127168,44,,1919
25,26,29,Roger Sloan,62,2883.9,213407,74,,1809
26,27,25,Cameron Davis,54,2882.4,100885,35,,1697
27,28,19,Robert Streb,60,2874.8,135115,47,,2026
28,29,27,Matt Jones,67,2873.8,129320,45,,2119
29,30,28,Max Homa,61,2871.7,152201,53,,1577
30,31,90,Sangmoon Bae,42,2860.2,91527,32,,1884
31,32,33,Aaron Baddeley,51,2857.3,140007,49,,2106
32,T33,31,Bill Haas,58,2854.1,176957,62,,1978
33,T33,53,Adam Hadwin,66,2854.1,125579,44,,2265
34,35,44,Talor Gooch,37,2842.4,119379,42,,1690
35,36,58,Cameron Tringale,52,2832.2,164267,58,,1763
36,37,37,Chris Kirk,47,2822.6,93147,33,,1715
37,38,88,Keegan Bradley,65,2817.6,61988,22,,1864
38,39,35,Peter Malnati,64,2813.0,227852,81,,1671
39,40,23,Justin Thomas,49,2812.6,98440,35,,1697
