,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,3,Grayson Murray,36,2.68,321.42900000000003,119.945,,2.983
1,2,1,Brian Gay,79,2.678,285.97900000000004,106.792,,3.0260000000000002
2,3,4,Jason Day,45,2.676,317.058,118.49799999999999,,3.036
3,4,10,Nick Taylor,70,2.6719999999999997,296.55,110.98700000000001,,3.298
4,T5,2,David Hearn,41,2.6710000000000003,282.191,105.63799999999999,,2.978
5,T5,5,Wes Roach,45,2.6710000000000003,295.725,110.725,,2.99
6,7,6,Brian Stuard,76,2.67,283.832,106.303,,3.005
7,8,T48,Keegan Bradley,65,2.667,303.952,113.948,,3.02
8,9,T14,José de Jesús Rodríguez,51,2.657,293.08299999999997,110.314,,3.083
9,10,7,Brady Schnell,38,2.654,285.561,107.58200000000001,,2.9789999999999996
10,11,8,Beau Hossler,66,2.6519999999999997,300.67,113.354,,3.075
11,12,T21,Cody Gribble,52,2.6510000000000002,305.073,115.072,,2.945
12,13,13,D.J. Trahan,33,2.65,301.368,113.725,,3.011
13,T14,T11,Patrick Cantlay,49,2.648,307.875,116.288,,2.8819999999999997
14,T14,T11,Ernie Els,43,2.648,292.627,110.524,,3.035
15,16,T21,Matt Kuchar,65,2.6439999999999997,288.56,109.118,,3.115
16,T17,T14,Ryan Blaum,67,2.641,289.008,109.445,,2.925
17,T17,T14,John Huh,35,2.641,288.925,109.41,,2.9219999999999997
18,T19,T50,Joey Garber,44,2.639,295.728,112.054,,2.877
19,T19,T48,Brian Harman,67,2.639,291.327,110.389,,2.9960000000000004
20,21,19,Adam Long,52,2.638,293.76099999999997,111.37200000000001,,3.035
21,22,T27,Fabián Gómez,44,2.637,288.344,109.355,,2.93
22,T23,17,Jonas Blixt,66,2.636,294.77299999999997,111.82700000000001,,2.917
23,T23,20,Brendan Steele,50,2.636,303.649,115.208,,3.1
24,T23,26,Richy Werenski,63,2.636,292.772,111.07799999999999,,2.951
25,26,39,Bud Cauley,61,2.635,295.964,112.315,,2.957
26,27,T21,Justin Rose,42,2.634,303.552,115.244,,3.088
27,28,T24,Kyle Stanley,53,2.6310000000000002,290.973,110.59,,2.94
28,29,T27,J.J. Henry,42,2.63,294.783,112.096,,2.964
29,T30,T29,Anders Albertson,48,2.6289999999999996,298.743,113.65,,2.825
30,T30,18,Harold Varner III,62,2.6289999999999996,304.20099999999996,115.715,,3.057
31,T32,T29,James Hahn,34,2.628,296.472,112.811,,2.833
32,T32,T173,Danny Willett,47,2.628,296.98,113.006,,2.931
33,34,32,Chesson Hadley,58,2.627,302.7,115.215,,3.1630000000000003
34,T35,T33,Joel Dahmen,78,2.6260000000000003,293.214,111.64299999999999,,3.17
35,T35,T33,C.T. Pan,64,2.6260000000000003,291.673,111.054,,2.918
36,T35,T24,Josh Teater,47,2.6260000000000003,296.923,113.059,,2.8930000000000002
37,38,36,Chez Reavie,67,2.625,285.9,108.916,,2.944
38,T39,38,Roberto Díaz,51,2.6239999999999997,285.962,108.97,,2.9130000000000003
39,T39,T46,Sepp Straka,48,2.6239999999999997,303.159,115.541,,2.98
40,41,37,Scott Stallings,63,2.623,304.551,116.126,,3.25
41,T42,T50,Austin Cook,50,2.622,288.623,110.06299999999999,,3.113
42,T42,T44,Kelly Kraft,67,2.622,286.726,109.35600000000001,,2.945
43,T42,T46,Aaron Wise,52,2.622,305.985,116.689,,3.0060000000000002
44,T45,40,Michael Kim,51,2.62,290.279,110.806,,3.165
45,T45,60,Webb Simpson,53,2.62,288.836,110.26,,2.931
46,T47,41,Byeong Hun An,54,2.6189999999999998,305.683,116.71700000000001,,3.0060000000000002
47,T47,T33,Martin Laird,60,2.6189999999999998,301.68,115.171,,3.036
48,T47,42,Denny McCarthy,63,2.6189999999999998,294.645,112.495,,2.9739999999999998
49,T47,T102,Jimmy Walker,61,2.6189999999999998,300.47900000000004,114.744,,3.063
50,51,T61,Ben Silverman,54,2.6180000000000003,290.688,111.04700000000001,,3.005
51,52,43,Kyle Jones,49,2.616,283.654,108.412,,2.9619999999999997
52,T53,T64,Dominic Bozzelli,53,2.615,300.132,114.757,,2.957
53,T53,T82,Ben Crane,41,2.615,280.45,107.229,,3.074
54,T53,T29,Dylan Frittelli,55,2.615,298.752,114.23299999999999,,3.26
55,T53,T76,Hank Lebioda,55,2.615,300.837,115.039,,3.137
56,T53,T44,Kevin Streelman,63,2.615,295.019,112.807,,2.977
57,T58,999,Shane Lowry,30,2.61,305.27099999999996,116.95,,2.907
58,T58,T64,Chase Wright,53,2.61,298.13599999999997,114.24700000000001,,3.103
59,60,T70,Johnson Wagner,45,2.6069999999999998,279.243,107.09700000000001,,2.924
60,T61,T106,John Chin,38,2.6060000000000003,303.709,116.537,,2.858
61,T61,T56,Adam Hadwin,66,2.6060000000000003,293.086,112.48299999999999,,2.958
62,T61,52,Jim Knous,55,2.6060000000000003,302.651,116.12899999999999,,2.838
63,T61,T53,Anirban Lahiri,54,2.6060000000000003,288.404,110.66,,2.96
64,T61,T53,Ian Poulter,49,2.6060000000000003,292.66,112.28399999999999,,2.969
65,66,55,Andrew Landry,56,2.605,282.163,108.321,,2.965
66,T67,135,Alex Cejka,41,2.6039999999999996,277.556,106.583,,2.884
67,T67,T56,Rickie Fowler,54,2.6039999999999996,301.20599999999996,115.65700000000001,,2.892
68,T67,T56,Troy Merritt,42,2.6039999999999996,292.478,112.302,,2.92
69,T67,999,Martin Piller,30,2.6039999999999996,287.779,110.50200000000001,,2.8110000000000004
70,T67,T56,Vaughn Taylor,69,2.6039999999999996,281.88,108.23700000000001,,2.958
71,T72,T70,Brandon Harkins,67,2.603,303.095,116.428,,3.0189999999999997
72,T72,T67,Tom Hoge,70,2.603,291.395,111.939,,3.0060000000000002
73,T72,T86,Brandt Snedeker,68,2.603,286.468,110.045,,3.24
74,T75,T61,Kyoung-Hoon Lee,72,2.602,293.149,112.645,,2.9139999999999997
75,T75,T67,Ryan Palmer,56,2.602,302.935,116.446,,2.968
76,77,T70,Corey Conners,62,2.6010000000000004,297.466,114.374,,2.935
77,T78,66,Bronson Burgoon,37,2.5989999999999998,287.366,110.556,,2.897
78,T78,81,Brice Garnett,63,2.5989999999999998,290.70599999999996,111.839,,2.945
79,T80,T70,Julián Etulain,55,2.5980000000000003,292.306,112.509,,2.9130000000000003
80,T80,T86,Matt Every,38,2.5980000000000003,298.863,115.03399999999999,,3.0210000000000004
81,T80,T67,J.T. Poston,76,2.5980000000000003,295.113,113.58200000000001,,2.925
82,T80,88,Sam Saunders,53,2.5980000000000003,296.737,114.21700000000001,,2.873
83,T84,80,Carlos Ortiz,60,2.596,304.357,117.234,,3.134
84,T84,74,D.A. Points,33,2.596,279.159,107.527,,2.89
85,T86,75,Hunter Mahan,45,2.595,297.452,114.60700000000001,,2.825
86,T86,999,Tyrone Van Aswegen,30,2.595,291.017,112.139,,3.034
87,T88,T76,Abraham Ancer,69,2.594,291.559,112.4,,3.022
88,T88,T76,Francesco Molinari,41,2.594,290.507,111.979,,2.9410000000000003
89,T88,T76,Cameron Smith,55,2.594,290.965,112.15100000000001,,2.859
90,91,T82,Martin Trainer,51,2.593,307.32599999999996,118.53299999999999,,2.93
91,T92,T89,Nate Lashley,44,2.592,290.857,112.194,,3.128
92,T92,T95,Nick Watney,67,2.592,309.651,119.444,,2.861
93,T94,T82,Paul Casey,51,2.591,302.119,116.583,,2.888
94,T94,T61,Harris English,72,2.591,305.5,117.916,,3.0269999999999997
95,96,T113,Graeme McDowell,61,2.59,289.811,111.875,,2.8680000000000003
96,T97,117,Zach Johnson,50,2.589,284.515,109.898,,2.885
97,T97,85,Rory Sabbatini,71,2.589,289.186,111.681,,3.07
98,99,T126,Robert Streb,60,2.588,295.235,114.086,,2.929
99,100,T89,Russell Henley,56,2.5869999999999997,285.971,110.559,,3.063
100,101,T89,Lucas Glover,62,2.5860000000000003,298.546,115.461,,2.9419999999999997
101,T102,T93,Cameron Champ,58,2.585,333.779,129.121,,2.92
102,T102,99,Cameron Davis,54,2.585,308.881,119.495,,3.056
103,T102,T93,Hideki Matsuyama,59,2.585,303.164,117.28299999999999,,3.327
104,T102,T122,Rory McIlroy,50,2.585,314.08299999999997,121.50399999999999,,2.847
105,T106,T95,Sam Burns,66,2.5839999999999996,310.399,120.13799999999999,,3.0010000000000003
106,T106,T104,Mackenzie Hughes,58,2.5839999999999996,300.249,116.182,,2.99
107,T106,T115,Joaquin Niemann,68,2.5839999999999996,303.185,117.33200000000001,,2.923
108,T106,T122,Alex Prugh,54,2.5839999999999996,304.22900000000004,117.719,,2.8819999999999997
109,T110,108,Lucas Bjerregaard,37,2.583,307.09,118.875,,2.858
110,T110,T109,Danny Lee,66,2.583,299.953,116.13,,3.253
111,T110,98,Michael Thompson,56,2.583,286.486,110.906,,2.8510000000000004
112,T113,100,Charles Howell III,64,2.5810000000000004,301.616,116.853,,3.032
113,T113,101,Scott Piercy,70,2.5810000000000004,295.005,114.304,,2.9610000000000003
114,T113,T95,Chris Stroud,54,2.5810000000000004,289.207,112.064,,2.965
115,116,132,Sungjae Im,88,2.5780000000000003,296.504,115.012,,2.969
116,117,T106,Tommy Fleetwood,43,2.577,297.811,115.544,,2.859
117,T118,125,Sangmoon Bae,42,2.576,293.654,114.015,,2.783
118,T118,T129,Stephan Jaeger,59,2.576,295.187,114.59200000000001,,2.8289999999999997
119,T120,T109,Rafa Cabrera Bello,57,2.575,288.72,112.125,,2.867
120,T120,T89,Roberto Castro,54,2.575,285.19,110.75399999999999,,3.1489999999999996
121,T120,T109,Jason Dufner,56,2.575,289.20599999999996,112.329,,2.9810000000000003
122,T123,181,Dustin Johnson,47,2.574,307.69,119.52600000000001,,2.8139999999999996
123,T123,T102,Curtis Luck,51,2.574,292.495,113.645,,3.0010000000000003
124,T123,112,Gary Woodland,63,2.574,314.315,122.133,,2.944
125,T126,T120,Ryan Armour,66,2.573,277.626,107.896,,2.866
126,T126,T104,Jim Herman,37,2.573,292.017,113.471,,2.865
127,T126,T113,Sam Ryder,52,2.573,297.884,115.779,,3.0239999999999996
128,T129,141,Jonathan Byrd,43,2.572,285.642,111.057,,2.832
129,T129,T115,"Ted Potter, Jr.",56,2.572,288.205,112.06200000000001,,2.94
130,131,T129,Trey Mullinax,67,2.571,314.656,122.384,,3.123
131,T132,T118,Tony Finau,61,2.57,313.405,121.928,,2.98
132,T132,T118,Emiliano Grillo,65,2.57,295.783,115.10700000000001,,2.95
133,T132,142,Kramer Hickok,59,2.57,293.252,114.12299999999999,,2.9139999999999997
134,T135,T120,Tyrrell Hatton,46,2.569,296.746,115.531,,3.015
135,T135,T133,Peter Malnati,64,2.569,292.593,113.875,,2.984
136,137,T122,Billy Horschel,73,2.568,292.731,113.98,,3.0
137,138,131,Jim Furyk,53,2.5660000000000003,275.973,107.529,,2.864
138,T139,T126,Max Homa,61,2.565,305.82099999999997,119.241,,3.0389999999999997
139,T139,T126,Luke List,52,2.565,313.289,122.13600000000001,,3.016
140,141,T154,Rod Pampling,40,2.5639999999999996,290.551,113.32,,2.92
141,T142,143,J.J. Spaun,68,2.562,291.311,113.712,,2.8810000000000002
142,T142,166,Justin Thomas,49,2.562,300.909,117.461,,2.877
143,144,T133,Aaron Baddeley,51,2.5610000000000004,291.856,113.963,,2.9010000000000002
144,T145,T159,Scott Brown,66,2.56,291.79200000000003,113.99799999999999,,3.2110000000000003
145,T145,T151,Bill Haas,58,2.56,295.142,115.305,,2.947
146,T147,T136,Sung Kang,67,2.559,291.595,113.947,,2.9530000000000003
147,T147,T136,Chris Kirk,47,2.559,285.154,111.428,,2.905
148,T147,T136,Roger Sloan,62,2.559,294.334,115.008,,2.892
149,150,T136,Seth Reeves,52,2.5580000000000003,315.627,123.39200000000001,,2.926
150,151,T146,Daniel Berger,48,2.557,297.57099999999997,116.39399999999999,,2.908
151,T152,161,Tyler Duncan,66,2.555,287.895,112.67,,2.89
152,T152,T163,J.B. Holmes,54,2.555,306.77099999999996,120.071,,2.926
153,T154,144,Wyndham Clark,61,2.552,308.41700000000003,120.851,,3.141
154,T154,145,Seamus Power,58,2.552,305.279,119.61200000000001,,2.937
155,T156,T146,Si Woo Kim,65,2.55,291.811,114.441,,3.0260000000000002
156,T156,140,Hudson Swafford,59,2.55,299.111,117.314,,3.134
157,158,148,Stewart Cink,33,2.5469999999999997,292.17900000000003,114.706,,2.892
158,T159,T149,Keith Mitchell,64,2.546,311.096,122.20299999999999,,3.0210000000000004
159,T159,T149,Ryan Moore,54,2.546,279.735,109.85600000000001,,3.092
160,161,T151,Matt Jones,67,2.545,297.151,116.742,,2.904
161,T162,T154,Jordan Spieth,57,2.544,288.746,113.492,,3.057
162,T162,T154,Jhonattan Vegas,60,2.544,316.32099999999997,124.35,,3.0210000000000004
163,T164,157,Charley Hoffman,58,2.543,294.88599999999997,115.95,,2.9160000000000004
164,T164,158,Ollie Schniederjans,63,2.543,312.64599999999996,122.95100000000001,,2.952
165,166,T159,Kiradech Aphibarnrat,49,2.541,288.025,113.37299999999999,,2.802
166,167,162,Patrick Rodgers,44,2.536,304.85400000000004,120.229,,3.0580000000000003
167,T168,T163,Kevin Kisner,65,2.535,283.335,111.77600000000001,,2.859
168,T168,T163,Jon Rahm,51,2.535,300.573,118.55799999999999,,2.81
169,170,T167,Adam Svensson,51,2.5340000000000003,288.758,113.93700000000001,,3.0180000000000002
170,T171,T178,Sergio Garcia,39,2.532,306.372,121.01299999999999,,2.812
171,T171,T167,Louis Oosthuizen,43,2.532,286.517,113.166,,2.779
172,T171,T167,Xander Schauffele,55,2.532,304.749,120.37700000000001,,2.846
173,T174,T170,Phil Mickelson,41,2.531,306.87,121.26,,2.952
174,T174,T151,Chris Thompson,34,2.531,297.091,117.37200000000001,,2.82
175,176,172,Branden Grace,62,2.53,291.44,115.21600000000001,,2.866
176,T177,T170,Whee Kim,57,2.529,277.673,109.814,,2.8739999999999997
177,T177,T173,Russell Knox,65,2.529,284.77099999999996,112.59299999999999,,2.8939999999999997
178,179,175,John Senden,39,2.528,290.865,115.057,,2.891
179,180,T176,Bryson DeChambeau,45,2.5269999999999997,299.517,118.545,,2.9989999999999997
180,181,T178,Jason Kokrak,68,2.525,302.603,119.825,,2.8160000000000003
181,T182,189,Scott Langley,60,2.523,272.248,107.899,,2.7939999999999996
182,T182,T183,Shawn Stefani,57,2.523,296.353,117.44,,2.804
183,184,190,Bubba Watson,47,2.522,305.46,121.119,,2.806
184,185,T176,Sebastián Muñoz,58,2.521,299.277,118.734,,2.767
185,186,180,Henrik Stenson,46,2.519,291.218,115.615,,2.863
186,187,182,Marc Leishman,52,2.517,295.132,117.258,,3.083
187,188,T183,Patton Kizzire,58,2.516,289.329,114.994,,2.864
188,189,185,Justin Harding,31,2.515,288.361,114.641,,2.82
189,190,186,Matthew Fitzpatrick,42,2.513,283.905,112.958,,2.9610000000000003
190,191,187,Matt Wallace,31,2.512,293.553,116.852,,2.783
191,192,188,Kevin Na,54,2.509,286.46,114.175,,2.806
192,193,194,Kevin Tway,62,2.506,305.02,121.705,,2.892
193,194,201,Alex Noren,49,2.502,301.664,120.584,,2.86
194,195,191,Peter Uihlein,65,2.498,309.185,123.794,,2.891
195,196,193,Charl Schwartzel,34,2.491,293.192,117.68799999999999,,2.91
196,197,195,Brooks Koepka,49,2.487,304.185,122.289,,2.772
197,T198,196,Martin Kaymer,38,2.485,290.091,116.73899999999999,,2.88
198,T198,192,Cameron Tringale,52,2.485,295.057,118.749,,3.109
199,T200,T197,Freddie Jacobson,37,2.48,281.135,113.376,,2.986
200,T200,T197,Haotong Li,32,2.48,296.822,119.676,,2.8810000000000002
201,T200,T197,Pat Perez,52,2.48,288.23,116.225,,2.802
202,203,200,Satoshi Kodaira,51,2.478,272.17900000000003,109.846,,2.8569999999999998
203,204,T202,Adam Scott,41,2.468,296.915,120.29,,2.765
204,205,T202,Talor Gooch,37,2.464,295.881,120.079,,2.762
205,206,204,Patrick Reed,53,2.463,290.048,117.774,,2.807
206,T207,205,Andrew Putnam,57,2.447,282.29400000000004,115.35700000000001,,3.125
207,T207,206,Adam Schenk,80,2.447,302.134,123.493,,2.862
208,209,207,Tiger Woods,31,2.372,278.825,117.535,,2.658
