,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Paul Casey,15,71,58,13
1,2,2,Brendan Steele,17,74,30,44
2,T3,T3,Bryson DeChambeau,13,75,41,34
3,T3,T3,Gary Woodland,17,75,11,64
4,5,T5,Justin Harding,9,96,91,5
5,T6,T5,Keegan Bradley,18,98,50,48
6,T6,7,Emiliano Grillo,17,98,67,31
7,8,8,Louis Oosthuizen,12,102,70,32
8,9,10,Jon Rahm,14,109,18,91
9,10,12,Jason Kokrak,17,115,26,89
10,11,9,Brooks Koepka,13,117,14,103
11,12,11,Abraham Ancer,20,118,99,19
12,T13,13,Daniel Berger,14,119,61,58
13,T13,T14,Charles Howell III,19,119,43,76
14,15,16,Corey Conners,20,120,81,39
15,16,17,Hideki Matsuyama,15,121,25,96
16,17,T14,Tiger Woods,8,123,63,60
17,18,T20,Tommy Fleetwood,11,128,46,82
18,T19,T20,Joel Dahmen,22,131,116,15
19,T19,18,Matt Kuchar,16,131,121,10
20,T19,19,Troy Merritt,12,131,102,29
21,T19,T22,Alex Prugh,18,131,38,93
22,T23,24,Rickie Fowler,14,132,26,106
23,T23,T22,Aaron Wise,16,132,30,102
24,25,T25,Jason Day,14,135,28,107
25,26,T27,Lucas Glover,17,143,87,56
26,27,T25,Kevin Streelman,20,144,116,28
27,T28,T30,Keith Mitchell,19,145,40,105
28,T28,T36,Xander Schauffele,15,145,28,117
29,30,39,Rory McIlroy,13,146,2,144
30,31,T30,Scott Piercy,19,147,125,22
31,32,T36,Sungjae Im,26,149,96,53
32,33,T44,Hank Lebioda,16,153,102,51
33,T34,40,Tyrrell Hatton,13,154,70,84
34,T34,T30,Ian Poulter,13,154,111,43
35,36,T27,Carlos Ortiz,21,155,54,101
36,T37,T30,Alex Noren,14,157,43,114
37,T37,43,Adam Scott,12,157,48,109
38,39,T48,Justin Thomas,13,158,39,119
39,T40,35,Lucas Bjerregaard,10,160,7,153
40,T40,T41,Hunter Mahan,15,160,99,61
41,T42,T41,Chez Reavie,19,161,159,2
42,T42,T36,Chase Wright,19,161,73,88
43,T44,T44,Adam Hadwin,18,162,125,37
44,T44,T46,Kramer Hickok,19,162,146,16
45,46,29,Bubba Watson,13,163,6,157
46,47,52,Sung Kang,20,165,61,104
