,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,2,Jason Day,45,6,3,3
1,2,1,David Hearn,41,8,3,5
2,3,4,Brian Gay,79,9,7,2
3,4,3,Grayson Murray,36,12,11,1
4,5,81,Keegan Bradley,65,14,6,8
5,6,6,Wes Roach,45,15,10,5
6,7,T9,Nick Taylor,70,18,14,4
7,T8,27,Joey Garber,44,20,1,19
8,T8,T9,Cody Gribble,52,20,8,12
9,10,5,Beau Hossler,66,27,16,11
10,11,T29,D.J. Trahan,33,36,23,13
11,12,T106,Danny Willett,47,37,5,32
12,13,T9,Adam Long,52,38,17,21
13,14,8,Justin Rose,42,40,13,27
14,15,32,Brady Schnell,38,41,31,10
15,16,47,Brian Harman,67,45,26,19
16,17,12,Brendan Steele,50,47,24,23
17,18,T19,Sepp Straka,48,48,9,39
18,T19,7,Harold Varner III,62,51,21,30
19,T19,17,Richy Werenski,63,51,28,23
20,21,T13,Josh Teater,47,52,17,35
21,22,16,James Hahn,34,54,22,32
22,23,T13,Ryan Blaum,67,59,42,17
23,24,35,Bud Cauley,61,63,37,26
24,25,15,Patrick Cantlay,49,64,50,14
25,T26,T19,Byeong Hun An,54,67,20,47
26,T26,28,Jonas Blixt,66,67,44,23
27,T26,34,Matt Kuchar,65,67,51,16
28,29,999,Martin Piller,30,68,1,67
29,T30,21,Chesson Hadley,58,71,37,34
30,T30,18,Brian Stuard,76,71,64,7
31,32,25,Rickie Fowler,54,79,12,67
32,33,T22,John Huh,35,81,64,17
33,34,T106,Alex Cejka,41,84,17,67
34,35,24,Ernie Els,43,87,73,14
35,36,T22,Dylan Frittelli,55,88,35,53
36,T37,26,Martin Laird,60,89,42,47
37,T37,36,Aaron Wise,52,89,47,42
38,39,33,Denny McCarthy,63,91,44,47
39,40,40,Chase Wright,53,92,34,58
40,41,52,Kelly Kraft,67,95,53,42
41,42,57,Dominic Bozzelli,53,97,44,53
42,T43,56,Fabián Gómez,44,100,78,22
43,T43,T29,Kevin Streelman,63,100,47,53
44,45,T77,Webb Simpson,53,102,57,45
45,46,43,Kyle Jones,49,105,53,52
46,T47,39,Bronson Burgoon,37,109,31,78
47,T47,55,Sam Saunders,53,109,29,80
48,49,38,Michael Kim,51,112,67,45
49,50,37,Vaughn Taylor,69,114,47,67
50,51,42,Julián Etulain,55,115,35,80
51,T52,T53,Austin Cook,50,117,75,42
52,T52,51,Cameron Davis,54,117,15,102
53,T52,T64,José de Jesús Rodríguez,51,117,108,9
54,55,94,Ben Crane,41,120,67,53
55,T56,T61,Adam Hadwin,66,122,61,61
56,T56,48,J.J. Henry,42,122,93,29
57,T58,T44,Joel Dahmen,78,123,88,35
58,T58,41,Andrew Landry,56,123,57,66
59,T58,T82,Hank Lebioda,55,123,70,53
60,T58,49,Scott Stallings,63,123,82,41
61,62,T58,Jim Knous,55,125,64,61
62,63,T70,Graeme McDowell,61,126,30,96
63,64,T44,Francesco Molinari,41,128,40,88
64,65,67,Rory McIlroy,50,129,27,102
65,66,122,Jimmy Walker,61,131,84,47
66,T67,46,Troy Merritt,42,137,70,67
67,T67,T58,Carlos Ortiz,60,137,53,84
68,T67,T77,Alex Prugh,54,137,31,106
69,70,T53,C.T. Pan,64,141,106,35
70,71,T125,John Chin,38,143,82,61
71,T72,T68,Matt Every,38,147,67,80
72,T72,T148,Dustin Johnson,47,147,24,123
73,74,98,Brandt Snedeker,68,151,79,72
74,75,T61,Chez Reavie,67,155,117,38
75,76,T84,Stephan Jaeger,59,157,39,118
76,77,T70,Anders Albertson,48,161,131,30
77,78,T82,Ben Silverman,54,162,111,51
78,T79,60,Sam Burns,66,163,57,106
79,T79,89,Roberto Díaz,51,163,124,39
80,81,T68,Martin Trainer,51,164,73,91
81,82,T74,Corey Conners,62,165,88,77
82,83,73,Brandon Harkins,67,167,95,72
83,84,T64,Tommy Fleetwood,43,168,51,117
84,85,50,Harris English,72,169,75,94
85,86,63,Hideki Matsuyama,59,172,70,102
86,T87,66,Hunter Mahan,45,173,87,86
87,T87,93,Johnson Wagner,45,173,113,60
88,89,999,Tyrone Van Aswegen,30,174,88,86
89,90,76,Tom Hoge,70,175,103,72
90,91,90,Ryan Palmer,56,178,103,75
91,92,79,Kyle Stanley,53,182,154,28
92,93,99,J.J. Spaun,68,183,41,142
93,94,86,Nate Lashley,44,184,92,92
94,95,105,Danny Lee,66,187,77,110
95,T96,T102,Jonathan Byrd,43,189,60,129
96,T96,72,Cameron Smith,55,189,101,88
97,98,T74,J.T. Poston,76,193,113,80
98,99,100,Trey Mullinax,67,194,63,131
99,100,T111,Lucas Bjerregaard,37,196,86,110
100,101,136,Sangmoon Bae,42,197,79,118
101,102,T84,Anirban Lahiri,54,199,138,61
102,T103,118,Brice Garnett,63,201,123,78
103,T103,T87,Chris Stroud,54,201,88,113
104,105,80,Michael Thompson,56,203,93,110
105,106,T95,Mackenzie Hughes,58,204,98,106
106,107,116,J.B. Holmes,54,205,53,152
107,108,108,Nick Watney,67,207,115,92
108,109,92,D.A. Points,33,208,124,84
109,T110,91,Rafa Cabrera Bello,57,215,95,120
110,T110,97,Wyndham Clark,61,215,61,154
111,112,T87,Curtis Luck,51,221,98,123
112,T113,101,Kyoung-Hoon Lee,72,224,149,75
113,T113,999,Shane Lowry,30,224,166,58
114,115,T142,Zach Johnson,50,225,128,97
115,116,T95,Roger Sloan,62,231,84,147
116,117,154,Robert Streb,60,232,133,99
117,118,129,Kramer Hickok,59,233,101,132
118,119,T111,Paul Casey,51,236,142,94
119,120,T102,Luke List,52,237,98,139
120,121,T102,Tyrrell Hatton,46,238,103,135
121,122,113,Cameron Champ,58,240,138,102
122,123,T114,Rory Sabbatini,71,246,149,97
123,T124,T114,Lucas Glover,62,247,146,101
