,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,3,Rory McIlroy,13,228
1,2,1,Brooks Koepka,13,251
2,3,2,Justin Thomas,13,252
3,4,4,Rickie Fowler,14,305
4,5,5,Matt Kuchar,16,309
5,6,6,Jason Day,14,313
6,7,7,Xander Schauffele,15,320
7,8,8,Patrick Cantlay,14,361
8,9,9,Tiger Woods,8,370
9,10,10,Justin Rose,11,372
10,11,13,Jon Rahm,14,384
11,12,12,Adam Scott,12,387
12,13,11,Gary Woodland,17,392
13,14,14,Troy Merritt,12,400
14,15,19,Webb Simpson,14,415
15,16,16,Scott Piercy,19,422
16,17,15,Dustin Johnson,12,429
17,18,T17,Bryson DeChambeau,13,434
18,19,T17,Matt Every,12,457
19,20,20,Sam Ryder,16,464
20,T21,21,Paul Casey,15,471
21,T21,26,Adam Hadwin,18,471
22,23,22,Emiliano Grillo,17,485
23,24,23,Marc Leishman,14,492
24,25,24,Ian Poulter,13,515
25,26,25,Chez Reavie,19,518
26,27,28,Keith Mitchell,19,534
27,28,44,Sungjae Im,26,536
28,29,27,Bud Cauley,19,539
29,30,29,Charles Howell III,19,541
30,31,32,Michael Thompson,17,553
31,32,31,Hideki Matsuyama,15,554
32,33,33,Tommy Fleetwood,11,557
33,34,35,Sung Kang,20,561
34,35,34,Talor Gooch,12,567
35,36,37,Lucas Glover,17,571
36,37,36,Si Woo Kim,20,573
37,38,38,Rory Sabbatini,19,574
38,39,30,D.J. Trahan,11,596
39,40,40,Jason Kokrak,17,600
40,41,41,Joel Dahmen,22,605
41,42,42,Phil Mickelson,13,609
42,43,45,Jhonattan Vegas,18,631
43,44,T46,Matt Jones,19,635
44,45,50,Nick Watney,20,640
45,T46,49,Byeong Hun An,15,645
46,T46,T46,Aaron Wise,16,645
47,48,48,Russell Knox,18,647
48,49,52,Tony Finau,17,648
49,50,53,Tyrrell Hatton,13,653
50,51,60,Danny Lee,20,655
51,52,43,Dominic Bozzelli,17,656
52,53,54,Rafa Cabrera Bello,15,657
53,54,62,Wyndham Clark,20,658
54,55,T55,Vaughn Taylor,21,662
55,56,57,Keegan Bradley,18,670
56,57,T55,Abraham Ancer,20,673
57,T58,70,Sebastián Muñoz,18,676
58,T58,61,Kevin Na,15,676
59,60,51,Ryan Palmer,16,680
60,61,64,Andrew Putnam,17,686
61,62,65,Adam Schenk,24,691
62,T63,63,Cameron Champ,19,693
63,T63,66,Louis Oosthuizen,12,693
64,T63,59,Bubba Watson,13,693
65,66,T67,James Hahn,10,703
66,67,78,Hank Lebioda,16,706
67,68,T67,Luke List,16,712
68,69,72,Ryan Moore,16,728
69,70,73,Patrick Reed,15,729
70,T71,74,Corey Conners,20,730
71,T71,58,Nate Lashley,13,730
72,T71,69,Hudson Swafford,20,730
73,74,71,Roger Sloan,20,739
74,75,80,Martin Laird,18,743
75,76,79,Harold Varner III,20,751
76,77,101,Cameron Tringale,15,758
77,78,87,Graeme McDowell,16,761
78,T79,82,C.T. Pan,19,769
79,T79,77,Jordan Spieth,16,769
80,T81,84,Justin Harding,9,775
81,T81,103,Brandt Snedeker,18,775
82,83,T85,Harris English,21,781
83,84,T90,J.T. Poston,22,782
84,85,T85,Cameron Smith,16,785
85,86,83,Kevin Streelman,20,788
86,87,88,Daniel Berger,14,791
87,T88,75,Sergio Garcia,11,794
88,T88,81,Denny McCarthy,20,794
89,90,89,Aaron Baddeley,15,797
90,91,76,Jim Furyk,16,801
91,92,92,Dylan Frittelli,16,802
92,93,105,Jonas Blixt,20,805
93,94,T95,Beau Hossler,20,813
94,95,97,Brandon Harkins,21,814
95,96,93,Kyoung-Hoon Lee,22,816
96,97,T95,Kiradech Aphibarnrat,15,825
97,98,98,Sam Burns,22,830
98,99,108,Austin Cook,17,838
99,100,99,Patrick Rodgers,14,840
100,101,120,Nick Taylor,20,841
101,102,100,Trey Mullinax,20,842
102,103,107,Patton Kizzire,18,847
103,104,T90,Chase Wright,19,852
104,105,94,Johnson Wagner,14,867
105,106,110,Stewart Cink,12,868
106,107,109,Ollie Schniederjans,22,869
107,T108,121,Scott Brown,21,875
108,T108,111,Kevin Kisner,17,875
109,T110,115,Zach Johnson,15,877
110,T110,112,Hunter Mahan,15,877
111,112,102,Cameron Davis,18,880
112,113,106,Carlos Ortiz,21,881
113,114,146,Ben Silverman,17,884
114,T115,116,Chris Kirk,17,891
115,T115,118,Brian Stuard,22,891
116,117,117,Pat Perez,16,897
117,118,T134,Peter Uihlein,22,899
118,119,104,Shawn Stefani,19,907
119,T120,113,Brian Gay,22,914
120,T120,119,Billy Horschel,19,914
121,T122,T122,Francesco Molinari,10,922
122,T122,T134,Joaquin Niemann,20,922
123,124,132,Scott Langley,20,923
124,125,131,Kevin Tway,19,931
125,T126,T122,J.J. Spaun,20,933
126,T126,124,Sepp Straka,16,933
127,T128,125,Matthew Fitzpatrick,11,935
128,T128,T148,Adam Svensson,18,935
129,T130,133,Ryan Blaum,21,943
130,T130,127,Jason Dufner,19,943
131,132,128,J.B. Holmes,18,944
132,T133,,Shane Lowry,10,946
133,T133,126,Richy Werenski,20,946
134,135,114,Scott Stallings,20,949
135,136,130,Alex Prugh,18,952
136,137,136,Kramer Hickok,19,955
137,138,T138,Haotong Li,9,962
138,139,140,Max Homa,19,966
139,140,T141,Charley Hoffman,18,971
140,T141,137,Brice Garnett,21,973
141,T141,T141,Brendan Steele,17,973
142,143,T144,Chesson Hadley,20,981
143,144,T144,Ryan Armour,21,984
144,145,147,Peter Malnati,19,985
145,146,157,Henrik Stenson,12,990
146,147,T138,Roberto Díaz,16,995
147,T148,153,Stephan Jaeger,19,999
148,T148,129,Seth Reeves,18,999
149,150,152,Fabián Gómez,14,1010
150,T151,172,Ben Crane,13,1011
151,T151,171,Wes Roach,14,1011
152,153,150,Adam Long,19,1013
153,154,151,Russell Henley,18,1016
154,155,143,Tyler Duncan,22,1018
155,156,160,David Hearn,14,1023
156,157,155,Branden Grace,18,1024
157,158,156,Grayson Murray,14,1026
158,159,T165,José de Jesús Rodríguez,17,1029
159,160,154,Lucas Bjerregaard,10,1031
160,161,164,Ernie Els,14,1032
161,162,T158,Bronson Burgoon,14,1036
162,163,161,Martin Kaymer,11,1037
163,164,163,Kyle Stanley,18,1049
164,165,T158,Martin Trainer,19,1053
165,166,T175,Jonathan Byrd,13,1054
166,167,189,Danny Willett,15,1057
167,168,170,Matt Wallace,9,1065
168,T169,187,Sangmoon Bae,16,1067
169,T169,T165,Jim Knous,17,1067
170,171,177,Jimmy Walker,17,1070
171,T172,173,Roberto Castro,16,1072
172,T172,174,Seamus Power,21,1072
173,T174,181,Brian Harman,22,1078
174,T174,T175,Brady Schnell,14,1078
175,176,,Tyrone Van Aswegen,11,1081
176,177,178,John Senden,13,1088
177,178,162,Julián Etulain,17,1090
178,179,T148,Kelly Kraft,23,1093
179,180,167,Alex Noren,14,1095
180,181,183,Mackenzie Hughes,19,1097
181,182,179,Anirban Lahiri,17,1100
182,183,186,Cody Gribble,18,1106
183,T184,182,John Chin,14,1117
184,T184,188,Bill Haas,18,1117
185,T186,180,Anders Albertson,18,1125
186,T186,169,Josh Teater,17,1125
187,188,184,Charl Schwartzel,13,1130
188,189,168,Chris Stroud,19,1134
189,190,191,Joey Garber,15,1140
190,191,185,Sam Saunders,18,1160
191,192,190,Andrew Landry,18,1162
192,193,,Martin Piller,10,1178
193,194,193,Curtis Luck,17,1192
194,195,194,Tom Hoge,24,1215
195,196,192,Jim Herman,16,1217
196,197,195,Freddie Jacobson,14,1238
197,198,197,Robert Streb,21,1244
198,199,196,"Ted Potter, Jr.",18,1275
199,200,198,J.J. Henry,15,1279
200,201,200,John Huh,13,1314
201,202,199,Whee Kim,21,1329
202,203,201,Satoshi Kodaira,16,1340
203,204,202,Kyle Jones,19,1363
204,T205,204,Alex Cejka,16,1375
205,T205,203,D.A. Points,13,1375
206,T205,206,Chris Thompson,12,1375
207,208,207,Rod Pampling,16,1433
208,209,205,Michael Kim,21,1450
