,Aon_Risk_Reward_Challenge_RANK THIS WEEK,Aon_Risk_Reward_Challenge_RANK LAST WEEK,Aon_Risk_Reward_Challenge_PLAYER NAME,Aon_Risk_Reward_Challenge_AVG TO PAR,Aon_Risk_Reward_Challenge_RISK REWARD EVENTS,Aon_Risk_Reward_Challenge_ROUNDS COMPLETE,Aon_Risk_Reward_Challenge_ROUNDS TO GO
0,1,1,Jason Day,-1.063,16,32,8
1,T2,T2,Brooks Koepka,-1.0,18,34,6
2,T2,T2,Dustin Johnson,-1.0,17,36,4
3,4,4,Ian Poulter,-0.9440000000000001,18,36,4
4,5,7,Adam Hadwin,-0.9329999999999999,30,58,0
5,6,5,Jason Kokrak,-0.929,28,60,0
6,7,6,Justin Thomas,-0.909,22,42,0
7,T8,8,Bud Cauley,-0.857,35,61,0
8,T8,9,Alex Noren,-0.857,21,38,2
9,10,10,Gary Woodland,-0.84,25,49,0
10,11,12,Brian Gay,-0.838,37,74,0
11,12,11,Jhonattan Vegas,-0.833,30,56,0
12,13,13,Si Woo Kim,-0.828,29,54,0
13,14,14,Cameron Smith,-0.826,23,42,0
14,15,15,James Hahn,-0.8240000000000001,17,34,6
15,16,16,Pat Perez,-0.818,22,43,0
16,17,17,Russell Knox,-0.815,27,56,0
17,T18,18,Seth Reeves,-0.8,30,50,0
18,T18,20,Matt Kuchar,-0.8,25,50,0
19,20,35,Rory McIlroy,-0.789,19,38,2
20,21,19,Vaughn Taylor,-0.784,37,67,0
21,T22,T21,Sam Ryder,-0.778,27,52,0
22,T22,T21,Jon Rahm,-0.778,18,38,2
23,24,23,Paul Casey,-0.762,21,40,0
24,25,24,Rory Sabbatini,-0.758,33,67,0
25,26,T28,John Chin,-0.75,24,38,2
26,27,25,Lucas Glover,-0.741,27,54,0
27,28,T28,Sung Kang,-0.727,33,61,0
28,29,30,Keith Mitchell,-0.7240000000000001,29,55,0
29,30,42,Bubba Watson,-0.722,18,34,6
30,31,31,Abraham Ancer,-0.7190000000000001,32,60,0
31,T32,27,Brandt Snedeker,-0.7140000000000001,28,59,0
32,T32,44,Webb Simpson,-0.7140000000000001,21,42,0
33,T32,32,Marc Leishman,-0.7140000000000001,21,42,0
34,35,34,Tony Finau,-0.708,24,48,0
35,T36,T36,Charley Hoffman,-0.7040000000000001,27,46,0
36,T36,45,Keegan Bradley,-0.7040000000000001,27,50,0
37,T36,T36,Emiliano Grillo,-0.7040000000000001,27,54,0
38,39,43,Harris English,-0.703,37,70,0
39,T40,T38,Patrick Reed,-0.7,20,42,0
