,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,4,Rory McIlroy,13,162.496,2112.451
1,2,1,Brooks Koepka,13,143.296,1862.849
2,3,3,Matt Kuchar,16,139.524,2232.383
3,4,2,Dustin Johnson,12,134.24,1610.878
4,5,5,Tiger Woods,8,120.01,960.0830000000001
5,6,6,Patrick Cantlay,14,111.759,1564.63
6,7,7,Xander Schauffele,15,111.329,1669.933
7,8,8,Justin Rose,11,105.501,1160.514
8,9,9,Paul Casey,15,93.21700000000001,1398.2479999999998
9,10,10,Francesco Molinari,10,92.48200000000001,924.82
10,11,11,Rickie Fowler,14,90.863,1272.083
11,12,12,Justin Thomas,13,84.848,1103.028
12,13,13,Adam Scott,12,84.193,1010.317
13,14,14,Marc Leishman,14,82.829,1159.604
14,15,15,Jon Rahm,14,81.13600000000001,1135.897
15,16,16,Gary Woodland,17,69.921,1188.656
16,17,17,Phil Mickelson,13,68.38600000000001,889.0169999999999
17,18,29,Webb Simpson,14,65.611,918.55
18,19,18,Bryson DeChambeau,13,65.592,852.691
19,20,19,Ryan Palmer,16,62.376999999999995,998.0260000000001
20,21,20,Tommy Fleetwood,11,61.88399999999999,680.72
21,22,22,Tony Finau,17,59.394,1009.695
22,23,23,Charles Howell III,19,57.903999999999996,1100.182
23,24,24,Kevin Kisner,17,57.06,970.0210000000001
24,25,21,Sergio Garcia,11,55.321999999999996,608.5409999999999
25,26,25,Kevin Na,15,53.455,801.827
26,27,27,Hideki Matsuyama,15,51.998000000000005,779.9630000000001
27,28,28,Jason Day,14,51.934,727.078
28,29,70,Shane Lowry,10,50.486999999999995,504.86800000000005
29,30,26,Scott Piercy,19,50.027,950.5039999999999
30,31,30,Jim Furyk,16,50.0,800.003
31,32,32,Sung Kang,20,48.902,978.046
32,33,34,Andrew Putnam,17,46.57899999999999,791.8389999999999
33,34,35,Ian Poulter,13,46.246,601.197
34,35,36,Louis Oosthuizen,12,45.93,551.154
35,36,37,C.T. Pan,19,45.927,872.617
36,37,31,Matt Every,12,45.647,547.761
37,38,38,Keith Mitchell,19,45.324,861.148
38,39,40,Lucas Glover,17,44.783,761.308
39,40,33,Corey Conners,20,44.551,891.013
40,41,45,Brandt Snedeker,18,43.885,789.935
41,42,41,Jason Kokrak,17,42.653,725.0980000000001
42,43,39,J.B. Holmes,18,42.648999999999994,767.68
43,44,42,Rafa Cabrera Bello,15,42.173,632.601
44,45,46,Graeme McDowell,16,41.782,668.507
45,46,43,Kevin Tway,19,39.919000000000004,758.462
46,47,47,Max Homa,19,38.016999999999996,722.323
47,48,54,Adam Hadwin,18,37.617,677.1110000000001
48,49,48,Emiliano Grillo,17,37.434,636.383
49,50,49,Ryan Moore,16,37.319,597.096
50,51,44,Bubba Watson,13,36.746,477.704
51,52,50,Si Woo Kim,20,36.101,722.0269999999999
52,53,51,Kevin Chappell,3,35.762,107.285
53,54,53,Kiradech Aphibarnrat,15,35.367,530.507
54,55,52,Talor Gooch,12,34.167,410.0
55,56,55,Adam Long,19,33.471,635.955
56,57,64,Sungjae Im,26,33.321999999999996,866.3610000000001
57,58,56,Cameron Champ,19,33.204,630.88
58,59,57,Chez Reavie,19,32.871,624.5509999999999
59,60,58,Patrick Rodgers,14,32.442,454.19
60,61,59,Joel Dahmen,22,31.808000000000003,699.783
