,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Matthew Fitzpatrick,11,437,44.0
1,2,2,Matt Wallace,9,359,45.0
2,3,3,Lucas Bjerregaard,10,329,147.0
3,4,4,Eddie Pepperell,7,249,10.0
4,5,5,Haotong Li,9,243,185.0
5,6,6,Justin Harding,9,220,61.0
6,7,9,Erik van Rooyen,4,182,63.0
7,8,7,Thorbjørn Olesen,8,169,109.0
8,9,8,Thomas Pieters,4,153,52.0
9,10,10,David Lipsky,4,107,71.0
10,11,11,Doug Ghim,6,101,
11,12,12,Shubhankar Sharma,6,97,9.0
12,13,13,Joost Luiten,4,84,71.0
13,14,14,Scottie Scheffler,3,67,
14,15,15,Chip McDaniel,3,65,
15,16,16,Steve Marino,4,64,
16,17,17,Sam Horsfield,3,64,
17,18,18,Jazz Janewattananond,1,63,
18,19,19,John Catlin,5,59,6.0
19,20,20,Zack Fischer,2,55,
20,21,21,Michael Lorenzo-Vera,1,53,
21,22,,Collin Morikawa,1,52,
22,23,22,Alexander Björk,3,51,51.0
23,24,23,Armando Favela,1,49,
24,25,24,Doc Redman,1,44,
25,26,25,Dylan Meyer,3,42,
26,27,26,Gaganjeet Bhullar,2,42,11.0
27,28,27,Andrea Pavan,1,41,41.0
28,29,,Paul Barjon,2,39,
29,30,28,Shugo Imahira,4,35,16.0
30,31,29,Austen Truslow,2,34,
31,32,30,Alexander Levy,1,34,34.0
32,33,31,Tom Lewis,3,34,34.0
33,34,32,Ryan Fox,4,32,32.0
34,35,33,Paul Dunne,1,31,
35,36,34,Lee Westwood,3,31,31.0
36,37,35,Sanghyun Park,4,31,20.0
37,T38,T36,Brett Drewitt,1,30,
38,T38,T36,Tyler McCumber,1,30,
39,40,38,Davis Riley,1,26,
40,41,39,Martin Flores,1,25,
41,42,40,Scott Vincent,2,23,20.0
42,43,41,Carl Yuan,1,23,23.0
43,44,42,Norman Xiong,3,21,
44,45,43,Seungsu Han,1,18,
45,46,44,George Cunningham,2,18,
46,47,45,Kristoffer Ventura,3,18,
47,48,46,Chad Ramey,1,17,
48,49,47,Sihwan Kim,2,17,11.0
49,50,48,George Coetzee,2,15,15.0
50,51,49,WC Liang,1,14,14.0
51,52,50,Thomas Detry,1,13,
52,T53,T51,Oscar Fraustro,1,12,
53,T53,T51,Dong Seop Maeng,1,12,
54,55,53,Jonathan Randolph,1,12,
55,56,54,Jake McLeod,1,11,11.0
56,57,55,Alex Kang,2,11,
57,58,56,Brandon Stone,2,11,11.0
58,59,57,Adrian Otaegui,3,11,11.0
59,T60,T58,Jason Norris,1,9,9.0
60,T60,T58,Xinjun Zhang,1,9,9.0
61,T62,T60,Aaron Rai,1,9,9.0
62,T62,T60,Richard Sterne,2,9,9.0
63,64,62,Chase Koepka,1,8,
64,65,63,Tae Hee Lee,2,8,
65,66,64,Yuki Inamori,2,7,3.0
66,67,65,Braden Thornberry,2,7,
67,T68,T66,Adam Bland,1,6,6.0
68,T68,T66,Jorge Campillo,2,6,6.0
69,T68,T66,Jason Scrivener,1,6,6.0
70,T71,T69,Lee Hodges,1,6,
71,T71,T69,Ben Leong,1,6,
72,T71,T69,Dru Love,5,6,
73,T71,T69,Henrik Norlander,1,6,
74,T75,T73,Ross Fisher,1,5,
75,T75,T73,Rob Labritz,1,5,
76,77,75,Jon Curran,4,5,
77,78,76,Minchel Choi,2,5,
78,79,77,Andy Sullivan,1,5,5.0
79,T80,T78,Rafael Campos,2,5,
80,T80,T78,Ben Griffin,2,5,
81,T82,T80,Ashun Wu,1,5,5.0
82,T82,T80,Yuta Ikeda,2,5,5.0
83,T82,T80,Julian Suri,2,5,5.0
84,85,83,Doyeob Mun,1,4,
85,86,84,Maverick McNealy,2,4,
86,87,85,Kurt Kitayama,1,4,
87,88,86,Ryan Vermeer,4,4,
88,89,87,Rikuya Hoshino,1,4,
89,90,88,Oliver Bekker,1,3,3.0
90,91,89,Matthew Millar,1,3,3.0
91,92,90,Shaun Norris,2,3,3.0
92,93,,Richard Jung,1,3,
93,94,91,Zac Blair,1,3,
94,95,92,Yanwei Liu,1,3,3.0
95,96,93,Lucas Herbert,1,3,
96,97,,Jake Knapp,1,3,
97,98,94,Matthew Short,1,3,
98,99,95,Brett Rumford,1,3,3.0
99,T100,T96,Shintaro Ban,2,3,
100,T100,T96,Eric Dugas,1,3,
101,102,98,Berry Henson,1,3,
102,103,99,JC Ritchie,1,3,3.0
103,104,100,Richard Lee,1,3,
104,105,101,Bowen Xiao,1,3,3.0
105,106,102,Hyungjoon Lee,1,3,
106,T107,T103,Dawson Armstrong,1,2,
107,T107,T103,Hayden Buckley,1,2,
108,109,105,Rahil Gangjee,1,2,
109,110,106,Hyun-woo Ryu,1,2,
110,111,107,Kim Leun-Kwang,1,2,
111,112,108,Marty Jertson,1,2,
112,113,109,Julio Santos,1,2,
113,114,110,Tim Wilkinson,1,2,
114,115,111,Drew Nesbitt,2,2,
