,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Matt Kuchar,16,2232,2.0,8.0,,
1,2,4,Rory McIlroy,13,2112,2.0,10.0,120.0,
2,3,2,Brooks Koepka,13,1863,2.0,5.0,369.0,
3,4,3,Xander Schauffele,15,1670,2.0,4.0,562.0,
4,5,5,Dustin Johnson,12,1611,1.0,7.0,621.0,
5,6,6,Patrick Cantlay,14,1565,1.0,8.0,667.0,
6,7,7,Paul Casey,15,1398,1.0,5.0,834.0,
7,8,8,Rickie Fowler,14,1272,1.0,5.0,960.0,
8,9,9,Gary Woodland,17,1189,,7.0,1043.0,
9,10,10,Justin Rose,11,1161,1.0,5.0,1071.0,
10,11,11,Marc Leishman,14,1160,1.0,6.0,1072.0,
11,12,12,Jon Rahm,14,1136,1.0,8.0,1096.0,
12,13,14,Justin Thomas,13,1103,,5.0,1129.0,
13,14,13,Charles Howell III,19,1100,1.0,4.0,1132.0,
14,15,15,Adam Scott,12,1010,,5.0,1222.0,
15,16,16,Tony Finau,17,1010,,3.0,1222.0,
16,17,17,Ryan Palmer,16,998,1.0,5.0,1234.0,
17,18,18,Sung Kang,20,978,1.0,4.0,1254.0,
18,19,19,Kevin Kisner,17,970,1.0,3.0,1262.0,
19,20,20,Tiger Woods,8,960,1.0,4.0,1272.0,
20,21,21,Scott Piercy,19,951,,6.0,1281.0,
21,22,22,Francesco Molinari,10,925,1.0,3.0,1307.0,
22,23,42,Webb Simpson,14,919,,4.0,1313.0,
23,24,23,Corey Conners,20,891,1.0,3.0,1341.0,
24,25,24,Phil Mickelson,13,889,1.0,2.0,1343.0,
25,26,25,C.T. Pan,19,873,1.0,2.0,1359.0,
26,27,31,Sungjae Im,26,866,,6.0,1366.0,
27,28,26,Keith Mitchell,19,861,1.0,3.0,1371.0,
28,29,27,Bryson DeChambeau,13,853,1.0,3.0,1379.0,
29,30,28,Kevin Na,15,802,1.0,3.0,1430.0,
30,31,32,Jim Furyk,16,800,,3.0,1432.0,
31,32,29,Andrew Putnam,17,792,,3.0,1440.0,
32,33,43,Brandt Snedeker,18,790,,3.0,1442.0,
33,34,30,Hideki Matsuyama,15,780,,4.0,1452.0,
34,35,33,J.B. Holmes,18,768,1.0,2.0,1464.0,
35,36,34,Lucas Glover,17,761,,4.0,1471.0,
36,37,35,Kevin Tway,19,758,1.0,1.0,1474.0,
37,38,36,Jason Day,14,727,,5.0,1505.0,
38,39,37,Jason Kokrak,17,725,,4.0,1507.0,
39,40,38,Max Homa,19,722,1.0,2.0,1510.0,
40,41,39,Si Woo Kim,20,722,,4.0,1510.0,
41,42,40,Joel Dahmen,22,700,,2.0,1532.0,
42,43,41,Tommy Fleetwood,11,681,,4.0,1551.0,
