,FedEx_Air__Ground_date,FedEx_Air__Ground_tournament name,FedEx_Air__Ground_top air performer,FedEx_Air__Ground_sg: ott,FedEx_Air__Ground_top ground performer,FedEx_Air__Ground_sg: putting
0,Thu Oct 04 00:00:00 UTC 2018,Safeway Open,Cameron Champ,1.605,Julián Etulain,2.136
1,Thu Oct 11 00:00:00 UTC 2018,CIMB Classic,Bronson Burgoon,*,*,*
2,Thu Oct 18 00:00:00 UTC 2018,THE CJ CUP @ NINE BRIDGES,Rafa Cabrera Bello,*,*,*
3,Thu Oct 25 00:00:00 UTC 2018,Sanderson Farms Championship,Tom Lovelady,1.567,Denny McCarthy,2.520
4,Thu Oct 25 00:00:00 UTC 2018,World Golf Championships-HSBC Champions,Kiradech Aphibarnrat,*,*,*
5,Thu Nov 01 00:00:00 UTC 2018,Shriners Hospitals for Children Open,Cameron Champ,1.900,Si Woo Kim,2.455
6,Thu Nov 08 00:00:00 UTC 2018,Mayakoba Golf Classic,Matt Kuchar,*,*,*
7,Thu Nov 15 00:00:00 UTC 2018,The RSM Classic,Luke List,1.256,Patrick Rodgers,2.943
8,Thu Jan 03 00:00:00 UTC 2019,Sentry Tournament of Champions,Rory McIlroy,1.185,Bryson DeChambeau,1.826
9,Thu Jan 10 00:00:00 UTC 2019,Sony Open in Hawaii,Abraham Ancer,1.415,Andrew Putnam,2.724
10,Thu Jan 17 00:00:00 UTC 2019,Desert Classic,Jon Rahm,1.528,Aaron Baddeley,2.738
11,Thu Jan 24 00:00:00 UTC 2019,Farmers Insurance Open,Charles Howell III,1.499,Patrick Reed,2.486
12,Thu Jan 31 00:00:00 UTC 2019,Waste Management Phoenix Open,Bubba Watson,1.837,Rickie Fowler,2.385
13,Thu Feb 07 00:00:00 UTC 2019,AT&T Pebble Beach Pro-Am,Dustin Johnson,1.383,Si Woo Kim,2.212
14,Thu Feb 14 00:00:00 UTC 2019,Genesis Open,Rory McIlroy,1.206,J.B. Holmes,2.043
15,Thu Feb 21 00:00:00 UTC 2019,Puerto Rico Open,Martin Trainer,*,*,*
16,Thu Feb 21 00:00:00 UTC 2019,World Golf Championships-Mexico Championship,Jon Rahm,1.921,Dustin Johnson,2.116
17,Thu Feb 28 00:00:00 UTC 2019,The Honda Classic,Ryan Palmer,1.174,Billy Horschel,2.340
18,Thu Mar 07 00:00:00 UTC 2019,Arnold Palmer Invitational presented by Mastercard,"Francesco Molinari, Rory McIlroy",1.269,Brendan Steele,1.816
19,Thu Mar 14 00:00:00 UTC 2019,THE PLAYERS Championship,Tommy Fleetwood,1.815,Vaughn Taylor,2.019
20,Thu Mar 21 00:00:00 UTC 2019,Valspar Championship,Jon Rahm,1.116,Curtis Luck,2.199
21,Wed Mar 27 00:00:00 UTC 2019,World Golf Championships-Dell Technologies Match Play,Kevin Kisner,*,*,*
22,Thu Mar 28 00:00:00 UTC 2019,Corales Puntacana Resort & Club Championship,Graeme McDowell,*,*,*
23,Thu Apr 04 00:00:00 UTC 2019,Valero Texas Open,Harold Varner III,1.168,Adam Schenk,1.810
24,Thu Apr 18 00:00:00 UTC 2019,RBC Heritage,Dustin Johnson,1.170,Matt Kuchar,2.357
25,Thu Apr 25 00:00:00 UTC 2019,Zurich Classic of New Orleans,Matt Every,*,*,*
26,Thu May 02 00:00:00 UTC 2019,Wells Fargo Championship,Brendan Steele,1.921,Max Homa,2.472
27,Thu May 09 00:00:00 UTC 2019,AT&T Byron Nelson,Ryan Palmer,1.413,Kiradech Aphibarnrat,3.511
28,Thu May 23 00:00:00 UTC 2019,Charles Schwab Challenge,Billy Horschel,1.232,Jordan Spieth,1.868
29,Thu May 30 00:00:00 UTC 2019,the Memorial Tournament presented by Nationwide,Xander Schauffele,1.168,Aaron Baddeley,2.042
30,Thu Jun 06 00:00:00 UTC 2019,RBC Canadian Open,Rory McIlroy,1.729,Webb Simpson,2.267
