,Last_5_Events_-_Accuracy_RANK THIS WEEK,Last_5_Events_-_Accuracy_RANK LAST WEEK,Last_5_Events_-_Accuracy_PLAYER NAME,Last_5_Events_-_Accuracy_EVENTS,Last_5_Events_-_Accuracy_RATING
0,1,1,Dylan Meyer,1,8.9
1,2,T7,Jim Furyk,3,8.3
2,T3,T114,Ryan Armour,1,8.2
3,T3,T14,Russell Henley,1,8.2
4,T3,T21,Rory McIlroy,3,8.2
5,T6,T4,George Cunningham,1,8.1
6,T6,T4,Doug Ghim,2,8.1
7,T6,T2,Brooks Koepka,3,8.1
8,T9,T2,Keegan Bradley,2,8.0
9,T9,T7,Paul Casey,2,8.0
10,T9,T7,Fred Couples,1,8.0
11,T9,T7,Tyrrell Hatton,3,8.0
12,T9,T7,Jerry Kelly,1,8.0
13,T9,T7,Troy Merritt,3,8.0
14,T9,T7,Grayson Murray,1,8.0
15,T16,T14,Brian Harman,3,7.9
16,T16,T14,Nicholas Lindheim,1,7.9
17,T16,T14,Francesco Molinari,2,7.9
18,T16,T14,Kyle Stanley,1,7.9
19,T16,T14,Boo Weekley,2,7.9
20,T21,T21,Jason Dufner,3,7.8
21,T21,T21,Ross Fisher,1,7.8
22,T21,T21,Russell Knox,3,7.8
23,T21,T21,Hank Lebioda,3,7.8
24,T21,T208,Denny McCarthy,1,7.8
25,T21,T21,Kevin Na,3,7.8
26,T21,T21,Carlos Ortiz,1,7.8
27,T21,T32,Erik van Rooyen,3,7.8
28,T21,T21,Nick Watney,3,7.8
29,T21,T21,Aaron Wise,3,7.8
30,T31,T32,Patrick Cantlay,3,7.7
31,T31,T32,Sung Kang,2,7.7
32,T31,T32,David Lingmerth,2,7.7
33,T31,T41,Shane Lowry,3,7.7
34,T31,T32,Michael Thompson,2,7.7
35,T31,T32,Braden Thornberry,1,7.7
36,T31,T32,Y.E. Yang,1,7.7
37,T38,T41,Kramer Hickok,2,7.6
38,T38,T41,Viktor Hovland,1,7.6
39,T38,T41,Hideki Matsuyama,4,7.6
40,T38,,Collin Morikawa,1,7.6
41,T38,T21,Joaquin Niemann,4,7.6
42,T38,T41,Seth Reeves,1,7.6
43,T38,T48,Henrik Stenson,5,7.6
44,T38,T14,Sepp Straka,2,7.6
45,T38,T41,Brian Stuard,4,7.6
46,T38,T41,Tyrone Van Aswegen,1,7.6
47,T48,,Paul Barjon,1,7.5
48,T48,T70,Scott Brown,2,7.5
49,T48,T48,Bronson Burgoon,1,7.5
50,T48,T48,Brett Drewitt,1,7.5
51,T48,T48,Padraig Harrington,1,7.5
52,T48,T48,Shugo Imahira,2,7.5
53,T48,T48,Yuki Inamori,1,7.5
54,T48,T4,Matt Kuchar,3,7.5
55,T48,T48,David Lipsky,3,7.5
56,T48,T48,Steve Marino,1,7.5
57,T48,T48,Ryan Moore,4,7.5
58,T48,T32,Scott Piercy,3,7.5
59,T48,T48,Kevin Streelman,4,7.5
60,T48,T48,Vaughn Taylor,4,7.5
61,T62,T61,Joel Dahmen,3,7.4
