,Last_5_Events_-_Power_RANK THIS WEEK,Last_5_Events_-_Power_RANK LAST WEEK,Last_5_Events_-_Power_PLAYER NAME,Last_5_Events_-_Power_EVENTS,Last_5_Events_-_Power_RATING
0,1,T6,Dustin Johnson,3,10.0
1,T2,T1,Cameron Davis,1,9.9
2,T2,T1,Grayson Murray,1,9.9
3,T4,T3,Kurt Kitayama,1,9.7
4,T4,T8,Rory McIlroy,3,9.7
5,T4,T3,Keith Mitchell,3,9.7
6,T4,T18,Trey Mullinax,2,9.7
7,T4,T3,Seth Reeves,1,9.7
8,T9,T8,Tyler McCumber,1,9.5
9,T9,T8,Jhonattan Vegas,2,9.5
10,T11,T11,Patrick Cantlay,3,9.4
11,T11,T11,Cameron Champ,2,9.4
12,T11,T11,Tony Finau,3,9.4
13,T11,T6,Brooks Koepka,3,9.4
14,T15,T14,Sam Burns,2,9.3
15,T15,T14,Xander Schauffele,3,9.3
16,T15,T14,Norman Xiong,2,9.3
17,T18,T18,Lucas Bjerregaard,1,9.2
18,T18,T18,Jason Day,2,9.2
19,T18,T25,Ollie Schniederjans,2,9.2
20,T18,T14,Bubba Watson,1,9.2
21,T18,T18,Matthew Wolff,1,9.2
22,T23,T22,Luke List,3,9.1
23,T23,T22,Phil Mickelson,1,9.1
24,T25,T25,Ross Fisher,1,9.0
25,T25,T25,Brandon Harkins,3,9.0
26,T27,T29,Lee Hodges,1,8.8
27,T27,T29,Viktor Hovland,1,8.8
28,T27,T62,Sam Saunders,1,8.8
29,30,,Richard Jung,1,8.7
30,T31,T33,Byeong Hun An,2,8.6
31,T31,T33,George Cunningham,1,8.6
32,T31,T29,Peter Uihlein,3,8.6
33,T34,T35,Davis Riley,1,8.5
34,T34,T35,Scottie Scheffler,3,8.5
35,T34,32,Justin Thomas,2,8.5
36,T37,T37,Garrett Barber,1,8.4
37,T37,T37,Jason Kokrak,4,8.4
38,T37,T37,Maverick McNealy,2,8.4
39,T37,T37,Aaron Wise,3,8.4
40,T37,T37,Gary Woodland,2,8.4
41,T42,T42,Rickie Fowler,3,8.3
42,T42,T42,Sergio Garcia,1,8.3
43,T42,T54,Alex Noren,5,8.3
44,T42,T54,Ryan Palmer,3,8.3
45,T42,T42,Kevin Tway,4,8.3
46,T42,T49,Erik van Rooyen,3,8.3
47,T48,T46,Matt Every,2,8.2
48,T48,T46,Tom Lewis,1,8.2
49,T48,T46,Thomas Pieters,2,8.2
50,T51,T49,Bryson DeChambeau,1,8.1
51,T51,T68,Cody Gribble,3,8.1
52,T51,T49,Sam Horsfield,1,8.1
53,T51,T49,Sepp Straka,2,8.1
54,T55,T54,Sung Kang,2,8.0
55,T55,T54,Zack Sucher,2,8.0
56,T55,T70,Danny Willett,3,8.0
57,T58,T58,Paul Casey,2,7.9
58,T58,T58,Tommy Fleetwood,2,7.9
59,T58,T58,Brendan Steele,3,7.9
60,T58,T58,Kristoffer Ventura,1,7.9
61,T62,,Paul Barjon,1,7.8
62,T62,T62,Martin Flores,1,7.8
63,T62,T62,Michael Lorenzo-Vera,1,7.8
64,T62,T62,Adam Scott,3,7.8
65,T62,T62,Matt Wallace,2,7.8
66,T62,T62,Nick Watney,3,7.8
67,T68,T70,Keegan Bradley,2,7.6
68,T68,T70,Branden Grace,2,7.6
69,T68,T70,Marc Leishman,2,7.6
70,T68,T70,Chad Ramey,1,7.6
71,T68,T70,Justin Rose,4,7.6
72,T73,T76,Lucas Herbert,1,7.5
73,T73,T49,Peter Malnati,3,7.5
74,T73,T147,Seamus Power,1,7.5
75,T73,T76,Patrick Rodgers,3,7.5
76,T77,T79,Derek Ernst,2,7.4
77,T77,T79,Max Homa,4,7.4
78,T77,T113,Jim Knous,3,7.4
79,T77,T76,Danny Lee,3,7.4
80,T77,T79,Hideki Matsuyama,4,7.4
81,T77,T79,Doc Redman,1,7.4
82,T77,T68,Adam Schenk,3,7.4
83,T84,T107,Daniel Berger,5,7.3
84,T84,T84,Corey Conners,3,7.3
85,T84,T84,Charley Hoffman,3,7.3
86,T84,T147,Mackenzie Hughes,2,7.3
87,T84,T84,Joaquin Niemann,4,7.3
88,T84,T84,Sean O'Hair,2,7.3
89,T84,T84,Alex Prugh,1,7.3
90,T84,T42,Harold Varner III,2,7.3
91,T92,T91,Ryan Fox,1,7.2
92,T92,T91,Robert Garrigus,1,7.2
93,T92,T91,Hunter Mahan,1,7.2
94,T92,T79,Sebastián Muñoz,3,7.2
95,T92,T124,Roger Sloan,2,7.2
96,T92,,D.J. Trahan,1,7.2
97,T92,T91,Lee Westwood,1,7.2
98,T99,T91,Harris English,4,7.1
99,T99,T97,Haotong Li,3,7.1
100,T99,T91,Shane Lowry,3,7.1
101,T99,T97,Henrik Norlander,2,7.1
102,T99,T97,Louis Oosthuizen,2,7.1
103,T99,T97,Scott Stallings,1,7.1
104,T105,T101,Chesson Hadley,1,7.0
105,T105,T101,Beau Hossler,4,7.0
106,T105,T101,Si Woo Kim,1,7.0
107,T105,T101,Carlos Ortiz,1,7.0
108,T105,T101,Patrick Reed,2,7.0
109,T105,T101,Tiger Woods,2,7.0
110,T111,T107,Rikuya Hoshino,1,6.9
111,T111,T113,Jimmy Walker,4,6.9
112,T113,T109,Hayden Buckley,1,6.8
113,T113,T109,George Coetzee,1,6.8
114,T113,T109,Charles Howell III,1,6.8
115,T113,T109,Y.E. Yang,1,6.8
116,T117,,Sangmoon Bae,1,6.7
117,T117,T84,Dylan Frittelli,3,6.7
