,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
0,1,T1,Davis Riley,1,9.0
1,T2,3,Andrew Landry,1,8.8
2,T2,,Rod Pampling,1,8.8
3,4,4,Michael Lorenzo-Vera,1,8.7
4,5,5,Marty Jertson,1,8.5
5,6,6,George Coetzee,1,8.3
6,7,T7,Maverick McNealy,2,8.2
7,T8,T9,Dawson Armstrong,1,8.1
8,T8,T9,Patrick Cantlay,2,8.1
9,T8,T9,Patrick Reed,2,8.1
10,T11,,Chris Thompson,1,8.0
11,T11,12,Michael Thompson,2,8.0
12,T11,T31,Harold Varner III,2,8.0
13,T14,,Ben Crane,1,7.9
14,T14,T13,Rickie Fowler,3,7.9
15,T14,T13,Sergio Garcia,1,7.9
16,T14,T13,Lucas Glover,3,7.9
17,T14,T13,Patrick Rodgers,3,7.9
18,T19,T20,Chesson Hadley,1,7.8
19,T19,T20,Brandon Harkins,3,7.8
20,T19,T20,Jerry Kelly,1,7.8
21,T19,T39,Sebastián Muñoz,3,7.8
22,T19,T48,Seamus Power,1,7.8
23,T19,,D.J. Trahan,1,7.8
24,T25,T39,Nicholas Lindheim,1,7.7
25,T25,T23,Ryan Vermeer,1,7.7
26,T25,T23,Matt Wallace,1,7.7
27,T25,T23,Chase Wright,1,7.7
28,T29,T27,Jason Dufner,2,7.6
29,T29,T27,Justin Rose,4,7.6
30,T29,T27,Webb Simpson,4,7.6
31,T29,T27,Brendon Todd,1,7.6
32,T29,T260,Bubba Watson,1,7.6
33,T34,T31,Ryan Blaum,1,7.5
34,T34,T31,Fred Couples,1,7.5
35,T34,T31,Brendon de Jonge,1,7.5
36,T34,T31,Si Woo Kim,1,7.5
37,T34,T31,Sam Ryder,2,7.5
38,T34,T31,Kyle Stanley,1,7.5
39,T34,T39,Danny Willett,3,7.5
40,T41,T39,Tom Hoge,3,7.4
41,T41,T39,Kyle Jones,1,7.4
42,T41,T39,Martin Kaymer,2,7.4
43,T41,T39,J.T. Poston,2,7.4
44,T41,T39,Scott Stallings,1,7.4
45,T46,T48,Paul Casey,2,7.3
46,T46,T48,Luke Donald,2,7.3
47,T46,T48,Talor Gooch,2,7.3
48,T46,,Jake Knapp,1,7.3
49,T46,T59,Shane Lowry,3,7.3
50,T46,T48,Rory Sabbatini,3,7.3
51,T46,T48,Jimmy Walker,3,7.3
