,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Matthew Fitzpatrick,11,393
1,2,2,Matt Wallace,9,314
2,3,3,Eddie Pepperell,7,239
3,4,4,Lucas Bjerregaard,10,182
4,5,5,Justin Harding,9,159
5,6,9,Erik van Rooyen,4,119
6,7,6,Thomas Pieters,4,101
7,8,7,Doug Ghim,6,101
8,9,8,Shubhankar Sharma,6,88
9,10,10,Scottie Scheffler,3,67
10,11,11,Chip McDaniel,3,65
11,12,12,Steve Marino,4,64
12,13,13,Sam Horsfield,3,64
13,14,14,Jazz Janewattananond,1,63
14,15,15,Thorbjørn Olesen,8,60
15,16,16,Haotong Li,9,58
16,17,17,Zack Fischer,2,55
17,18,18,Michael Lorenzo-Vera,1,53
18,19,19,John Catlin,5,53
19,20,,Collin Morikawa,1,52
20,21,20,Armando Favela,1,49
21,22,21,Doc Redman,1,44
22,23,22,Dylan Meyer,3,42
23,24,,Paul Barjon,2,39
24,25,23,David Lipsky,4,35
25,26,24,Austen Truslow,2,34
26,27,25,Paul Dunne,1,31
27,28,26,Gaganjeet Bhullar,2,31
28,T29,T27,Brett Drewitt,1,30
29,T29,T27,Tyler McCumber,1,30
30,31,29,Davis Riley,1,26
31,32,30,Martin Flores,1,25
32,33,31,Norman Xiong,3,21
33,34,32,Shugo Imahira,4,19
34,35,33,Seungsu Han,1,18
35,36,34,George Cunningham,2,18
36,37,35,Kristoffer Ventura,3,18
37,38,36,Chad Ramey,1,17
38,39,37,Thomas Detry,1,13
39,40,38,Joost Luiten,4,13
40,T41,T39,Oscar Fraustro,1,12
41,T41,T39,Dong Seop Maeng,1,12
42,43,41,Jonathan Randolph,1,12
43,44,42,Alex Kang,2,11
44,45,43,Sanghyun Park,4,11
45,46,44,Chase Koepka,1,8
46,47,45,Tae Hee Lee,2,8
47,48,46,Braden Thornberry,2,7
48,T49,T47,Lee Hodges,1,6
49,T49,T47,Sihwan Kim,2,6
50,T49,T47,Ben Leong,1,6
51,T49,T47,Dru Love,5,6
52,T49,T47,Henrik Norlander,1,6
53,T54,T52,Ross Fisher,1,5
54,T54,T52,Rob Labritz,1,5
55,56,54,Jon Curran,4,5
56,57,55,Minchel Choi,2,5
57,T58,T56,Rafael Campos,2,5
58,T58,T56,Ben Griffin,2,5
59,60,58,Doyeob Mun,1,4
60,61,59,Maverick McNealy,2,4
61,62,60,Yuki Inamori,2,4
62,63,61,Kurt Kitayama,1,4
63,64,62,Ryan Vermeer,4,4
64,65,63,Scott Vincent,2,4
65,66,64,Rikuya Hoshino,1,4
66,67,,Richard Jung,1,3
67,68,65,Zac Blair,1,3
68,69,66,Lucas Herbert,1,3
69,70,,Jake Knapp,1,3
70,71,67,Matthew Short,1,3
71,T72,T68,Shintaro Ban,2,3
72,T72,T68,Eric Dugas,1,3
73,74,70,Berry Henson,1,3
74,75,71,Richard Lee,1,3
75,76,72,Hyungjoon Lee,1,3
76,T77,T73,Dawson Armstrong,1,2
77,T77,T73,Hayden Buckley,1,2
78,79,75,Rahil Gangjee,1,2
79,80,76,Hyun-woo Ryu,1,2
80,81,77,Kim Leun-Kwang,1,2
81,82,78,Marty Jertson,1,2
82,83,79,Julio Santos,1,2
83,84,80,Tim Wilkinson,1,2
84,85,81,Drew Nesbitt,2,2
