,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Brooks Koepka,42,10.81,454.08,-156.31,196.52,USA
1,2,2.0,Dustin Johnson,46,10.54,484.73,-160.91,283.21,USA
2,3,4.0,Rory McIlroy,49,8.47,414.89,-102.43,260.65,NIR
3,4,3.0,Justin Rose,49,8.27,405.33,-169.82,113.88,ENG
4,5,5.0,Tiger Woods,40,7.41,296.25,-62.58,144.85,USA
5,6,7.0,Francesco Molinari,46,6.83,314.14,-111.88,126.21,ITA
6,7,6.0,Justin Thomas,48,6.83,327.66,-170.02,119.69,USA
7,8,8.0,Patrick Cantlay,42,6.52,274.04,-65.41,158.42,USA
8,9,9.0,Bryson DeChambeau,52,6.44,335.13,-118.18,94.13,USA
9,10,10.0,Xander Schauffele,52,5.96,309.91,-111.51,137.99,USA
10,11,11.0,Rickie Fowler,47,5.47,257.25,-119.09,125.59,USA
11,12,13.0,Matt Kuchar,52,5.38,279.51,-84.43,201.7,USA
12,13,12.0,Jon Rahm,50,5.29,264.43,-138.94,80.81,ESP
13,14,14.0,Tony Finau,52,5.16,268.53,-95.52,75.57,USA
14,15,15.0,Paul Casey,48,5.09,244.48,-86.88,145.07,ENG
15,16,16.0,Jason Day,43,4.67,200.94,-91.3,70.03,AUS
16,17,17.0,Adam Scott,40,4.65,185.97,-44.49,117.18,AUS
17,18,18.0,Tommy Fleetwood,52,4.48,233.08,-116.81,66.42,ENG
18,19,20.0,Webb Simpson,50,4.37,218.46,-83.58,78.97,USA
19,20,19.0,Bubba Watson,46,4.11,188.85,-76.91,56.09,USA
20,21,21.0,Marc Leishman,51,3.93,200.33,-101.96,78.17,AUS
21,22,22.0,Louis Oosthuizen,43,3.77,162.29,-60.77,66.51,RSA
22,23,23.0,Patrick Reed,52,3.75,194.99,-99.87,35.59,USA
23,24,25.0,Phil Mickelson,45,3.74,168.31,-67.8,82.74,USA
24,25,24.0,Gary Woodland,52,3.74,194.41,-65.5,86.2,USA
25,26,26.0,Matt Wallace,52,3.56,185.29,-45.64,96.13,ENG
26,27,27.0,Kevin Kisner,52,3.48,181.17,-68.75,103.94,USA
27,28,28.0,Jordan Spieth,49,3.41,167.28,-123.58,70.44,USA
28,29,29.0,Hideki Matsuyama,51,3.33,170.05,-87.59,86.47,JPN
29,30,30.0,Sergio Garcia,50,3.27,163.63,-78.31,69.99,ESP
30,31,31.0,Kevin Na,51,3.23,164.5,-46.62,85.12,USA
31,32,42.0,Shane Lowry,52,3.17,164.65,-41.86,111.94,IRL
32,33,32.0,Ian Poulter,52,3.16,164.4,-65.41,85.68,ENG
33,34,33.0,Cameron Smith,50,3.09,154.47,-62.85,35.17,AUS
34,35,34.0,Eddie Pepperell,47,3.01,141.34,-46.8,49.67,ENG
35,36,35.0,Matthew Fitzpatrick,52,2.93,152.22,-58.64,65.93,ENG
36,37,37.0,Keegan Bradley,52,2.92,151.94,-60.2,36.78,USA
37,38,36.0,Rafa Cabrera Bello,52,2.91,151.34,-79.68,52.66,ESP
38,39,39.0,Billy Horschel,52,2.86,148.51,-55.15,50.57,USA
39,40,40.0,Haotong Li,52,2.83,147.3,-57.47,63.66,CHN
40,41,38.0,Alex Noren,49,2.82,137.99,-85.58,16.49,SWE
41,42,41.0,Tyrrell Hatton,52,2.81,146.25,-75.03,37.24,ENG
42,43,43.0,Henrik Stenson,46,2.72,125.21,-65.47,38.2,SWE
43,44,50.0,Brandt Snedeker,46,2.66,122.36,-37.14,56.15,USA
44,45,44.0,Lucas Bjerregaard,52,2.61,135.95,-40.53,47.52,DEN
45,46,45.0,Kiradech Aphibarnrat,52,2.6,135.19,-59.65,48.45,THA
46,47,46.0,Justin Harding,52,2.6,135.15,-26.83,76.29,RSA
