,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Brooks Koepka,26,12255307
1,2,2,Dustin Johnson,24,10487090
2,3,7,Rory McIlroy,23,8849193
3,4,3,Justin Rose,21,8314071
4,5,4,Bryson DeChambeau,26,7780491
5,6,5,Xander Schauffele,28,7665304
6,7,6,Francesco Molinari,20,7517270
7,8,8,Tiger Woods,19,7282331
8,9,9,Matt Kuchar,27,6712792
9,10,13,Webb Simpson,27,6392935
10,11,11,Justin Thomas,24,6221078
11,12,10,Patrick Cantlay,26,6191943
12,13,12,Tony Finau,30,5933163
13,14,14,Rickie Fowler,24,4910407
14,15,15,Kevin Na,28,4828574
15,16,16,Adam Scott,23,4792903
16,17,17,Tommy Fleetwood,21,4781644
17,18,18,Paul Casey,24,4648122
18,19,19,Marc Leishman,27,4608161
19,20,20,Gary Woodland,29,4480651
20,21,21,Jon Rahm,24,4280518
21,22,22,Billy Horschel,33,4158490
22,23,27,Brandt Snedeker,31,4113097
23,24,24,Keegan Bradley,30,3887238
24,25,23,Andrew Putnam,29,3865899
25,26,25,Hideki Matsuyama,27,3842797
26,27,26,Kevin Kisner,29,3839523
27,28,28,Jason Day,25,3547214
28,29,29,C.T. Pan,32,3529785
29,30,31,Bubba Watson,26,3411431
30,31,32,Ryan Palmer,28,3396958
31,32,30,Charles Howell III,31,3396917
32,33,33,Sung Kang,32,3294754
33,34,34,Phil Mickelson,25,3260816
34,35,35,Kyle Stanley,31,3244051
35,36,36,Aaron Wise,28,3188690
36,37,37,Keith Mitchell,32,3131024
37,38,38,J.B. Holmes,29,3059810
38,39,39,Joel Dahmen,34,2927202
39,40,43,Jim Furyk,24,2792657
40,41,40,Byeong Hun An,27,2789157
41,42,42,Kevin Tway,32,2770491
42,43,41,Rafa Cabrera Bello,24,2759678
43,44,44,Emiliano Grillo,28,2719922
44,45,45,Jason Kokrak,30,2706471
45,46,46,Corey Conners,31,2695580
46,47,47,Cameron Smith,27,2644638
47,48,48,Scott Piercy,31,2621933
48,49,49,Jordan Spieth,28,2408403
49,50,50,Abraham Ancer,33,2365268
