,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,1,1,Tom Lovelady,2,10.0
1,T2,T2,Kurt Kitayama,1,9.7
2,T2,4,Rory McIlroy,9,9.7
3,T2,T2,Seth Reeves,5,9.7
4,T5,T5,Cameron Champ,9,9.5
5,T5,T5,Tyler McCumber,1,9.5
6,T7,T7,Brandon Hagy,1,9.4
7,T7,T7,Dustin Johnson,9,9.4
8,T7,T7,Luke List,9,9.4
9,T7,T7,Trey Mullinax,11,9.4
10,T7,T7,Bubba Watson,8,9.4
11,T12,T12,Brooks Koepka,7,9.3
12,T12,T12,Norman Xiong,2,9.3
13,T14,T14,Grayson Murray,4,9.2
14,T14,T14,Martin Trainer,5,9.2
15,T14,T14,Matthew Wolff,1,9.2
16,T17,T17,Sam Burns,10,9.1
17,T17,T17,Patrick Cantlay,8,9.1
18,T17,T17,Wyndham Clark,10,9.1
19,T17,T17,Jason Day,6,9.1
20,T17,T17,Keith Mitchell,8,9.1
21,T22,T22,Ross Fisher,1,9.0
22,T22,T22,Jon Rahm,8,9.0
23,T22,T22,Ollie Schniederjans,8,9.0
24,25,25,Cameron Davis,7,8.9
25,T26,T26,Tony Finau,10,8.8
26,T26,T26,Lee Hodges,1,8.8
27,T26,T26,Viktor Hovland,1,8.8
28,T29,T29,Byeong Hun An,8,8.7
29,T29,,Richard Jung,1,8.7
30,T29,T29,Phil Mickelson,6,8.7
31,T29,T29,Aaron Wise,7,8.7
32,T33,T32,George Cunningham,1,8.6
33,T33,T32,J.B. Holmes,3,8.6
34,T33,T32,Andres Romero,1,8.6
35,T33,T32,Kevin Tway,8,8.6
36,T33,T32,Gary Woodland,9,8.6
37,T38,T37,Davis Riley,1,8.5
38,T38,T37,Scottie Scheffler,3,8.5
39,T38,T37,Jhonattan Vegas,10,8.5
40,T41,T40,Garrett Barber,1,8.4
41,T41,T40,Tommy Fleetwood,7,8.4
