,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Dustin Johnson,6405
1,2,2,Brooks Koepka,6130
2,3,3,Justin Thomas,5438
3,4,5,Matt Kuchar,5344
4,5,4,Xander Schauffele,5279
5,6,6,Patrick Cantlay,4816
6,7,7,Bryson DeChambeau,4546
7,8,8,Rickie Fowler,4309
8,9,9,Tony Finau,4282
9,10,13,Webb Simpson,3948
10,11,10,Tiger Woods,3783
11,12,11,Gary Woodland,3684
12,13,12,Phil Mickelson,3521
13,14,14,Charles Howell III,3134
14,15,15,Kevin Kisner,3130
15,16,16,Bubba Watson,3028
16,17,17,Kevin Na,2954
17,18,18,Billy Horschel,2819
18,19,19,Scott Piercy,2722
19,20,24,Brandt Snedeker,2688
20,21,20,Andrew Putnam,2676
21,22,21,Patrick Reed,2619
22,23,22,Ryan Palmer,2606
23,24,23,Keith Mitchell,2444
24,25,26,Keegan Bradley,2404
25,26,25,Chez Reavie,2394
26,27,27,Jason Kokrak,2250
27,28,28,Jordan Spieth,2226
28,29,29,J.B. Holmes,2183
29,30,30,Luke List,2139
30,31,32,Kevin Tway,2120
31,32,31,Patton Kizzire,2110
32,33,33,Joel Dahmen,2075
33,34,34,Ryan Moore,2037
34,35,35,Chesson Hadley,2021
35,36,36,Kyle Stanley,2003
36,37,37,Aaron Wise,1988
37,38,38,Pat Perez,1956
38,39,39,Lucas Glover,1906
39,40,40,Jim Furyk,1891
40,41,41,Ryan Armour,1775
41,42,42,Charley Hoffman,1750
42,43,44,Brian Gay,1718
43,44,43,Kevin Streelman,1718
44,45,45,Austin Cook,1672
45,46,46,J.J. Spaun,1640
46,47,47,Brian Harman,1626
47,48,48,Beau Hossler,1490
48,49,49,Patrick Rodgers,1450
49,50,50,Max Homa,1445
50,51,52,Zach Johnson,1425
51,52,51,Andrew Landry,1423
52,53,53,Brian Stuard,1345
53,54,56,Peter Uihlein,1322
54,55,58,Harold Varner III,1312
55,56,54,J.T. Poston,1311
56,57,55,Brendan Steele,1306
57,58,57,Michael Thompson,1297
58,59,59,Adam Long,1272
59,60,60,Scott Stallings,1270
60,61,61,Troy Merritt,1265
61,62,62,Cameron Champ,1264
62,63,67,Daniel Berger,1253
63,64,63,Brice Garnett,1243
64,65,64,Nick Watney,1241
65,66,65,Vaughn Taylor,1236
66,67,66,Sam Ryder,1230
67,68,70,Scott Brown,1218
68,69,68,Matt Every,1209
69,70,69,Bud Cauley,1203
70,71,73,Jimmy Walker,1164
71,72,71,Jason Dufner,1163
72,73,72,"Ted Potter, Jr.",1131
73,74,76,Talor Gooch,1128
74,75,74,Richy Werenski,1116
75,76,75,Russell Henley,1115
76,77,77,Kelly Kraft,1088
77,78,78,Trey Mullinax,1055
78,79,80,Adam Schenk,1029
79,80,79,Stewart Cink,1018
80,81,81,Sam Burns,998
81,82,82,Chris Kirk,984
82,83,83,Bronson Burgoon,975
83,84,84,Ryan Blaum,963
84,85,87,Peter Malnati,939
85,86,85,Kevin Chappell,925
86,87,86,Chris Stroud,896
87,88,88,Brandon Harkins,886
88,89,93,Harris English,873
89,90,89,Ollie Schniederjans,866
90,91,90,Denny McCarthy,856
91,92,91,Tom Hoge,855
92,93,92,Tyler Duncan,817
93,94,94,James Hahn,780
94,95,95,Jamie Lovemark,756
95,96,96,Shawn Stefani,749
96,97,97,Hudson Swafford,747
97,98,98,Michael Kim,743
98,99,99,Johnson Wagner,720
99,100,100,Martin Trainer,707
100,101,101,Dominic Bozzelli,687
101,102,102,Bill Haas,676
